"Автовская ул., д.21",248.9,245,-2
"Автовская ул., д.22",780,740,-5
"Автовская ул., д.25",717.896,684.59,-5
"Автовская ул., д.26/37",1572.645,1568.62,0
"Автовская ул., д.28/30",989.722,731.5,-26
"Автовская ул., д.29",419.144,399.7,-5
"Автовская ул., д.30",398.638,296,-26
"Автовская ул., д.32",545.159,573.21,5
"Автовская ул., д.34",471.64,423.21,-10
"Автовская ул., д.38",270.14,270,0
"Автовская ул., д.40",727.39,668.57,-8
"Автовская ул., д.46",1148.11,1054.29,-8
"Автовская ул., д.52",999.75,795,-20
"Балтийская ул., д.2/14",3456.5,3327.86,-4
"Балтийская ул., д.12",928.943,927.86,0
"Балтийская ул., д.14",842.54,860.36,2
"Балтийская ул., д.17",397.2,410,3
"Балтийская ул., д.17, к.2",590,560,-5
"Балтийская ул., д.18",245.79,259.29,5
"Балтийская ул., д.19",643.11,654.34,2
"Балтийская ул., д.20",74,100.71,36
"Балтийская ул., д.21",485.75,494.23,2
"Балтийская ул., д.22",119.81,153.21,28
"Балтийская ул., д.24",160,155,-3
"Балтийская ул., д.27",150.742,172.5,14
"Балтийская ул., д.32",207.95,221.79,7
"Балтийская ул., д.34",201.16,185.36,-8
"Балтийская ул., д.36/9",1644.06,1291.09,-21
"Балтийская ул., д.38",809.32,795,-2
"Баррикадная ул., д.3",349.86,335.36,-4
"Баррикадная ул., д.4",102.871,99.17,-4
"Баррикадная ул., д.5",598.96,597.86,0
"Белоусова ул., д.3",140,140,0
"Белоусова ул., д.5",107.39,105,-2
"Белоусова ул., д.6/42",1348.5,1135.71,-16
"Белоусова ул., д.14/41",107.999,124.27,15
"Белоусова ул., д.16",49.371,56.81,15
"Белоусова ул., д.18",214.74,205.08,-4
"Белоусова ул., д.18, к.1",374.26,357.42,-4
"Белоусова ул., д.20",343.129,323.85,-6
"Васи Алексеева ул., д.7",827.04,772.5,-7
"Васи Алексеева ул., д.9",598.39,535.71,-10
"Васи Алексеева ул., д.10",889.553,684.91,-23
"Васи Алексеева ул., д.11",851.39,742.5,-13
"Васи Алексеева ул., д.16",917.79,977.14,6
"Васи Алексеева ул., д.17",637.71,658.93,3
"Васи Алексеева ул., д.20/24",1870.35,1800,-4
"Васи Алексеева ул., д.21",721.199,770.36,7
"Васи Алексеева ул., д.22",1535.52,1357.5,-12
"Васи Алексеева ул., д.24",990.89,939.64,-5
"Васи Алексеева ул., д.25",552.46,668.57,21
"Васи Алексеева ул., д.26",847.12,830.36,-2
"Васи Алексеева ул., д.28",1023,983.57,-4
"Васи Алексеева ул., д.30",1530.38,1462.5,-4
"Возрождения ул., д.7/25",2512.69,2294.21,-9
"Возрождения ул., д.9",781.19,703.65,-10
"Возрождения ул., д.15",841.47,825,-2
"Возрождения ул., д.19/38",2397.18,1854.93,-23
"Возрождения ул., д.23",638.696,590.66,-8
"Возрождения ул., д.25",774.014,718.63,-7
"Возрождения ул., д.27",770.57,702.86,-9
"Гладкова ул., д.1",173.02,112.99,-35
"Гладкова ул., д.1а",193.77,126.55,-35
"Гладкова ул., д.7/10",390.58,515.36,32
"Гладкова ул., д.11",139.331,132.38,-5
"Гладкова ул., д.13",175.454,166.71,-5
"Гладкова ул., д.17",82.445,85.88,4
"Гладкова ул., д.19",154.136,160.56,4
"Гладкова ул., д.21",125.459,130.69,4
"Гладкова ул., д.23",618.596,583.46,-6
"Гладкова ул., д.24/7",142.58,132.34,-7
"Гладкова ул., д.25",1267.68,1107.86,-13
"Гладкова ул., д.26",128.67,119.42,-7
"Гладкова ул., д.29",592.525,555,-6
"Гладкова ул., д.31/7",197.658,186.43,-6
"Гладкова ул., д.33",238.552,225,-6
"Гладкова ул., д.35",102.741,97.56,-5
"Гладкова ул., д.39",131.916,135.6,3
"Гладкова ул., д.41",86.279,83.17,-4
"Гладкова ул., д.43",92.916,89.57,-4
"Губина ул., д.1/32",160.292,167.54,5
"Губина ул., д.3",80.615,85.24,6
"Губина ул., д.4",90.064,85.13,-5
"Губина ул., д.5",201.538,213.09,6
"Губина ул., д.6",180.128,170.26,-5
"Губина ул., д.8",74.399,70.65,-5
"Губина ул., д.9, к.1",252.318,230.85,-9
"Губина ул., д.9, к.2",207.792,195.88,-6
"Губина ул., д.12",85.227,82.48,-3
"Губина ул., д.13, к.1",220.534,122.82,-44
"Губина ул., д.13, к.2",252.966,140.89,-44
"Губина ул., д.14",96.343,93.23,-3
"Губина ул., д.15",142.82,70.71,-50
"Губина ул., д.18",104.268,89.57,-14
"Губина ул., д.19/16",116,116,0
"Губина ул., д.20",120.732,108.43,-10
"Губина ул., д.22/21",115.14,107.14,-7
"Двинская ул., д.4",1373.62,1362.86,-1
"Двинская ул., д.4, к.1",845.55,853.93,1
"Двинская ул., д.4, к.2",1204.72,1341.43,11
"Двинская ул., д.4, к.3",848.76,890.36,5
"Двинская ул., д.4, к.4",778.21,786.43,1
"Двинская ул., д.8",811.31,788.57,-3
"Двинская ул., д.9",1042.58,770.62,-26
"Двинская ул., д.10",2289.25,1772.5,-23
"Двинская ул., д.11",1090.7,1043.57,-4
"Двинская ул., д.14",1256.49,1189.29,-5
"Двинская ул., д.14, к.4",1842.9,2088.21,13
"Двинская ул., д.15",3826.147,3801.69,-1
"Двинская ул., д.16, к.1",2528.35,2138.93,-15
"Двинская ул., д.16, к.3",1541,1550,1
"Двинская ул., д.17",692.083,688.67,0
"Зайцева ул., д.3",856.62,907.5,6
"Зайцева ул., д.17/23",1699.85,1576.07,-7
"Зайцева ул., д.18/16",1534.47,1680,9
"Зайцева ул., д.19/18",717.03,718.07,0
"Зайцева ул., д.20",1192.39,1208.57,1
"Зайцева ул., д.21",267.247,267.64,0
"Зайцева ул., д.22/13",1870.78,1790.36,-4
"Зайцева ул., д.25",621.11,591.43,-5
"Зайцева ул., д.26",1083.96,998.57,-8
"Зайцева ул., д.29",297.82,296.79,0
"Зайцева ул., д.31",775,728.57,-6
"Зайцева ул., д.32",785.459,762.6,-3
"Зайцева ул., д.33",1007.17,961.07,-5
"Зайцева ул., д.34",681.501,662.4,-3
"Зайцева ул., д.36",844.75,570,-33
"Зайцева ул., д.37",1205.68,1160.36,-4
"Зайцева ул., д.39",766.14,752.14,-2
"Зины Портновой ул., д.4",395.807,399.93,1
"Зины Портновой ул., д.6",435.653,446.5,2
