"Автовская ул., д.21",340\174,351\180,3\3
"Автовская ул., д.22","192,424\163","207,62\172",8\6
"Автовская ул., д.25",282\185,245\143,-13\-23
"Автовская ул., д.26/37","403,466\208","349,67\178",-13\-14
"Автовская ул., д.28/30",165\104,174\100,5\-4
"Автовская ул., д.29",625\280,532\235,-15\-16
"Автовская ул., д.30",120\88,127\77,6\-13
"Автовская ул., д.32","102,687\73","114,38\72",11\-1
"Автовская ул., д.34",92\55,93\51,1\-7
"Автовская ул., д.38",48\29,58\38,21\31
"Автовская ул., д.40",265\190,289\189,9\-1
"Автовская ул., д.46",128\68,129\70,1\3
"Автовская ул., д.52",210\166,236\159,12\-4
"Балтийская ул., д.2/14","676,6\325","743,75\388",10\19
"Балтийская ул., д.12","318,16\219","271,6\161",-15\-26
"Балтийская ул., д.14",262\0,313\0,19\-
"Балтийская ул., д.17","70,47\0","70,85\52",1\-
"Балтийская ул., д.17, к.2",409\172,"330,65\170",-19\-1
"Балтийская ул., д.18",117\74,73\44,-38\-41
"Балтийская ул., д.19","65,86\54","63,19\56",-4\4
"Балтийская ул., д.20","41,62\46,71","31\30,95",-26\-34
"Балтийская ул., д.21, к.2",,45\24,-\-
"Балтийская ул., д.22","32,33\36,29","24,08\24,05",-26\-34
"Балтийская ул., д.23",50\25,27\11,-46\-56
"Балтийская ул., д.24","64,97\71","57,67\98",-11\38
"Балтийская ул., д.25",72\0,72\0,0\-
"Балтийская ул., д.27","52,36\0","52,36\0",0\-
"Балтийская ул., д.32","171,84\105","114,24\68",-34\-35
"Балтийская ул., д.34","64,74\0","71,38\0",10\-
"Балтийская ул., д.36/9","161,92\88","207,92\117",28\33
"Балтийская ул., д.38",181\121,261\154,44\27
"Баррикадная ул., д.3",300\20,148\70,-51\250
"Баррикадная ул., д.4","108,4\0",108\0,0\-
"Баррикадная ул., д.34",106\44,56\32,-47\-27
"Белоусова ул., д.3",45\22,38\18,-16\-18
"Белоусова ул., д.5",43\28,60\34,40\21
"Белоусова ул., д.6/42","377,65\211","295,75\168",-22\-20
"Белоусова ул., д.10","67,702\0","67,704\0",0\-
"Белоусова ул., д.14/41","55,24\0","55,237\0",0\-
"Белоусова ул., д.16","84,06\57","100,43\68",19\19
"Белоусова ул., д.18",102\42,78\38,-24\-10
"Белоусова ул., д.18, к.1",131\103,100\75,-24\-27
"Белоусова ул., д.20",109\65,78\43,-28\-34
"Белоусова ул., д.22",1801\728,1423\534,-21\-27
"Белоусова ул., д.24/32","81,9\80","66,43\46",-19\-43
"Васи Алексеева ул., д.7","71,54\45","76,44\44",7\-2
"Васи Алексеева ул., д.9","22,32\18","33,48\21",50\17
"Васи Алексеева ул., д.10","703,43\297","778,96\327",11\10
"Васи Алексеева ул., д.11",170\109,208\121,22\11
"Васи Алексеева ул., д.17",250\175,286\176,14\1
"Васи Алексеева ул., д.20/24","156,6\105","156,4\94",0\-10
"Васи Алексеева ул., д.21","191,25\159","184,5\138",-4\-13
"Васи Алексеева ул., д.22","495,36\380","576,96\384",16\1
"Васи Алексеева ул., д.24",384\246,432\248,13\1
"Васи Алексеева ул., д.25",262\192,311\206,19\7
"Васи Алексеева ул., д.26","338,12\265","381,57\270",13\2
"Васи Алексеева ул., д.28",246\144,249\140,1\-3
"Васи Алексеева ул., д.30","570,95\351",551\319,-3\-9
"Возрождения ул., д.7/25","835,42\0","835,38\0",0\-
"Возрождения ул., д.9","51,48\37","65,52\44",27\19
"Возрождения ул., д.15","224,73\155","224,73\134",0\-14
"Возрождения ул., д.19/38","637,98\416","592,41\362",-7\-13
"Возрождения ул., д.23",240\140,220\110,-8\-21
"Возрождения ул., д.25",348\223,401\235,15\5
"Возрождения ул., д.27",340\197,307\186,-10\-6
"Гладкова ул., д.1","138,25\124","154,05\127",11\2
"Гладкова ул., д.1а",110\54,51\26,-54\-52
"Гладкова ул., д.7/10","20,4\43","14,88\31",-27\-28
"Гладкова ул., д.11",64\38,49\21,-23\-45
"Гладкова ул., д.13",38\26,38\26,0\0
"Гладкова ул., д.17",230\108,208\105,-10\-3
"Гладкова ул., д.19",88\58,88\58,0\0
"Гладкова ул., д.21","112,2\0",112\0,0\-
"Гладкова ул., д.23",270\178,270\156,0\-12
"Гладкова ул., д.24/7",147\77,131\68,-11\-12
"Гладкова ул., д.25",482\306,446\249,-7\-19
"Гладкова ул., д.26",149\75,108\52,-28\-31
"Гладкова ул., д.29",136\110,152\97,12\-12
"Гладкова ул., д.31/7",49\0,63\0,29\-
