"Автовская ул., д.21",335\181,320\193,-4\7
"Автовская ул., д.22",494\259,447\241,-10\-7
"Автовская ул., д.25",218\133,235\138,8\4
"Автовская ул., д.28/30",478\273,373\239,-22\-12
"Автовская ул., д.29",868\221,777\129,-10\-42
"Автовская ул., д.30",164\106,136\97,-17\-8
"Автовская ул., д.32",402\260,296\206,-26\-21
"Автовская ул., д.34",586\231,295\194,-50\-16
"Автовская ул., д.38",101\62,102\69,1\11
"Автовская ул., д.40",509\326,380\276,-25\-15
"Автовская ул., д.46",117\62,115\61,-2\-2
"Автовская ул., д.52",355\228,280\210,-21\-8
"Балтийская ул., д.2/14",370\150,963\292,160\95
"Балтийская ул., д.12",310\150,128\223,-59\49
"Балтийская ул., д.14",585\496,529\74,-10\-85
"Балтийская ул., д.17, к.2",726,734,1
"Балтийская ул., д.18",59\59,193\122,227\107
"Балтийская ул., д.19",72\48,173\112,140\133
"Балтийская ул., д.20",36\21,"106,37\51,78",195\147
"Балтийская ул., д.21",29\18,168\99,479\450
"Балтийская ул., д.22",29\17,"82,63\40,22",185\137
"Балтийская ул., д.23",19\10,19\10,0\0
"Балтийская ул., д.24",15\25,22\18,47\-28
"Балтийская ул., д.25",54\35,183\87,239\149
"Балтийская ул., д.27",36\19,94\48,161\153
"Балтийская ул., д.32",59\30,177\110,200\267
"Балтийская ул., д.34",43\0,153\0,256\-
"Балтийская ул., д.36/9",102\49,176\95,73\94
"Балтийская ул., д.38",107\72,345\211,222\193
"Баррикадная ул., д.3",405\0,477\0,18\-
"Баррикадная ул., д.4",215\201,317\207,47\3
"Баррикадная ул., д.34",99\54,121\53,22\-2
"Белоусова ул., д.3",104\67,149\103,43\54
"Белоусова ул., д.10",382\259,420\361,10\39
"Белоусова ул., д.14/41",282\198,341\269,21\36
"Белоусова ул., д.16",140\180,276\329,97\83
"Белоусова ул., д.18",49\31,101\8,106\-74
"Белоусова ул., д.18, к.1",51,51,0
"Белоусова ул., д.20",56\35,156\79,179\126
"Белоусова ул., д.24/32",49\31,35\32,-29\3
"Васи Алексеева ул., д.7",390\145,293\93,-25\-36
"Васи Алексеева ул., д.9",193\137,114\104,-41\-24
"Васи Алексеева ул., д.10",631\334,471\261,-25\-22
"Васи Алексеева ул., д.11",435\240,248\157,-43\-35
"Васи Алексеева ул., д.17",618\19,618\19,0\0
"Васи Алексеева ул., д.20/24",515\291,553\365,7\25
"Васи Алексеева ул., д.21",545\305,299\172,-45\-44
"Васи Алексеева ул., д.22",833\471,782\505,-6\7
"Васи Алексеева ул., д.24",539\353,457\219,-15\-38
"Васи Алексеева ул., д.25",426\260,303\219,-29\-16
"Васи Алексеева ул., д.26",383\203,298\187,-22\-8
"Васи Алексеева ул., д.28",393\217,347\200,-12\-8
"Васи Алексеева ул., д.30",846\449,880\483,4\8
"Возрождения ул., д.7/25",811\448,627\368,-23\-18
"Возрождения ул., д.9",171\93,122\72,-29\-23
"Возрождения ул., д.15",210\172,269\170,28\-1
"Возрождения ул., д.19/38",1080\600,950\578,-12\-4
"Возрождения ул., д.23",389\235,344\190,-12\-19
"Возрождения ул., д.25",476\262,478\271,0\3
"Возрождения ул., д.27",368\208,366\226,-1\9
"Гладкова ул., д.1",156,146,-6
"Гладкова ул., д.7/10",230\180,261\204,13\13
"Гладкова ул., д.11",206\0,155\0,-25\-
"Гладкова ул., д.17",208\152,557\245,168\61
"Гладкова ул., д.21",51\53,37\0,-27\-100
"Гладкова ул., д.23",330\206,511\298,55\45
"Гладкова ул., д.24/7",52\62,155\50,198\-19
"Гладкова ул., д.25",281\236,1360\577,384\144
"Гладкова ул., д.31/7",166\84,199\155,20\85
"Гладкова ул., д.33",122\113,357\240,193\112
"Гладкова ул., д.35",182\107,236\217,30\103
"Гладкова ул., д.39",77\58,127\57,65\-2
"Гладкова ул., д.41",25\32,88\38,252\19
"Губина ул., д.1/32",283\60,449\101,59\68
"Губина ул., д.4",108\82,160\105,48\28
"Губина ул., д.6",793\357,822\365,4\2
"Губина ул., д.8",271\175,260\180,-4\3
"Губина ул., д.9, к.2",177\140,162\87,-8\-38
"Губина ул., д.12",136\72,176\85,29\18
"Губина ул., д.13, к.1",134\73,217\104,62\42
"Губина ул., д.13, к.2",31\12,35\21,13\75
"Губина ул., д.14",58\31,85\54,47\74
"Губина ул., д.18",100\98,184\121,84\23
"Губина ул., д.19/16",106\70,100\65,-6\-7
"Губина ул., д.20",130\53,212\78,63\47
"Губина ул., д.21",109\90,87\33,-20\-63
"Губина ул., д.22/21",57\34,118\62,107\82
"Губина ул., д.23/19",115\52,155\90,35\73
"Двинская ул., д.4",707\399,648\397,-8\-1
"Двинская ул., д.4, к.1",431\234,351\217,-19\-7
"Двинская ул., д.4, к.2",660\365,623\379,-6\4
"Двинская ул., д.4, к.3",534\306,552\334,3\9
"Двинская ул., д.4, к.4",424\251,428\284,1\13
"Двинская ул., д.8",603\328,438\255,-27\-22
"Двинская ул., д.9",547\271,549\268,0\-1
"Двинская ул., д.10",493\330,595\402,21\22
"Двинская ул., д.14",379\193,371\187,-2\-3
"Двинская ул., д.14, к.4",1297\358,1243\320,-4\-11
"Двинская ул., д.17",481\189,394\168,-18\-11
"Зайцева ул., д.3",354\0,330\0,-7\-
"Зайцева ул., д.17/23",1120\592,1045\561,-7\-5
"Зайцева ул., д.18/16",213\125,170\103,-20\-18
"Зайцева ул., д.19/18",621\364,486\332,-22\-9
"Зайцева ул., д.21",51\26,56\28,10\8
"Зайцева ул., д.22/13",1559\745,1578\723,1\-3
"Зайцева ул., д.25",426\245,462\304,8\24
"Зайцева ул., д.26",2\1,2\1,0\0
"Зайцева ул., д.29",123\68,103\66,-16\-3
"Зайцева ул., д.31",659\384,475\293,-28\-24
"Зайцева ул., д.32",378\211,438\260,16\23
"Зайцева ул., д.33",647\357,561\339,-13\-5
"Зайцева ул., д.34",614\327,594\311,-3\-5
"Зайцева ул., д.36",591\357,435\281,-26\-21
"Зайцева ул., д.37",1015\529,976\509,-4\-4
"Зайцева ул., д.39",453\242,428\247,-6\2
"Зины Портновой ул., д.4",83\61,99\77,19\26
"Зины Портновой ул., д.6",539\362,519\398,-4\10
"Зины Портновой ул., д.8",539\351,463\345,-14\-2
"Зины Портновой ул., д.10",350\209,453\296,29\42
"Зины Портновой ул., д.12",528\373,425\346,-20\-7
"Зины Портновой ул., д.14",568\383,510\398,-10\4
"Зины Портновой ул., д.16",560\284,594\300,6\6
"Зины Портновой ул., д.18",488\303,417\285,-15\-6
"Зины Портновой ул., д.20",158\97,145\109,-8\12
"Зины Портновой ул., д.22",289\172,289\196,0\14
"Зины Портновой ул., д.24",478\289,458\313,-4\8
"Зины Портновой ул., д.26",485\289,455\298,-6\3
"Зины Портновой ул., д.28",616\315,660\332,7\5
"Зины Портновой ул., д.30",626\381,591\409,-6\7
"Зои Космодемьянской ул., д.6, к.1",430\195,527\192,23\-2
"Зои Космодемьянской ул., д.6, к.2",338\76,130\160,-62\111
"Зои Космодемьянской ул., д.8/17",105\58,73\46,-30\-21
"Зои Космодемьянской ул., д.17/26",208\118,517\321,149\172
"Зои Космодемьянской ул., д.25/20",235\135,76\38,-68\-72
"Ивана Черных ул., д.13",813\477,571\397,-30\-17
"Ивана Черных ул., д.15",323\203,322\206,0\1
"Ивана Черных ул., д.19",388\165,376\234,-3\42
"Канонерский о., д.8",2280\420,1580\280,-31\-33
"Канонерский о., д.9",2970\1275,2640\1170,-11\-8
"Канонерский о., д.10",2797\1071,2730\1145,-2\7
"Канонерский о., д.12",963\491,827\419,-14\-15
"Канонерский о., д.12, к.2",1239\621,941\485,-24\-22
"Канонерский о., д.13",789\483,600\144,-24\-70
"Канонерский о., д.14",836\485,637\404,-24\-17
"Канонерский о., д.16",287\156,285\160,-1\3
"Канонерский о., д.17",96\48,102\51,6\6
"Канонерский о., д.25",1384\666,1161\554,-16\-17
"Корнеева ул., д.2",484\220,485\260,0\18
"Корнеева ул., д.6",1197\244,1685\384,41\57
"Косинова ул., д.5",46\0,72\34,57\-
"Косинова ул., д.7",66\36,113\54,71\50
"Косинова ул., д.9/9",51\3,130\62,155\1967
"Краснопутиловская ул., д.16/13",237\85,39\70,-84\-18
"Краснопутиловская ул., д.18",157\84,158\85,1\1
"Краснопутиловская ул., д.20",507\243,354\163,-30\-33
"Краснопутиловская ул., д.26",933\465,737\337,-21\-28
"Краснопутиловская ул., д.28/20",1361\729,918\488,-33\-33
"Ленинский пр., д.110, к.1а",737\366,527\351,-28\-4
"Ленинский пр., д.110, к.1б",4437\2876,3775\2774,-15\-4
"Ленинский пр., д.120, к.2",254\143,296\174,17\22
"Ленинский пр., д.124",3930\1365,4388\1751,12\28
"Майков пер., д.3",31\47,174\104,461\121
"Майков пер., д.5а",97\63,208\131,114\108
"Майков пер., д.7/1",52\32,113\57,117\78
"Маршала Говорова ул., д.5/4",1663\656,1140\710,-31\8
"Маршала Говорова ул., д.6/5",644\389,698\461,8\19
"Маршала Говорова ул., д.7",458\250,350\199,-24\-20
"Маршала Говорова ул., д.11/3",558\312,570\303,2\-3
"Маршала Говорова ул., д.15",199\126,197\140,-1\11
"Маршала Говорова ул., д.17",320\179,269\167,-16\-7
"Маршала Говорова ул., д.21",566\289,589\309,4\7
"Маршала Говорова ул., д.23",701\358,554\282,-21\-21
"Маршала Говорова ул., д.24",508\280,542\348,7\24
"Маршала Говорова ул., д.26, к.2",180\97,325\166,81\71
"Маршала Жукова пр., д.18а",958\605,706\487,-26\-20
"Маршала Жукова пр., д.18б",2701\1350,2871\1428,6\6
"Маршала Жукова пр., д.18в",4073\2131,3194\1733,-22\-19
"Маршала Жукова пр., д.18г",1573\1107,1206\1029,-23\-7
"Маршала Жукова пр., д.18д",886\896,595\967,-33\8
"Маршала Жукова пр., д.26/16а",1271\975,1026\886,-19\-9
"Маршала Жукова пр., д.26/16б",2648\1388,2042\1060,-23\-24
"Маршала Жукова пр., д.26/16в",3259\1870,3692\1665,13\-11
"Маршала Жукова пр., д.28, к.1",3741\2141,3127\1844,-16\-14
"Маршала Жукова пр., д.30, к.2а",1807\1075,1140\750,-37\-30
"Маршала Жукова пр., д.30, к.2б",2383\1281,1809\1065,-24\-17
"Маршала Жукова пр., д.30, к.2в",3145\1556,2397\1143,-24\-27
"Маршала Жукова пр., д.30, к.2г",2486\1796,1445\1228,-42\-32
"Маршала Жукова пр., д.30, к.2д",2300\1845,2064\1166,-10\-37
"Маршала Жукова пр., д.30, к.2е",2637\1656,1633\968,-38\-42
"Маршала Жукова пр., д.30, к.2ж",2984\1507,1744\990,-42\-34
"Маршала Жукова пр., д.32, к.1",5347\2856,5306\2903,-1\2
"Маршала Жукова пр., д.34, к.1а",2513\1559,2065\1349,-18\-13
"Маршала Жукова пр., д.34, к.1б",370\84,309\67,-16\-20
"Маршала Жукова пр., д.34, к.1в",2945\2527,2001\2012,-32\-20
"Маршала Жукова пр., д.34, к.1г",1570\958,1433\863,-9\-10
"Маршала Жукова пр., д.34, к.1д",685\154,568\123,-17\-20
"Маршала Жукова пр., д.34, к.1е",1023\233,854\184,-17\-21
"Маршала Казакова ул., д.1, к.2",2302\1209,1915\1082,-17\-11
"Маршала Казакова ул., д.3, к.1",3359\1814,2896\1639,-14\-10
"Маршала Казакова ул., д.5, к.1а",1428\873,1132\769,-21\-12
"Маршала Казакова ул., д.5, к.1б",2774\1545,2264\1364,-18\-12
"Маршала Казакова ул., д.10, к.1а",2493\1659,2121\1469,-15\-11
"Маршала Казакова ул., д.10, к.1б",2174\1130,1664\1006,-23\-11
"Маршала Казакова ул., д.10, к.1в",2884\1688,2159\1458,-25\-14
"Маршала Казакова ул., д.10, к.1д",2036\1149,1475\892,-28\-22
"Маршала Казакова ул., д.13",3345\1082,3168\933,-5\-14
"Метростроевцев ул., д.2",315\182,442\292,40\60
"Метростроевцев ул., д.3",101\52,180\93,78\79
"Морской пехоты ул., д.4",5176\2933,3988\2449,-23\-17
"Морской пехоты ул., д.6, к.1",1777\480,1557\403,-12\-16
"Морской пехоты ул., д.10, к.1",4292\2299,3494\1921,-19\-16
"Морской пехоты ул., д.14",1747\934,1861\554,7\-41
"Новаторов бул., д.1",818\422,817\486,0\15
"Новаторов бул., д.3",644\413,584\428,-9\4
"Новоовсянниковская ул., д.9",134\100,297\269,122\169
"Новоовсянниковская ул., д.13",81\46,187\95,131\107
"Новостроек ул., д.8",38\29,44\28,16\-3
"Новостроек ул., д.20",467\272,365\248,-22\-9
"Новостроек ул., д.27",436\246,355\209,-19\-15
"Новостроек ул., д.28",356\199,383\227,8\14
"Новостроек ул., д.29",275\125,357\177,30\42
"Новостроек ул., д.31",371\192,312\162,-16\-16
"Новостроек ул., д.33",294\182,308\212,5\16
"Новостроек ул., д.35",204\107,146\72,-28\-33
"Оборонная ул., д.3",8\283,102\154,1175\-46
"Оборонная ул., д.4",1466\781,872\469,-41\-40
"Оборонная ул., д.6",102\0,117\33,15\-
"Оборонная ул., д.14",173\37,272\183,57\395
"Оборонная ул., д.15",,,-\-
"Оборонная ул., д.17/13",97\47,241\148,148\215
"Оборонная ул., д.19",139\193,195\206,40\7
"Оборонная ул., д.20/18",78\45,43\21,-45\-53
"Оборонная ул., д.23/17",105\51,75\39,-29\-24
"Оборонная ул., д.27",108\0,258\0,139\-
"Огородный пер., д.4, к.3",220\130,524\284,138\118
"Огородный пер., д.6, к.1",215\98,394\215,83\119
"Промышленная ул., д.26",196\184,160\2,-18\-99
"Промышленная ул., д.28",105\64,138\67,31\5
"Промышленная ул., д.30",39\21,30\15,-23\-29
"Промышленная ул., д.34",182\46,34\64,-81\39
"Промышленная ул., д.38",30\5,98\59,227\1080
"Севастопольская ул., д.6",260\0,224\0,-14\-
"Севастопольская ул., д.34",65\36,45\54,-31\50
"Стачек пр., д.1",663\474,1039\781,57\65
"Стачек пр., д.2/2",32\25,156\48,388\92
"Стачек пр., д.4/1",200\120,219\112,10\-7
"Стачек пр., д.11",0\230,339\237,-\3
"Стачек пр., д.17",713\499,864\545,21\9
"Стачек пр., д.19",1345\625,1490\597,11\-4
"Стачек пр., д.22",158\105,217\166,37\58
"Стачек пр., д.22а",689\278,868\430,26\55
"Стачек пр., д.23",1310\480,798\391,-39\-19
"Стачек пр., д.29",270\172,183\84,-32\-51
"Стачек пр., д.33/2",140\180,142\174,1\-3
"Стачек пр., д.34, к.2",123\120,280\99,128\-18
