"АВТОВСКАЯ УЛ., д.21","296,7\256,1",238\227,-20\-11
"АВТОВСКАЯ УЛ., д.22","145,458\122,4","174,1\148",20\21
"АВТОВСКАЯ УЛ., д.25","181\128,2",113\96,-38\-25
"АВТОВСКАЯ УЛ., д.26/37","400,2\216,7","459,1\218",15\1
"АВТОВСКАЯ УЛ., д.28/30","225,3\158,9",157\125,-30\-21
"АВТОВСКАЯ УЛ., д.29","777,9\358,7",764\362,-2\1
"АВТОВСКАЯ УЛ., д.30","82,7\62",61\57,-26\-8
"АВТОВСКАЯ УЛ., д.32","95,257\72","76,8\62",-19\-14
"АВТОВСКАЯ УЛ., д.34","92\60,9",70\49,-24\-20
"АВТОВСКАЯ УЛ., д.38","65,7\40,8",54\35,-18\-14
"АВТОВСКАЯ УЛ., д.40","197,9\167,4",138\116,-30\-31
"АВТОВСКАЯ УЛ., д.46","99\51,3",85\45,-14\-12
"АВТОВСКАЯ УЛ., д.52","146,7\137,6",101\138,-31\0
"БАЛТИЙСКАЯ УЛ., д.2/14","698,02\549,3","528,7\294",-24\-46
"БАЛТИЙСКАЯ УЛ., д.12","347,842\273,8","248,3\223",-29\-19
"БАЛТИЙСКАЯ УЛ., д.14",569\289,491\245,-14\-15
"БАЛТИЙСКАЯ УЛ., д.17","43,173\30,2","23,5\14",-46\-54
"БАЛТИЙСКАЯ УЛ., д.17, корп.2","357,27\270,3","375,7\198",5\-27
"БАЛТИЙСКАЯ УЛ., д.18","45,9\32,9",24\20,-48\-39
"БАЛТИЙСКАЯ УЛ., д.19А","17,6\17,1","14,1\23,1",-20\35
"БАЛТИЙСКАЯ УЛ., д.19Б","9,1\8,9","7,3\11,9",-20\34
"БАЛТИЙСКАЯ УЛ., д.20","18,37\19,81","15,2\15,2",-17\-23
"БАЛТИЙСКАЯ УЛ., д.21",,3\1,-\-
"БАЛТИЙСКАЯ УЛ., д.21, корп.2","28,8\15,5",38\35,32\126
"БАЛТИЙСКАЯ УЛ., д.22","14,32\15,39","11,8\11,8",-18\-23
"БАЛТИЙСКАЯ УЛ., д.23","42,6\21,8",48\24,13\10
"БАЛТИЙСКАЯ УЛ., д.24","66,065\72,9","51,1\30",-23\-59
"БАЛТИЙСКАЯ УЛ., д.25",92\47,86\43,-7\-9
"БАЛТИЙСКАЯ УЛ., д.27","82,611\44,2","53,9\35",-35\-21
"БАЛТИЙСКАЯ УЛ., д.32А","52,8\39,69","42,4\34,1",-20\-14
"БАЛТИЙСКАЯ УЛ., д.32Д","20,07\15,01","16,1\12,9",-20\-14
"БАЛТИЙСКАЯ УЛ., д.34","63,91\0","33,2\0",-48\-
