"АВТОВСКАЯ УЛ., д.21","276\159","292\156","6\-2"
"АВТОВСКАЯ УЛ., д.22","179,76\147","179,132\150","0\2"
"АВТОВСКАЯ УЛ., д.25","212\161","186\147","-12\-9"
"АВТОВСКАЯ УЛ., д.26/37","361,73\192","416,451\203","15\6"
"АВТОВСКАЯ УЛ., д.28/30","161\102","148\116","-8\14"
"АВТОВСКАЯ УЛ., д.29","536\236","606\265","13\12"
"АВТОВСКАЯ УЛ., д.30","90\61","95\61","6\0"
"АВТОВСКАЯ УЛ., д.32","69,293\54","73,467\67","6\24"
"АВТОВСКАЯ УЛ., д.34","73\43","88\114","21\165"
"АВТОВСКАЯ УЛ., д.38","45\28","49\35","9\25"
"АВТОВСКАЯ УЛ., д.40","322\260","163\181","-49\-30"
"АВТОВСКАЯ УЛ., д.46","126\64","93\47","-26\-27"
"АВТОВСКАЯ УЛ., д.52","220\199","111\137","-50\-31"
"БАЛТИЙСКАЯ УЛ., д.2/14","753,1\383","555,9\289","-26\-25"
"БАЛТИЙСКАЯ УЛ., д.12","258,99\184","208,55\161","-19\-13"
"БАЛТИЙСКАЯ УЛ., д.14","261,44\0","261,44\0","0\-"
"БАЛТИЙСКАЯ УЛ., д.17","9,72\4","18\8","85\100"
"БАЛТИЙСКАЯ УЛ., д.17, корп.2","210,8\39","241,4\25","15\-36"
"БАЛТИЙСКАЯ УЛ., д.18","45\31","43\30","-4\-3"
"БАЛТИЙСКАЯ УЛ., д.19А","36,2\25,7","34,3\21,7","-5\-16"
"БАЛТИЙСКАЯ УЛ., д.19Б","18,8\13,3","17,7\11,3","-6\-15"
"БАЛТИЙСКАЯ УЛ., д.20","19,8\19,7","24,4\24,8","23\26"
"БАЛТИЙСКАЯ УЛ., д.21, корп.2","51\30","66\40","29\33"
"БАЛТИЙСКАЯ УЛ., д.22","15,39\15,3","18,95\19,2","23\25"
"БАЛТИЙСКАЯ УЛ., д.23","21\11","36\18","71\64"
"БАЛТИЙСКАЯ УЛ., д.24","4,38\7","1,46\5","-67\-29"
"БАЛТИЙСКАЯ УЛ., д.25","60,344\0","72,25\0","20\-"
"БАЛТИЙСКАЯ УЛ., д.27","57,076\0","57,08\0","0\-"
"БАЛТИЙСКАЯ УЛ., д.32А","38,3\27,5","49,4\40,6","29\48"
"БАЛТИЙСКАЯ УЛ., д.32Д","14,5\10,5","18,76\15,4","29\47"
"БАЛТИЙСКАЯ УЛ., д.34","63,91\0","302,12\0","373\-"
"БАЛТИЙСКАЯ УЛ., д.36/9","125,12\70","233,68\129","87\84"
"БАЛТИЙСКАЯ УЛ., д.38","242\149","182\322","-25\116"
"БАРРИКАДНАЯ УЛ., д.3","197\107","147\106","-25\-1"
"БАРРИКАДНАЯ УЛ., д.4","90,516\0","90,52\0","0\-"
"БАРРИКАДНАЯ УЛ., д.34","77\40","91\49","18\23"
"БЕЛОУСОВА УЛ., д.3","31\17","40\24","29\41"
"БЕЛОУСОВА УЛ., д.5","46\34","78\66","70\94"
"БЕЛОУСОВА УЛ., д.6/42","354,9\199","349,44\214","-2\8"
"БЕЛОУСОВА УЛ., д.10","75,392\0","75,39\0","0\-"
"БЕЛОУСОВА УЛ., д.14/41","37\20","21\10","-43\-50"
"БЕЛОУСОВА УЛ., д.16","108,73\63","81,34\45","-25\-29"
"БЕЛОУСОВА УЛ., д.18","114\58","104\55","-9\-5"
"БЕЛОУСОВА УЛ., д.18, корп.1","217\180","157\166","-28\-8"
"БЕЛОУСОВА УЛ., д.20","105\77","61\51","-42\-34"
"БЕЛОУСОВА УЛ., д.22","1821\388","111,3\38,4","-94\-90"
"БЕЛОУСОВА УЛ., д.24/32","71,89\67","42,77\58","-41\-13"
"ВАСИ АЛЕКСЕЕВА УЛ., д.7","139,16\124","55,86\69","-60\-44"
"ВАСИ АЛЕКСЕЕВА УЛ., д.9","17,67\31","18,6\32","5\3"
"ВАСИ АЛЕКСЕЕВА УЛ., д.10","888,61\363","793,97\341","-11\-6"
"ВАСИ АЛЕКСЕЕВА УЛ., д.11","206\146","89\77","-57\-47"
"ВАСИ АЛЕКСЕЕВА УЛ., д.17","242\187","144\124","-40\-34"
"ВАСИ АЛЕКСЕЕВА УЛ., д.20/24","202,7\132","179,4\129","-11\-2"
"ВАСИ АЛЕКСЕЕВА УЛ., д.21","252\208","147,75\141","-41\-32"
"ВАСИ АЛЕКСЕЕВА УЛ., д.22","582,72\528","323,52\380","-44\-28"
