"АВТОВСКАЯ УЛ., д.21",238\227,408\253,71\11
"АВТОВСКАЯ УЛ., д.22","174,1\148",207\173,19\17
"АВТОВСКАЯ УЛ., д.25",113\96,128\121,13\26
"АВТОВСКАЯ УЛ., д.26/37","459,1\218","546,3\279",19\28
"АВТОВСКАЯ УЛ., д.28/30",157\125,152\148,-3\18
"АВТОВСКАЯ УЛ., д.29",764\362,883\409,16\13
"АВТОВСКАЯ УЛ., д.30",61\57,63\56,3\-2
"АВТОВСКАЯ УЛ., д.32","76,8\62","83,5\72",9\16
"АВТОВСКАЯ УЛ., д.34",70\49,75\52,7\6
"АВТОВСКАЯ УЛ., д.38",54\35,55\38,2\9
"АВТОВСКАЯ УЛ., д.40",138\116,146\137,6\18
"АВТОВСКАЯ УЛ., д.46",85\45,89\43,5\-4
"АВТОВСКАЯ УЛ., д.52",101\138,117\171,16\24
"БАЛТИЙСКАЯ УЛ., д.2/14","528,7\294","435,2\222",-18\-24
"БАЛТИЙСКАЯ УЛ., д.12","248,3\223","181,4\179",-27\-20
"БАЛТИЙСКАЯ УЛ., д.14",491\245,435\223,-11\-9
"БАЛТИЙСКАЯ УЛ., д.17","23,5\14","23,5\21",0\50
"БАЛТИЙСКАЯ УЛ., д.17, корп.2","375,7\198","291,55\153",-22\-23
"БАЛТИЙСКАЯ УЛ., д.18",24\20,11\7,-54\-65
"БАЛТИЙСКАЯ УЛ., д.19А","14,1\23,1","10,6\19,1",-25\-17
"БАЛТИЙСКАЯ УЛ., д.19Б","7,3\11,9","5,5\9,9",-25\-17
"БАЛТИЙСКАЯ УЛ., д.20","15,2\15,2","16,6\18,6",9\22
"БАЛТИЙСКАЯ УЛ., д.21",3\1,1\0,-67\-100
"БАЛТИЙСКАЯ УЛ., д.21, корп.2",38\35,42\25,11\-29
"БАЛТИЙСКАЯ УЛ., д.22","11,8\11,8","12,9\14,4",9\22
"БАЛТИЙСКАЯ УЛ., д.23",48\24,34\18,-29\-25
"БАЛТИЙСКАЯ УЛ., д.24","51,1\30","45,99\25",-10\-17
"БАЛТИЙСКАЯ УЛ., д.25",86\43,85\44,-1\2
"БАЛТИЙСКАЯ УЛ., д.27","53,9\35","28,49\20",-47\-43
"БАЛТИЙСКАЯ УЛ., д.32А","42,4\34,1","29,2\25,4",-31\-26
"БАЛТИЙСКАЯ УЛ., д.32Д","16,1\12,9","11,1\9,6",-31\-26
"БАЛТИЙСКАЯ УЛ., д.34","33,2\0","28,2\0",-15\-
"БАЛТИЙСКАЯ УЛ., д.36/9","94,8\51","82,8\46",-13\-10
"БАЛТИЙСКАЯ УЛ., д.38",150\111,107\95,-29\-14
"БАРРИКАДНАЯ УЛ., д.3",135\82,98\66,-27\-20
"БАРРИКАДНАЯ УЛ., д.4",75\41,57\24,-24\-41
"БАРРИКАДНАЯ УЛ., д.5",270\274,156\172,-42\-37
"БАРРИКАДНАЯ УЛ., д.34",54\32,50\32,-7\0
"БЕЛОУСОВА УЛ., д.3",29\17,35\21,21\24
"БЕЛОУСОВА УЛ., д.5",84\76,53\58,-37\-24
"БЕЛОУСОВА УЛ., д.6/42",324\190,"309,4\174",-5\-8
"БЕЛОУСОВА УЛ., д.10","119,3\79","113,3\71",-5\-10
"БЕЛОУСОВА УЛ., д.14/41",11\6,2\1,-82\-83
"БЕЛОУСОВА УЛ., д.16","72,2\64","89,6\52",24\-19
"БЕЛОУСОВА УЛ., д.18",97\53,118\61,22\15
"БЕЛОУСОВА УЛ., д.18, корп.1",230\138,161\144,-30\4
"БЕЛОУСОВА УЛ., д.20",53\26,48\24,-9\-8
"БЕЛОУСОВА УЛ., д.22",21\10,19\9,-10\-10
"БЕЛОУСОВА УЛ., д.24/32","27,3\39","16,38\26",-40\-33
"ВАСИ АЛЕКСЕЕВА УЛ., д.7","106,8\90","19,6\33",-82\-63
"ВАСИ АЛЕКСЕЕВА УЛ., д.9",14\10,13\9,-7\-10
"ВАСИ АЛЕКСЕЕВА УЛ., д.10","404,04\198","476,84\224",18\13
"ВАСИ АЛЕКСЕЕВА УЛ., д.11",108\87,95\83,-12\-5
"ВАСИ АЛЕКСЕЕВА УЛ., д.17",131\119,130\117,-1\-2
"ВАСИ АЛЕКСЕЕВА УЛ., д.20/24","132,05\77","114,45\74",-13\-4
"ВАСИ АЛЕКСЕЕВА УЛ., д.21","48,8\35","39,8\30",-18\-14
"ВАСИ АЛЕКСЕЕВА УЛ., д.22","522,2\505",479\570,-8\13
"ВАСИ АЛЕКСЕЕВА УЛ., д.24",207\157,225\182,9\16
"ВАСИ АЛЕКСЕЕВА УЛ., д.25",85\59,98\71,15\20
"ВАСИ АЛЕКСЕЕВА УЛ., д.26","287,6\235","321,5\287",12\22
"ВАСИ АЛЕКСЕЕВА УЛ., д.28",172\134,149\125,-13\-7
"ВАСИ АЛЕКСЕЕВА УЛ., д.30","356,3\285","350,6\276",-2\-3
"ВОЗРОЖДЕНИЯ УЛ., д.7/25","225,1\140","256,7\154",14\10
"ВОЗРОЖДЕНИЯ УЛ., д.9","12,48\8","11,7\8",-6\0
"ВОЗРОЖДЕНИЯ УЛ., д.15","60,4\64","58,4\69",-3\8
"ВОЗРОЖДЕНИЯ УЛ., д.19/38","441,8\333","418,5\327",-5\-2
"ВОЗРОЖДЕНИЯ УЛ., д.23",59\32,73\40,24\25
"ВОЗРОЖДЕНИЯ УЛ., д.25",126\106,79\42,-37\-60
"ВОЗРОЖДЕНИЯ УЛ., д.27",175\102,184\118,5\16
"ГЛАДКОВА УЛ., д.1","15,8\22","18,17\33",15\50
"ГЛАДКОВА УЛ., д.1А",59\29,56\29,-5\0
"ГЛАДКОВА УЛ., д.7/10","10,6\22","14,2\40",34\82
"ГЛАДКОВА УЛ., д.11",40\23,42\25,5\9
"ГЛАДКОВА УЛ., д.13",31\23,32\16,3\-30
"ГЛАДКОВА УЛ., д.17",68\53,111\76,63\43
"ГЛАДКОВА УЛ., д.19",92\99,66\61,-28\-38
"ГЛАДКОВА УЛ., д.21",56\30,20\9,-64\-70
"ГЛАДКОВА УЛ., д.23",107\116,74\99,-31\-15
"ГЛАДКОВА УЛ., д.24/7",91\53,123\64,35\21
"ГЛАДКОВА УЛ., д.25",321\214,250\179,-22\-16
"ГЛАДКОВА УЛ., д.26",92\60,64\40,-30\-33
"ГЛАДКОВА УЛ., д.29",67\108,64\95,-4\-12
"ГЛАДКОВА УЛ., д.31/7",49\26,40\19,-18\-27
"ГЛАДКОВА УЛ., д.33",95\48,58\28,-39\-42
"ГЛАДКОВА УЛ., д.35",48\25,59\29,23\16
