"Автовская ул., д.21",402\210,379\195,-6\-7
"Автовская ул., д.22",282\145,261\138,-7\-5
"Автовская ул., д.25",148\146,160\143,8\-2
"Автовская ул., д.26/37","326,39\219","391,39\244",20\11
"Автовская ул., д.28/30",132\118,133\125,1\6
"Автовская ул., д.29",658\161,806\162,22\1
"Автовская ул., д.30",118\100,107\100,-9\0
"Автовская ул., д.32",107\89,99\100,-7\12
"Автовская ул., д.34",88\69,80\65,-9\-6
"Автовская ул., д.38",48\33,55\33,15\0
"Автовская ул., д.40",184\186,121\133,-34\-28
"Автовская ул., д.46",138\71,125\64,-9\-10
"Автовская ул., д.52",162\189,144\184,-11\-3
"Балтийская ул., д.2/14",396\199,"146,68\389",-63\95
"Балтийская ул., д.12","65,34\71","178,34\140",173\97
"Балтийская ул., д.14",815\0,815\1,0\-
"Балтийская ул., д.17","1486,95\1549,95","1486,95\1549,95",0\0
"Балтийская ул., д.17, к.2",429\177,"241,69\1",-44\-99
"Балтийская ул., д.18",26\34,24\48,-8\41
"Балтийская ул., д.19",34\30,61\51,79\70
"Балтийская ул., д.20","24,29\37,7","113,21\90,61",366\140
"Балтийская ул., д.21",385\7,390\13,1\86
"Балтийская ул., д.22","18,88\29,3","87,96\70,39",366\140
"Балтийская ул., д.23",10\5,5\5,-50\0
"Балтийская ул., д.24",16\15,31\67,94\347
"Балтийская ул., д.25",102\51,122\62,20\22
"Балтийская ул., д.27",33\16,51\27,55\69
"Балтийская ул., д.32","45,07\45","91,07\74",102\64
"Балтийская ул., д.34","13,01\0","39,01\0",200\-
"Балтийская ул., д.36/9",115\58,"88,5\115",-23\98
"Балтийская ул., д.38",179\157,211\210,18\34
"Баррикадная ул., д.3",300\20,300\20,0\0
"Баррикадная ул., д.4",197\96,196\81,-1\-16
"Баррикадная ул., д.34",77\44,50\35,-35\-20
"Белоусова ул., д.3",22\96,70\73,218\-24
"Белоусова ул., д.5",77\83,37\56,-52\-33
"Белоусова ул., д.6/42","359,6\243","205,6\156",-43\-36
"Белоусова ул., д.10",55\185,"161,17\49",193\-74
"Белоусова ул., д.14/41",185\95,144\71,-22\-25
"Белоусова ул., д.16","133,78\70","263,78\73",97\4
"Белоусова ул., д.18",110\56,75\38,-32\-32
"Белоусова ул., д.18, к.1",144\145,85\94,-41\-35
"Белоусова ул., д.20",76\63,56\50,-26\-21
"Белоусова ул., д.22",1667\851,1290\630,-23\-26
"Белоусова ул., д.24/32",25\37,9\31,-64\-16
"Васи Алексеева ул., д.7","69,99\15",12\11,-83\-27
"Васи Алексеева ул., д.9",47\52,45\50,-4\-4
"Васи Алексеева ул., д.10","156,1\161","68,1\112",-56\-30
"Васи Алексеева ул., д.11",187\183,120\145,-36\-21
"Васи Алексеева ул., д.17",208\222,127\148,-39\-33
"Васи Алексеева ул., д.20/24",143\140,143\139,0\-1
"Васи Алексеева ул., д.21",283\183,183\135,-35\-26
"Васи Алексеева ул., д.22","433,65\411","327,65\365",-24\-11
"Васи Алексеева ул., д.24",410\296,302\262,-26\-11
"Васи Алексеева ул., д.25",262\284,173\201,-34\-29
"Васи Алексеева ул., д.26","398,48\416","424,48\416",7\0
"Васи Алексеева ул., д.28",188\137,143\112,-24\-18
"Васи Алексеева ул., д.30","404,89\389","347,89\337",-14\-13
"Возрождения ул., д.7/25","405\408,69","285,69\355",-29\-13
"Возрождения ул., д.9",48\40,38\37,-21\-8
"Возрождения ул., д.15","142,48\150","142,48\152",0\1
"Возрождения ул., д.19/38","455,39\476","288,39\385",-37\-19
"Возрождения ул., д.23",226\183,160\141,-29\-23
"Возрождения ул., д.25",264\230,174\162,-34\-30
"Возрождения ул., д.27",220\143,187\119,-15\-17
"Гладкова ул., д.1","3,49\98","9,49\76",172\-22
"Гладкова ул., д.1а",88\99,65\31,-26\-69
"Гладкова ул., д.7/10","38,32\58",89\44,132\-24
"Гладкова ул., д.11",44\28,34\18,-23\-36
"Гладкова ул., д.13",48\45,23\16,-52\-64
"Гладкова ул., д.17",180\117,300\300,67\156
"Гладкова ул., д.19",27\23,20\9,-26\-61
"Гладкова ул., д.21",212\0,212\0,0\-
"Гладкова ул., д.23",267\248,225\194,-16\-22
"Гладкова ул., д.24/7",79\45,77\40,-3\-11
"Гладкова ул., д.25",486\366,364\314,-25\-14
"Гладкова ул., д.26",127\65,148\85,17\31
"Гладкова ул., д.29",87\118,56\101,-36\-14
"Гладкова ул., д.31/7",49\25,32\16,-35\-36
"Гладкова ул., д.33",201\115,166\94,-17\-18
"Гладкова ул., д.35",76\39,153\39,101\0
"Гладкова ул., д.39",43\33,38\36,-12\9
"Гладкова ул., д.41",59\43,24\13,-59\-70
"Гладкова ул., д.43",62\30,71\36,15\20
"Губина ул., д.1/32","185,71\86","142,71\76",-23\-12
"Губина ул., д.4","84,83\62","78,83\52",-7\-16
"Губина ул., д.5",488\0,488\0,0\-
"Губина ул., д.6",333\176,268\136,-20\-23
"Губина ул., д.8",151\57,89\26,-41\-54
"Губина ул., д.9, к.1",25\13,27\13,8\0
"Губина ул., д.9, к.2",67\37,57\22,-15\-41
