"АВТОВСКАЯ УЛ., д.21","268,4\149,6",392\203,46\36
"АВТОВСКАЯ УЛ., д.22","137,9\114,4","191,158\160",39\40
"АВТОВСКАЯ УЛ., д.25","132\96,8",121\82,-8\-15
"АВТОВСКАЯ УЛ., д.26/37","518,3\298,1","611,228\341",18\14
"АВТОВСКАЯ УЛ., д.28/30","93,5\93,5",144\138,54\48
"АВТОВСКАЯ УЛ., д.29","809,6\374","826,02\385",2\3
"АВТОВСКАЯ УЛ., д.30","58,3\49,5",61\56,5\13
"АВТОВСКАЯ УЛ., д.32","54,18\45,1","51,761\51",-4\13
"АВТОВСКАЯ УЛ., д.34","79,2\46,2",85\52,7\13
"АВТОВСКАЯ УЛ., д.38","48,4\30,8",70\46,45\49
"АВТОВСКАЯ УЛ., д.40","126,5\121",134\137,6\13
"АВТОВСКАЯ УЛ., д.46","52,8\29,7",87\47,65\58
"АВТОВСКАЯ УЛ., д.52","92,4\117,7",99\111,7\-6
"БАЛТИЙСКАЯ УЛ., д.2/14",527\277,"501,5\251",-5\-9
"БАЛТИЙСКАЯ УЛ., д.12","207,6\198","230,763\189,6",11\-4
"БАЛТИЙСКАЯ УЛ., д.14",624\314,"633,36\309",2\-2
"БАЛТИЙСКАЯ УЛ., д.17",442\241,"16,2\14",-96\-94
"БАЛТИЙСКАЯ УЛ., д.17, корп.2","381,7\201","377,4\197,6",-1\-2
"БАЛТИЙСКАЯ УЛ., д.18",52\29,54\32,4\10
"БАЛТИЙСКАЯ УЛ., д.19А","10\9,9","10,553\17,1",6\73
"БАЛТИЙСКАЯ УЛ., д.19Б","5,2\5,1","5,467\4,44",5\-13
"БАЛТИЙСКАЯ УЛ., д.20","11,8\14,6","8,6\12,4",-27\-15
"БАЛТИЙСКАЯ УЛ., д.21",1\1,1\0,0\-100
"БАЛТИЙСКАЯ УЛ., д.21, корп.2","28,8\16,8",27\14,-6\-17
"БАЛТИЙСКАЯ УЛ., д.22","9,1\11,4","6,7\9,6",-26\-16
"БАЛТИЙСКАЯ УЛ., д.23",54\27,52\23,-4\-15
"БАЛТИЙСКАЯ УЛ., д.24","65,7\45","68,62\36",4\-20
"БАЛТИЙСКАЯ УЛ., д.25",108\57,117\58,8\2
"БАЛТИЙСКАЯ УЛ., д.27","46,2\30","53,1\25,3",15\-16
"БАЛТИЙСКАЯ УЛ., д.32А",68\42,"70,256\45",3\7
"БАЛТИЙСКАЯ УЛ., д.32Д",26\16,"26,703\17",3\6
"БАЛТИЙСКАЯ УЛ., д.34","27,4\0",25\0,-9\-
"БАЛТИЙСКАЯ УЛ., д.36/9","101,2\54",103\59,2\9
"БАЛТИЙСКАЯ УЛ., д.38",166\140,119\102,-28\-27
"БАРРИКАДНАЯ УЛ., д.3",102\69,115\67,13\-3
"БАРРИКАДНАЯ УЛ., д.4",64\32,99\51,55\59
"БАРРИКАДНАЯ УЛ., д.5","113,3\149,6",107\154,-6\3
"БАРРИКАДНАЯ УЛ., д.34",62\35,74\38,19\9
"БЕЛОУСОВА УЛ., д.3",46\29,38\20,-17\-31
"БЕЛОУСОВА УЛ., д.5","55\62,7",56\49,2\-22
"БЕЛОУСОВА УЛ., д.6/42","326,326\168",328\176,1\5
"БЕЛОУСОВА УЛ., д.10","22,5\18","246,75\152",997\744
"БЕЛОУСОВА УЛ., д.14/41",8\3,8\3,0\0
"БЕЛОУСОВА УЛ., д.16","112,9\52",126\66,12\27
"БЕЛОУСОВА УЛ., д.18","103,4\52,8","113,4\51,2",10\-3
"БЕЛОУСОВА УЛ., д.18, корп.1","139,7\123,2",146\128,5\4
"БЕЛОУСОВА УЛ., д.20",59\29,56\30,-5\3
"БЕЛОУСОВА УЛ., д.22",22\10,"28,9\8",31\-20
"БЕЛОУСОВА УЛ., д.24/32","20,2\16,5","64,61\46",220\179
"ВАСИ АЛЕКСЕЕВА УЛ., д.7","39,2\44",37\27,-6\-39
"ВАСИ АЛЕКСЕЕВА УЛ., д.9","22,32\15",22\11,-1\-27
"ВАСИ АЛЕКСЕЕВА УЛ., д.10",446\212,444\211,0\0
"ВАСИ АЛЕКСЕЕВА УЛ., д.11","72\74,4",99\77,38\3
"ВАСИ АЛЕКСЕЕВА УЛ., д.17","122,4\86,4",194\135,58\56
"ВАСИ АЛЕКСЕЕВА УЛ., д.20/24","122,9\77","161,3\104",31\35
"ВАСИ АЛЕКСЕЕВА УЛ., д.21","24,3\13,2",30\15,23\14
"ВАСИ АЛЕКСЕЕВА УЛ., д.22","444,6\401,5","607,68\446",37\11
"ВАСИ АЛЕКСЕЕВА УЛ., д.24","211,2\171,6",225\148,7\-14
"ВАСИ АЛЕКСЕЕВА УЛ., д.25","79,2\55,2",99\66,25\20
"ВАСИ АЛЕКСЕЕВА УЛ., д.26","239,3\227,5","260,7\232",9\2
"ВАСИ АЛЕКСЕЕВА УЛ., д.28",141\112,156\115,11\3
"ВАСИ АЛЕКСЕЕВА УЛ., д.30","373,35\320",446\329,19\3
"ВОЗРОЖДЕНИЯ УЛ., д.7/25","173\110,4","184,14\121",6\10
"ВОЗРОЖДЕНИЯ УЛ., д.9","8,6\5","12,48\9",45\80
"ВОЗРОЖДЕНИЯ УЛ., д.15","43,6\52,8","59,4\80",36\52
"ВОЗРОЖДЕНИЯ УЛ., д.19/38","414,3\302,5","473,37\348",14\15
"ВОЗРОЖДЕНИЯ УЛ., д.23",84\43,86\40,2\-7
"ВОЗРОЖДЕНИЯ УЛ., д.25",86\45,81\41,-6\-9
"ВОЗРОЖДЕНИЯ УЛ., д.27","154\90,2",155\86,1\-5
"ГЛАДКОВА УЛ., д.1","38,7\31",33\39,-15\26
"ГЛАДКОВА УЛ., д.1А",61\31,"59,4\27",-3\-13
"ГЛАДКОВА УЛ., д.7/10","12,48\39",9\34,-28\-13
"ГЛАДКОВА УЛ., д.11","27,6\16,8",31\14,12\-17
"ГЛАДКОВА УЛ., д.13","21,6\18",19\21,-12\17
"ГЛАДКОВА УЛ., д.17",292\177,277\156,-5\-12
"ГЛАДКОВА УЛ., д.19","33,6\49,2",29\40,-14\-19
"ГЛАДКОВА УЛ., д.21",22\12,23\12,5\0
"ГЛАДКОВА УЛ., д.23",81\116,76\122,-6\5
"ГЛАДКОВА УЛ., д.24/7","100,8\52,8",104\52,3\-2
"ГЛАДКОВА УЛ., д.25",244\183,235\178,-4\-3
"ГЛАДКОВА УЛ., д.26","54\46,8",72\42,33\-10
"ГЛАДКОВА УЛ., д.29",71\110,70\114,-1\4
"ГЛАДКОВА УЛ., д.31/7","40,8\21,6",39\16,-4\-26
"ГЛАДКОВА УЛ., д.33",90\48,150\81,67\69
"ГЛАДКОВА УЛ., д.35","46,8\24",40\25,-15\4
"ГЛАДКОВА УЛ., д.39",16\11,18\15,13\36
"ГЛАДКОВА УЛ., д.41",1\1,1\0,0\-100
"ГЛАДКОВА УЛ., д.43","21,12\17","35,64\26",69\53
"ГУБИНА УЛ., д.1/32","210,21\101",225\102,7\1
"ГУБИНА УЛ., д.3",64\33,61\31,-5\-6
"ГУБИНА УЛ., д.4","3,7\1","2,8\1",-24\0
"ГУБИНА УЛ., д.5",121\78,106\63,-12\-19
"ГУБИНА УЛ., д.6",12\6,9\4,-25\-33
"ГУБИНА УЛ., д.8",218\65,"222,3\51",2\-22
"ГУБИНА УЛ., д.9, корп.1",15\11,"25,6\16",71\45
"ГУБИНА УЛ., д.9, корп.2",43\22,33\23,-23\5
"ГУБИНА УЛ., д.12",103\52,122\63,18\21
"ГУБИНА УЛ., д.13, корп.1","59,74\0","41,5\0",-31\-
"ГУБИНА УЛ., д.13, корп.2","97,9\60,5",101\49,3\-19
"ГУБИНА УЛ., д.14","58,3\50,6",90\47,54\-7
"ГУБИНА УЛ., д.15",84\45,38\19,-55\-58
"ГУБИНА УЛ., д.18",42\22,42\20,0\-9
"ГУБИНА УЛ., д.19/16","34,1\17,6",34\21,0\19
"ГУБИНА УЛ., д.20","42,9\19,8",40\18,-7\-9
"ГУБИНА УЛ., д.21",57\28,73\36,28\29
"ГУБИНА УЛ., д.22/21",30\15,30\15,0\0
"ГУБИНА УЛ., д.23/19",135\66,140\60,4\-9
"ДВИНСКАЯ УЛ., д.4",384\337,403\328,5\-3
"ДВИНСКАЯ УЛ., д.4, корп.1",119\109,110\115,-8\6
"ДВИНСКАЯ УЛ., д.4, корп.2",269\277,272\282,1\2
"ДВИНСКАЯ УЛ., д.4, корп.3",204\235,206\215,1\-9
"ДВИНСКАЯ УЛ., д.4, корп.4",149\172,144\160,-3\-7
"ДВИНСКАЯ УЛ., д.8","97,2\99","84,6\88",-13\-11
"ДВИНСКАЯ УЛ., д.9","141,4\77","182,28\97",29\26
"ДВИНСКАЯ УЛ., д.10",325\269,"341,8\244,4",5\-9
"ДВИНСКАЯ УЛ., д.11",191\146,200\133,5\-9
"ДВИНСКАЯ УЛ., д.14","185,8\144",189\140,2\-3
"ДВИНСКАЯ УЛ., д.14, корп.4",1381\419,1404\406,2\-3
"ДВИНСКАЯ УЛ., д.16, корп.1",4026\1483,"4013\1497,39",0\1
"ДВИНСКАЯ УЛ., д.17",605\269,599\271,-1\1
"ЗАЙЦЕВА УЛ., д.3","676,2\767",674\683,0\-11
"ЗАЙЦЕВА УЛ., д.17/23","1288,4\616","1449,48\703",13\14
"ЗАЙЦЕВА УЛ., д.18/16","185,5\117,6","135,36\93",-27\-21
"ЗАЙЦЕВА УЛ., д.19/18","187,2\176,4",250\254,34\44
"ЗАЙЦЕВА УЛ., д.20",371\276,361\254,-3\-8
"ЗАЙЦЕВА УЛ., д.21",30\18,34\20,13\11
"ЗАЙЦЕВА УЛ., д.22/13","854,084\400,4","771,74\412",-10\3
"ЗАЙЦЕВА УЛ., д.25",110\86,98\77,-11\-10
"ЗАЙЦЕВА УЛ., д.26","349,8\0","248,562\0",-29\-
"ЗАЙЦЕВА УЛ., д.29",10\19,23\35,130\84
"ЗАЙЦЕВА УЛ., д.31","261,8\200,2",218\168,-17\-16
"ЗАЙЦЕВА УЛ., д.32","122,4\110,4",157\141,28\28
"ЗАЙЦЕВА УЛ., д.33","245,8\218,4","246,5\220",0\1
"ЗАЙЦЕВА УЛ., д.34","139,2\66",158\75,14\14
"ЗАЙЦЕВА УЛ., д.36","226,8\144",264\169,16\17
"ЗАЙЦЕВА УЛ., д.37",176\112,"246,5\154",40\38
"ЗАЙЦЕВА УЛ., д.39","166,4\130",163\120,-2\-8
"ЗИНЫ ПОРТНОВОЙ УЛ., д.4",70\59,171\0,144\-100
"ЗИНЫ ПОРТНОВОЙ УЛ., д.6","159,6\210",143\191,-10\-9
"ЗИНЫ ПОРТНОВОЙ УЛ., д.8","226,8\195,6",215\191,-5\-2
"ЗИНЫ ПОРТНОВОЙ УЛ., д.10","74\135,6",73\127,-1\-6
"ЗИНЫ ПОРТНОВОЙ УЛ., д.12",66\113,72\104,9\-8
"ЗИНЫ ПОРТНОВОЙ УЛ., д.14","129\223,6",123\221,-5\-1
"ЗИНЫ ПОРТНОВОЙ УЛ., д.16",420\209,416\207,-1\-1
"ЗИНЫ ПОРТНОВОЙ УЛ., д.18",198\221,194\208,-2\-6
"ЗИНЫ ПОРТНОВОЙ УЛ., д.20","30,8\51,8","18,7\40,3",-39\-22
"ЗИНЫ ПОРТНОВОЙ УЛ., д.22","48,4\58,3",38\53,-21\-9
"ЗИНЫ ПОРТНОВОЙ УЛ., д.24","48,4\94,6",47\83,-3\-12
"ЗИНЫ ПОРТНОВОЙ УЛ., д.26",70\159,64\161,-9\1
"ЗИНЫ ПОРТНОВОЙ УЛ., д.28","261,6\139,2",253\119,-3\-15
"ЗИНЫ ПОРТНОВОЙ УЛ., д.30","186\229,2",179\208,-4\-9
"ЗОИ КОСМОДЕМЬЯНСКОЙ УЛ., д.3",234\252,"232\248,7",-1\-1
"ЗОИ КОСМОДЕМЬЯНСКОЙ УЛ., д.5","796,5\408",787\367,-1\-10
"ЗОИ КОСМОДЕМЬЯНСКОЙ УЛ., д.6, корп.1","475,95\204",466\186,-2\-9
"ЗОИ КОСМОДЕМЬЯНСКОЙ УЛ., д.8/17","34\20,4",16\18,-53\-12
"ЗОИ КОСМОДЕМЬЯНСКОЙ УЛ., д.15","126,5\70","90,396\57,4",-29\-18
"ЗОИ КОСМОДЕМЬЯНСКОЙ УЛ., д.16/24","56,2\38","53,1\36",-6\-5
"ЗОИ КОСМОДЕМЬЯНСКОЙ УЛ., д.17/26","17,7\22","63,24\39",257\77
"ЗОИ КОСМОДЕМЬЯНСКОЙ УЛ., д.21",72\71,24\71,-67\0
"ЗОИ КОСМОДЕМЬЯНСКОЙ УЛ., д.23",82\34,167\43,104\26
"ЗОИ КОСМОДЕМЬЯНСКОЙ УЛ., д.25/20",63\42,104\60,65\43
"ЗОИ КОСМОДЕМЬЯНСКОЙ УЛ., д.29","22,5\26","12,1\28",-46\8
"ИВАНА ЧЕРНЫХ УЛ., д.1","1,74\1","21,75\12",1150\1100
"ИВАНА ЧЕРНЫХ УЛ., д.3","191,4\0",196\113,2\-
"ИВАНА ЧЕРНЫХ УЛ., д.3, корп.2","150,7\79,2","148,4\106",-2\34
"ИВАНА ЧЕРНЫХ УЛ., д.13А",83\54,"80,3\50",-3\-7
"ИВАНА ЧЕРНЫХ УЛ., д.13Б",123\113,123\110,0\-3
"ИВАНА ЧЕРНЫХ УЛ., д.15А",112\70,129\72,15\3
"ИВАНА ЧЕРНЫХ УЛ., д.15Б",22\41,18\40,-18\-2
"ИВАНА ЧЕРНЫХ УЛ., д.19",94\111,91\109,-3\-2
"ИВАНА ЧЕРНЫХ УЛ., д.21","53,1\55","72,21\61",36\11
"КАНОНЕРСКИЙ ОСТРОВ, д.7",6154\3118,6227\3102,1\-1
"КАНОНЕРСКИЙ ОСТРОВ, д.8",3927\1462,3924\1440,0\-2
"КАНОНЕРСКИЙ ОСТРОВ, д.9",2280\945,2640\1140,16\21
"КАНОНЕРСКИЙ ОСТРОВ, д.10",2735\1180,2940\1710,7\45
"КАНОНЕРСКИЙ ОСТРОВ, д.12",624\303,701\292,12\-4
"КАНОНЕРСКИЙ ОСТРОВ, д.12, корп.2",498\276,528\298,6\8
"КАНОНЕРСКИЙ ОСТРОВ, д.13",345\351,408\375,18\7
"КАНОНЕРСКИЙ ОСТРОВ, д.14",327\341,"321\321,2",-2\-6
"КАНОНЕРСКИЙ ОСТРОВ, д.15",21\6,18\5,-14\-17
"КАНОНЕРСКИЙ ОСТРОВ, д.16",118\48,107\51,-9\6
"КАНОНЕРСКИЙ ОСТРОВ, д.25",226\74,227\82,0\11
"КОРНЕЕВА УЛ., д.2","674,5\420",649\394,-4\-6
"КОРНЕЕВА УЛ., д.6","1345,6\357",1430\373,6\4
"КОСИНОВА УЛ., д.5",40\21,35\18,-13\-14
"КОСИНОВА УЛ., д.7","14,72\34","17,48\31",19\-9
"КОСИНОВА УЛ., д.9/9",86\44,64\34,-26\-23
"КОСИНОВА УЛ., д.14, корп.1",227\285,217\284,-4\0
"КОСИНОВА УЛ., д.14, корп.2",129\93,126\85,-2\-9
"КРАСНОПУТИЛОВСКАЯ УЛ., д.16/13","646,1\298","910,74\492",41\65
"КРАСНОПУТИЛОВСКАЯ УЛ., д.18","61,6\41,8",69\48,12\15
"КРАСНОПУТИЛОВСКАЯ УЛ., д.20","319,77\213,4","283,05\198",-11\-7
"КРАСНОПУТИЛОВСКАЯ УЛ., д.26","440,3\238","610,6\322",39\35
"КРАСНОПУТИЛОВСКАЯ УЛ., д.28/20",409\217,"453,12\241",11\11
"ЛЕНИНСКИЙ ПР., д.110, корп.1А","240,8\221,2",273\210,13\-5
"ЛЕНИНСКИЙ ПР., д.110, корп.1Б","1093,4\1046,1",1195\1075,9\3
"ЛЕНИНСКИЙ ПР., д.120, корп.2",148\144,104\84,-30\-42
"ЛЕНИНСКИЙ ПР., д.124","1505,5\720",1499\718,0\0
"ЛЕНИНСКИЙ ПР., д.130, корп.2","807,4\379,5",790\383,-2\1
"МАЙКОВ ПЕР., д.3",47\54,46\48,-2\-11
"МАЙКОВ ПЕР., д.5А",70\36,59\32,-16\-11
"МАЙКОВ ПЕР., д.7/1",149\75,140\64,-6\-15
"МАРШАЛА ГОВОРОВА УЛ., д.3/7","294,8\0","327,52\0",11\-
"МАРШАЛА ГОВОРОВА УЛ., д.5/4",237\217,"310,31\271",31\25
"МАРШАЛА ГОВОРОВА УЛ., д.6/5","89,206\83,2","174,84\95",96\14
"МАРШАЛА ГОВОРОВА УЛ., д.7","136,8\78",114\66,-17\-15
"МАРШАЛА ГОВОРОВА УЛ., д.11/3","683,6\0","485,73\0",-29\-
"МАРШАЛА ГОВОРОВА УЛ., д.15","25,752\74,1","37,74\78",47\5
"МАРШАЛА ГОВОРОВА УЛ., д.16",3891\1605,3474\1451,-11\-10
"МАРШАЛА ГОВОРОВА УЛ., д.17","41,292\42","41,85\44",1\5
