"АВТОВСКАЯ УЛ., д.21",292\153,293\150,0\-2
"АВТОВСКАЯ УЛ., д.22",239\151,233\168,-3\11
"АВТОВСКАЯ УЛ., д.25",141\100,87\88,-38\-12
"АВТОВСКАЯ УЛ., д.26/37",315\219,429\287,36\31
"АВТОВСКАЯ УЛ., д.28/30",154\129,181\124,18\-4
"АВТОВСКАЯ УЛ., д.29",686\139,759\161,11\16
"АВТОВСКАЯ УЛ., д.30",45\51,53\66,18\29
"АВТОВСКАЯ УЛ., д.32",77\96,92\100,19\4
"АВТОВСКАЯ УЛ., д.34",234\102,230\119,-2\17
"АВТОВСКАЯ УЛ., д.38",37\31,41\26,11\-16
"АВТОВСКАЯ УЛ., д.40",153\152,193\167,26\10
"АВТОВСКАЯ УЛ., д.46",92\46,94\49,2\7
"АВТОВСКАЯ УЛ., д.52",110\118,99\104,-10\-12
"БАЛТИЙСКАЯ УЛ., д.2/14",341\220,121\383,-65\74
"БАЛТИЙСКАЯ УЛ., д.12",300\100,"431\235,34",44\135
"БАЛТИЙСКАЯ УЛ., д.14",859\437,265\178,-69\-59
"БАЛТИЙСКАЯ УЛ., д.17",144\109,143\108,-1\-1
"БАЛТИЙСКАЯ УЛ., д.17, корп.2",3341\1804,"5145,8\0",54\-100
"БАЛТИЙСКАЯ УЛ., д.18",40\52,42\47,5\-10
"БАЛТИЙСКАЯ УЛ., д.19",68\74,62\72,-9\-3
"БАЛТИЙСКАЯ УЛ., д.20",22\39,54\41,145\5
"БАЛТИЙСКАЯ УЛ., д.21",32\19,34\15,6\-21
"БАЛТИЙСКАЯ УЛ., д.22",17\30,42\31,147\3
"БАЛТИЙСКАЯ УЛ., д.23",19\10,19\10,0\0
"БАЛТИЙСКАЯ УЛ., д.24",382\353,11\64,-97\-82
"БАЛТИЙСКАЯ УЛ., д.25",119\54,106\6,-11\-89
"БАЛТИЙСКАЯ УЛ., д.27",47\29,44\26,-6\-10
"БАЛТИЙСКАЯ УЛ., д.32",77\72,85\75,10\4
"БАЛТИЙСКАЯ УЛ., д.34",32\0,3\0,-91\-
"БАЛТИЙСКАЯ УЛ., д.36/9",171\157,118\137,-31\-13
"БАЛТИЙСКАЯ УЛ., д.38",156\140,152\128,-3\-9
"БАРРИКАДНАЯ УЛ., д.3",201\0,205\0,2\-
"БАРРИКАДНАЯ УЛ., д.4",44\22,50\30,14\36
"БАРРИКАДНАЯ УЛ., д.34",40\23,66\48,65\109
"БЕЛОУСОВА УЛ., д.3",13\33,9\15,-31\-55
"БЕЛОУСОВА УЛ., д.5",36\44,20\26,-44\-41
"БЕЛОУСОВА УЛ., д.6/42",262\64,240\60,-8\-6
"БЕЛОУСОВА УЛ., д.10",2\30,7\40,250\33
"БЕЛОУСОВА УЛ., д.14/41",35\15,40\19,14\27
"БЕЛОУСОВА УЛ., д.16",99\95,104\105,5\11
"БЕЛОУСОВА УЛ., д.18",46\26,58\32,26\23
"БЕЛОУСОВА УЛ., д.18, корп.1",57\32,45\26,-21\-19
"БЕЛОУСОВА УЛ., д.20",34\31,27\22,-21\-29
"БЕЛОУСОВА УЛ., д.22",1088\535,968\496,-11\-7
"БЕЛОУСОВА УЛ., д.24/32",98\2,18\19,-82\850
"ВАСИ АЛЕКСЕЕВА УЛ., д.7",0\32,0\24,-\-25
"ВАСИ АЛЕКСЕЕВА УЛ., д.9",40\48,21\22,-48\-54
"ВАСИ АЛЕКСЕЕВА УЛ., д.10",359\246,506\330,41\34
"ВАСИ АЛЕКСЕЕВА УЛ., д.11",173\162,112\124,-35\-23
"ВАСИ АЛЕКСЕЕВА УЛ., д.17",84\87,123\120,46\38
"ВАСИ АЛЕКСЕЕВА УЛ., д.20/24",254\184,163\108,-36\-41
"ВАСИ АЛЕКСЕЕВА УЛ., д.21",204\147,160\119,-22\-19
"ВАСИ АЛЕКСЕЕВА УЛ., д.22",309\377,320\361,4\-4
"ВАСИ АЛЕКСЕЕВА УЛ., д.24",242\165,277\201,14\22
"ВАСИ АЛЕКСЕЕВА УЛ., д.25",138\182,144\168,4\-8
"ВАСИ АЛЕКСЕЕВА УЛ., д.26",164\164,70\85,-57\-48
"ВАСИ АЛЕКСЕЕВА УЛ., д.28",207\116,265\146,28\26
"ВАСИ АЛЕКСЕЕВА УЛ., д.30",172\188,280\196,63\4
"ВОЗРОЖДЕНИЯ УЛ., д.7/25",720\511,525\393,-27\-23
"ВОЗРОЖДЕНИЯ УЛ., д.9",50\50,42\38,-16\-24
"ВОЗРОЖДЕНИЯ УЛ., д.15",131\120,152\128,16\7
"ВОЗРОЖДЕНИЯ УЛ., д.19/38",459\430,415\403,-10\-6
"ВОЗРОЖДЕНИЯ УЛ., д.23",151\106,153\123,1\16
"ВОЗРОЖДЕНИЯ УЛ., д.25",155\133,241\184,55\38
"ВОЗРОЖДЕНИЯ УЛ., д.27",174\116,150\93,-14\-20
"ГЛАДКОВА УЛ., д.1",85,32\27,
"ГЛАДКОВА УЛ., д.1А",67\0,56\0,-16\-
"ГЛАДКОВА УЛ., д.7/10",23\53,9\45,-61\-15
"ГЛАДКОВА УЛ., д.11",502\0,502\0,0\-
"ГЛАДКОВА УЛ., д.13",15\8,21\10,40\25
"ГЛАДКОВА УЛ., д.17",200\150,200\150,0\0
"ГЛАДКОВА УЛ., д.19",61\32,43\21,-30\-34
"ГЛАДКОВА УЛ., д.21",20\40,48\40,140\0
"ГЛАДКОВА УЛ., д.23",205\444,122\125,-40\-72
"ГЛАДКОВА УЛ., д.24/7",109\55,68\36,-38\-35
"ГЛАДКОВА УЛ., д.25",256\221,179\185,-30\-16
"ГЛАДКОВА УЛ., д.26",102\74,72\59,-29\-20
"ГЛАДКОВА УЛ., д.29",,51\46,-\-
"ГЛАДКОВА УЛ., д.31/7",82\68,63\39,-23\-43
"ГЛАДКОВА УЛ., д.33",102\72,73\46,-28\-36
"ГЛАДКОВА УЛ., д.35",35\15,40\21,14\40
"ГЛАДКОВА УЛ., д.39",0\40,0\27,-\-33
"ГЛАДКОВА УЛ., д.41",9\2,7\2,-22\0
"ГЛАДКОВА УЛ., д.43",42\21,47\23,12\10
"ГУБИНА УЛ., д.1/32",166\71,137\73,-17\3
"ГУБИНА УЛ., д.4",77\48,57\34,-26\-29
"ГУБИНА УЛ., д.6",54\37,61\40,13\8
"ГУБИНА УЛ., д.8",35\20,40\25,14\25
"ГУБИНА УЛ., д.9, корп.1",16\11,2\1,-88\-91
"ГУБИНА УЛ., д.9, корп.2",45\22,49\26,9\18
"ГУБИНА УЛ., д.12",0\27,0\20,-\-26
"ГУБИНА УЛ., д.13, корп.1",131\90,133\92,2\2
"ГУБИНА УЛ., д.13, корп.2",2\1,3\5,50\400
"ГУБИНА УЛ., д.14",28\13,28\13,0\0
"ГУБИНА УЛ., д.15",13\30,32\40,146\33
"ГУБИНА УЛ., д.18",45\23,51\25,13\9
"ГУБИНА УЛ., д.19/16",80\40,54\28,-33\-30
"ГУБИНА УЛ., д.20",150\63,117\50,-22\-21
"ГУБИНА УЛ., д.21",87\56,72\49,-17\-13
"ГУБИНА УЛ., д.22/21",52\28,40\23,-23\-18
"ГУБИНА УЛ., д.23/19",71\37,109\54,54\46
"ДВИНСКАЯ УЛ., д.4",427\334,502\420,18\26
"ДВИНСКАЯ УЛ., д.4, корп.1",180\169,157\146,-13\-14
"ДВИНСКАЯ УЛ., д.4, корп.2",321\249,347\291,8\17
"ДВИНСКАЯ УЛ., д.4, корп.3",352\304,336\301,-5\-1
"ДВИНСКАЯ УЛ., д.4, корп.4",162\160,144\174,-11\9
"ДВИНСКАЯ УЛ., д.8",47\96,98\167,109\74
"ДВИНСКАЯ УЛ., д.9",571\316,573\296,0\-6
"ДВИНСКАЯ УЛ., д.10",122\1536,101\169,-17\-89
"ДВИНСКАЯ УЛ., д.14",623\349,578\357,-7\2
"ДВИНСКАЯ УЛ., д.14, корп.4",1363\404,1519\452,11\12
"ДВИНСКАЯ УЛ., д.16, корп.1",2787\1511,3827\1369,37\-9
"ДВИНСКАЯ УЛ., д.17",402\178,448\202,11\13
"ЗАЙЦЕВА УЛ., д.3",70\0,70\0,0\-
"ЗАЙЦЕВА УЛ., д.17/23",884\503,942\547,7\9
"ЗАЙЦЕВА УЛ., д.18/16",21\4,88\13,319\225
"ЗАЙЦЕВА УЛ., д.19/18",372\240,304\170,-18\-29
"ЗАЙЦЕВА УЛ., д.20",,285\192,-\-
"ЗАЙЦЕВА УЛ., д.21",41\21,26\14,-37\-33
"ЗАЙЦЕВА УЛ., д.22/13",389\642,383\417,-2\-35
"ЗАЙЦЕВА УЛ., д.25",244\135,137\118,-44\-13
"ЗАЙЦЕВА УЛ., д.26",458\311,,-\-
"ЗАЙЦЕВА УЛ., д.29",67\71,36\45,-46\-37
"ЗАЙЦЕВА УЛ., д.31",423\344,304\325,-28\-6
"ЗАЙЦЕВА УЛ., д.32",302\219,337\243,12\11
"ЗАЙЦЕВА УЛ., д.33",235\191,292\229,24\20
"ЗАЙЦЕВА УЛ., д.34",558\285,442\227,-21\-20
"ЗАЙЦЕВА УЛ., д.36",364\250,393\281,8\12
"ЗАЙЦЕВА УЛ., д.37",796\457,820\465,3\2
"ЗАЙЦЕВА УЛ., д.39",277\180,295\217,6\21
"ЗИНЫ ПОРТНОВОЙ УЛ., д.4",88\61,98\66,11\8
"ЗИНЫ ПОРТНОВОЙ УЛ., д.6",144\207,147\192,2\-7
"ЗИНЫ ПОРТНОВОЙ УЛ., д.8",141\175,151\175,7\0
"ЗИНЫ ПОРТНОВОЙ УЛ., д.10",103\124,142\118,38\-5
"ЗИНЫ ПОРТНОВОЙ УЛ., д.12",97\234,152\137,57\-41
"ЗИНЫ ПОРТНОВОЙ УЛ., д.14",156\225,221\273,42\21
"ЗИНЫ ПОРТНОВОЙ УЛ., д.16",559\273,573\288,3\5
"ЗИНЫ ПОРТНОВОЙ УЛ., д.18",111\128,134\127,21\-1
"ЗИНЫ ПОРТНОВОЙ УЛ., д.20",29\67,23\77,-21\15
"ЗИНЫ ПОРТНОВОЙ УЛ., д.22",130\98,132\89,2\-9
"ЗИНЫ ПОРТНОВОЙ УЛ., д.24",76\163,77\200,1\23
"ЗИНЫ ПОРТНОВОЙ УЛ., д.26",156\167,164\177,5\6
"ЗИНЫ ПОРТНОВОЙ УЛ., д.28",745\354,791\371,6\5
"ЗИНЫ ПОРТНОВОЙ УЛ., д.30",175\165,190\173,9\5
"ЗОИ КОСМОДЕМЬЯНСКОЙ УЛ., д.3",125\160,52\92,-58\-43
"ЗОИ КОСМОДЕМЬЯНСКОЙ УЛ., д.6, корп.1",521\233,994\164,91\-30
"ЗОИ КОСМОДЕМЬЯНСКОЙ УЛ., д.6, корп.2",3\2,3\2,0\0
"ЗОИ КОСМОДЕМЬЯНСКОЙ УЛ., д.8/17",12\10,6\5,-50\-50
"ЗОИ КОСМОДЕМЬЯНСКОЙ УЛ., д.17/26",357\147,273\122,-24\-17
"ЗОИ КОСМОДЕМЬЯНСКОЙ УЛ., д.25/20",54\32,72\43,33\34
"ЗОИ КОСМОДЕМЬЯНСКОЙ УЛ., д.29",82\72,88\76,7\6
"ИВАНА ЧЕРНЫХ УЛ., д.1",,24\15,-\-
"ИВАНА ЧЕРНЫХ УЛ., д.13",306\347,296\332,-3\-4
"ИВАНА ЧЕРНЫХ УЛ., д.15",181\183,165\175,-9\-4
"ИВАНА ЧЕРНЫХ УЛ., д.19",220\249,216\234,-2\-6
"КАНОНЕРСКИЙ ОСТРОВ, д.7",8152\4674,12222\18819,50\303
"КАНОНЕРСКИЙ ОСТРОВ, д.8",4945\1891,3437\1238,-30\-35
"КАНОНЕРСКИЙ ОСТРОВ, д.9",2955\1245,2130\855,-28\-31
"КАНОНЕРСКИЙ ОСТРОВ, д.10",3660\1590,2535\1070,-31\-33
"КАНОНЕРСКИЙ ОСТРОВ, д.12",909\462,722\359,-21\-22
"КАНОНЕРСКИЙ ОСТРОВ, д.12, корп.2",681\377,621\309,-9\-18
"КАНОНЕРСКИЙ ОСТРОВ, д.13",278\351,210\296,-24\-16
"КАНОНЕРСКИЙ ОСТРОВ, д.14",367\279,174\154,-53\-45
"КАНОНЕРСКИЙ ОСТРОВ, д.16",179\117,129\83,-28\-29
"КАНОНЕРСКИЙ ОСТРОВ, д.17",20\59,273\89,1265\51
"КАНОНЕРСКИЙ ОСТРОВ, д.25",1608\661,943\447,-41\-32
"КОРНЕЕВА УЛ., д.2",354\241,345\237,-3\-2
"КОРНЕЕВА УЛ., д.6",643\293,174\249,-73\-15
"КОСИНОВА УЛ., д.5",25\0,23\12,-8\-
"КОСИНОВА УЛ., д.7",19\24,12\19,-37\-21
"КОСИНОВА УЛ., д.9/9",43\21,82\41,91\95
"КОСИНОВА УЛ., д.14, корп.1",1020\680,761\646,-25\-5
"КОСИНОВА УЛ., д.14, корп.2",35\29,35\29,0\0
"КРАСНОПУТИЛОВСКАЯ УЛ., д.16/13",71\39,75\39,6\0
"КРАСНОПУТИЛОВСКАЯ УЛ., д.18",108\63,123\71,14\13
"КРАСНОПУТИЛОВСКАЯ УЛ., д.20",18\132,25\145,39\10
"КРАСНОПУТИЛОВСКАЯ УЛ., д.26",335\233,359\281,7\21
"КРАСНОПУТИЛОВСКАЯ УЛ., д.28/20",1001\582,881\522,-12\-10
"ЛЕНИНСКИЙ ПР., д.110, корп.1А",511\357,493\315,-4\-12
"ЛЕНИНСКИЙ ПР., д.110, корп.1Б",2176\1667,1842\1655,-15\-1
"ЛЕНИНСКИЙ ПР., д.120, корп.2",124\110,149\100,20\-9
"ЛЕНИНСКИЙ ПР., д.124",3141\1258,3103\1270,-1\1
