"АВТОВСКАЯ УЛ., д.21",388\220,370\210,-5\-5
"АВТОВСКАЯ УЛ., д.22",315\180,298\166,-5\-8
"АВТОВСКАЯ УЛ., д.25",91\98,136\121,49\23
"АВТОВСКАЯ УЛ., д.26/37",467\245,410\222,-12\-9
"АВТОВСКАЯ УЛ., д.28/30",102\124,76\87,-25\-30
"АВТОВСКАЯ УЛ., д.29",482\342,254\233,-47\-32
"АВТОВСКАЯ УЛ., д.30",79\71,106\100,34\41
"АВТОВСКАЯ УЛ., д.32",61\338,50\0,-18\-100
"АВТОВСКАЯ УЛ., д.34",63\37,67\43,6\16
"АВТОВСКАЯ УЛ., д.38",36\24,59\45,64\88
"АВТОВСКАЯ УЛ., д.40",62\64,70\64,13\0
"АВТОВСКАЯ УЛ., д.46",7\10,6\1,-14\-90
"АВТОВСКАЯ УЛ., д.52",68\94,47\71,-31\-24
"БАЛТИЙСКАЯ УЛ., д.2/14",371\173,437\201,18\16
"БАЛТИЙСКАЯ УЛ., д.12",171\133,141\175,-18\32
"БАЛТИЙСКАЯ УЛ., д.14",623\315,831\440,33\40
"БАЛТИЙСКАЯ УЛ., д.17",34\23,42\22,24\-4
"БАЛТИЙСКАЯ УЛ., д.17, корп.2",590\256,534\233,-9\-9
"БАЛТИЙСКАЯ УЛ., д.18",13\6,48\24,269\300
"БАЛТИЙСКАЯ УЛ., д.19А",17\12,22\13,29\8
"БАЛТИЙСКАЯ УЛ., д.19Б",9\6,11\7,22\17
"БАЛТИЙСКАЯ УЛ., д.20",14\10,18\10,29\0
"БАЛТИЙСКАЯ УЛ., д.21",12\6,9\9,-25\50
"БАЛТИЙСКАЯ УЛ., д.21, корп.2",15\8,20\10,33\25
"БАЛТИЙСКАЯ УЛ., д.22",11\8,14\7,27\-13
"БАЛТИЙСКАЯ УЛ., д.23",11\6,12\6,9\0
"БАЛТИЙСКАЯ УЛ., д.24",60\31,63\30,5\-3
"БАЛТИЙСКАЯ УЛ., д.25",145\75,51\68,-65\-9
"БАЛТИЙСКАЯ УЛ., д.27",149\74,130\59,-13\-20
"БАЛТИЙСКАЯ УЛ., д.32А",51\38,44\33,-14\-13
"БАЛТИЙСКАЯ УЛ., д.32Д",20\15,17\20,-15\33
"БАЛТИЙСКАЯ УЛ., д.34",2\0,4\0,100\-
"БАЛТИЙСКАЯ УЛ., д.36/9",150\77,137\109,-9\42
"БАЛТИЙСКАЯ УЛ., д.38",73\96,139\100,90\4
"БАРРИКАДНАЯ УЛ., д.3",121\85,89\73,-26\-14
"БАРРИКАДНАЯ УЛ., д.4",141\70,143\67,1\-4
"БАРРИКАДНАЯ УЛ., д.5",126\174,100\174,-21\0
"БАРРИКАДНАЯ УЛ., д.34",64\21,85\62,33\195
"БЕЛОУСОВА УЛ., д.3",33\21,33\22,0\5
"БЕЛОУСОВА УЛ., д.5",96\128,123\34,28\-73
"БЕЛОУСОВА УЛ., д.6/42",456\186,183\163,-60\-12
"БЕЛОУСОВА УЛ., д.10",104\37,268\103,158\178
"БЕЛОУСОВА УЛ., д.14/41",12\3,",1\2",-99\-33
"БЕЛОУСОВА УЛ., д.16",97\61,81\20,-16\-67
"БЕЛОУСОВА УЛ., д.18",134\147,266\88,99\-40
"БЕЛОУСОВА УЛ., д.18, корп.1",78\81,144\78,85\-4
"БЕЛОУСОВА УЛ., д.20",53\27,50\24,-6\-11
