"Автовская ул., д.21",268\137,"309,05\204,65",15\49
"Автовская ул., д.22","136,09\115","175,46\148,1",29\29
"Автовская ул., д.25",219\144,"221,5\150,3",1\4
"Автовская ул., д.26/37",359\156,"454,25\260,55",27\67
"Автовская ул., д.28/30",231\151,"259,45\177,85",12\18
"Автовская ул., д.29",567\235,"804,35\479,05",42\104
"Автовская ул., д.30",98\68,"90,55\69",-8\1
"Автовская ул., д.32",49\48,"79,44\73,5",62\53
"Автовская ул., д.34",118\59,"134,5\67,85",14\15
"Автовская ул., д.38",53\32,"51,55\33,7",-3\5
"Автовская ул., д.40",125\154,"179,85\187,6",44\22
"Автовская ул., д.46",91\46,"135\69,95",48\52
"Автовская ул., д.52",107\137,"173,05\184,4",62\35
"Балтийская ул., д.2/14","540,6\308","559,13\336,45",3\9
"Балтийская ул., д.12","259,96\225","298,18\256,2",15\14
"Балтийская ул., д.14","261,44\0",637\321,144\-
"Балтийская ул., д.17","8,1\5","33,57\31,3",314\526
"Балтийская ул., д.17, к.2","435,2\26","411,48\345,95",-5\1231
"Балтийская ул., д.18",127\39,"31,35\22,85",-75\-41
"Балтийская ул., д.19а","156,104\0","156,1\0",0\-
"Балтийская ул., д.19б","80,86\0","80,86\0",0\-
"Балтийская ул., д.20","21,81\29,27","20,36\29,72",-7\2
"Балтийская ул., д.21, к.2",8\4,"17,2\8,75",115\119
"Балтийская ул., д.22","16,95\22,73","15,9\23,08",-6\2
"Балтийская ул., д.23",44\23,"43,4\22,2",-1\-3
"Балтийская ул., д.24","41,61\39","94,72\99,35",128\155
"Балтийская ул., д.25","72,254\0","72,25\0",0\-
"Балтийская ул., д.27","57,076\200","111,98\60,3",96\-70
"Балтийская ул., д.32а","59,82\43,48","49,98\38,88",-16\-11
"Балтийская ул., д.32д","22,74\16,52","18,99\14,67",-16\-11
"Балтийская ул., д.34","39,01\0","461,07\0",1082\-
"Балтийская ул., д.36/9","200,56\111","204,42\113,05",2\2
"Балтийская ул., д.38",99\87,"326,2\347,4",229\299
"Баррикадная ул., д.3",187\101,"206,35\120,3",10\19
"Баррикадная ул., д.4","90,516\0","90,52\0",0\-
"Баррикадная ул., д.34",67\37,"76,35\46,55",14\26
"Белоусова ул., д.3",37\22,"40,55\28,3",10\29
"Белоусова ул., д.5",33\46,"38,25\55,2",16\20
"Белоусова ул., д.6/42","358,54\204","332,56\1045,85",-7\413
"Белоусова ул., д.10","75,392\0","75,39\0",0\-
"Белоусова ул., д.14/41",91\46,"101,95\53,05",12\15
"Белоусова ул., д.16","65,57\39","73,99\45,15",13\16
"Белоусова ул., д.18",99\50,"116,3\62,8",17\26
"Белоусова ул., д.18, к.1",98\92,"116,15\116,7",19\27
"Белоусова ул., д.20",38\29,"39,7\40,35",4\39
"Белоусова ул., д.22",20\10,"21,45\11,8",7\18
"Белоусова ул., д.24/32","9,1\22","5,51\36,65",-39\67
"Васи Алексеева ул., д.7","39,2\42","80,41\90,7",105\116
"Васи Алексеева ул., д.9","10,23\36","12,28\21,45",20\-40
"Васи Алексеева ул., д.10",656\301,"752,44\348,4",15\16
"Васи Алексеева ул., д.11",109\81,"128,1\114",18\41
"Васи Алексеева ул., д.17","147,3\118,3","169,4\136,05",15\15
"Васи Алексеева ул., д.20/24","172,9\145","250,82\193,7",45\34
"Васи Алексеева ул., д.21","93,75\117","214,91\205,75",129\76
"Васи Алексеева ул., д.22","259,2\385","421,1\480,9",62\25
"Васи Алексеева ул., д.24",221\165,"366,55\261,4",66\58
"Васи Алексеева ул., д.25",122\131,"205,4\219,75",68\68
"Васи Алексеева ул., д.26",222\243,"378,29\360,95",70\49
"Васи Алексеева ул., д.28","163,3\118,67","187,8\136,47",15\15
"Васи Алексеева ул., д.30","315,4\222","445,22\316,25",41\42
"Возрождения ул., д.7/25","750,196\0","438,96\284",-41\-
"Возрождения ул., д.9","28,08\24","172,97\136,7",516\470
"Возрождения ул., д.15","232,65\137","171,91\147,65",-26\8
"Возрождения ул., д.19/38","379,44\289","572,46\393,3",51\36
"Возрождения ул., д.23",95\50,"86,3\46,45",-9\-7
"Возрождения ул., д.25",207\154,"252,05\210,75",22\37
"Возрождения ул., д.27",264\155,"249,5\161,6",-5\4
"Гладкова ул., д.1","22,91\58","21,61\66,85",-6\15
"Гладкова ул., д.1а",69\37,"93,3\40,85",35\10
"Гладкова ул., д.7/10","23,52\128","26,33\153,65",12\20
"Гладкова ул., д.11",11\9,"24,1\15,8",119\76
"Гладкова ул., д.13",35\26,"40,55\34,2",16\32
"Гладкова ул., д.17",176\59,"200,4\71,15",14\21
"Гладкова ул., д.19","91,732\0","91,73\0",0\-
"Гладкова ул., д.21","93,708\0","93,71\0",0\-
"Гладкова ул., д.23",72\82,"84,4\98,6",17\20
"Гладкова ул., д.24/7",105\58,"121,05\67,15",15\16
"Гладкова ул., д.25",351\119,"400,8\134,15",14\13
"Гладкова ул., д.26",35\24,"42\28,05",20\17
"Гладкова ул., д.29",56\80,"64,7\99,45",16\24
"Гладкова ул., д.31/7",40\21,"46,3\27,45",16\31
"Гладкова ул., д.33",147\90,"167,05\102,8",14\14
"Гладкова ул., д.35","55,708\0","55,71\0",0\-
"Гладкова ул., д.39",15\29,"21,15\34,8",41\20
"Гладкова ул., д.41",1\1,"1,15\1,15",15\15
"Гладкова ул., д.43","20,46\16","21,55\19,4",5\21
"Губина ул., д.1/32","217,49\107","260,94\130,35",20\22
"Губина ул., д.4","88,35\46","101,88\59,2",15\29
"Губина ул., д.5","118,864\0","118,86\0",0\-
"Губина ул., д.6",11\13,"10,8\14,25",-2\10
"Губина ул., д.8",125\40,"140,75\48",13\20
"Губина ул., д.9, к.1","37,6\26","43,48\32,05",16\23
"Губина ул., д.9, к.2",49\25,"56,65\32,05",16\28
"Губина ул., д.12",79\40,"91,15\54,3",15\36
"Губина ул., д.13, к.1","46,48\28","53,45\32,2",15\15
"Губина ул., д.13, к.2",8\27,"10,65\33,35",33\24
"Губина ул., д.14",64\53,"70,6\60,95",10\15
"Губина ул., д.15","35\18,3","40,25\21,05",15\15
"Губина ул., д.18",80\62,"123,3\78,9",54\27
"Губина ул., д.19/16",53\35,"63,4\42,4",20\21
"Губина ул., д.20",395\142,"166,7\167,6",-58\18
"Губина ул., д.21",60\32,"71,75\42,1",20\32
"Губина ул., д.22/21",78\40,"89,85\49,3",15\23
"Губина ул., д.23/19",199\57,"224,85\64,55",13\13
"Двинская ул., д.4",329\242,"427,3\324,4",30\34
"Двинская ул., д.4, к.1",140\135,"266,6\222,9",90\65
"Двинская ул., д.4, к.2",254\237,"429,35\333,55",69\41
"Двинская ул., д.4, к.3",221\201,"321,2\273,2",45\36
"Двинская ул., д.4, к.4",139\165,"210,15\242,35",51\47
"Двинская ул., д.8","76,95\84","128,63\126,55",67\51
"Двинская ул., д.9","201,81\104","361,49\186,9",79\80
"Двинская ул., д.10","110,04\155","366,57\344",233\122
"Двинская ул., д.11",193\123,"286,65\181,75",49\48
"Двинская ул., д.14","174,58\123","189,37\131,95",8\7
"Двинская ул., д.14, к.4",1123\371,1473\464,31\25
"Двинская ул., д.16, к.1","1003\2754,48","3663,3\1316,9",265\-52
"Двинская ул., д.17",519\243,"614,8\325,6",18\34
"Зайцева ул., д.3","165,6\315","224,99\49,95",36\-84
"Зайцева ул., д.17/23","991,7\435","1295,41\535,2",31\23
"Зайцева ул., д.18/16","103,68\71","125,57\77,15",21\9
"Зайцева ул., д.19/18",177\144,"221,95\172,6",25\20
"Зайцева ул., д.20",251\179,"387,1\281,25",54\57
"Зайцева ул., д.21",21\10,"31,9\16,6",52\66
"Зайцева ул., д.22/13",955\447,"873,35\417,55",-9\-7
"Зайцева ул., д.25",65\52,"130\113,45",100\118
"Зайцева ул., д.26","2,73\1","349,8\0",12713\-100
"Зайцева ул., д.29",15\25,"25,1\37,35",67\49
"Зайцева ул., д.31",306\225,"412,65\298,7",35\33
"Зайцева ул., д.32",282\163,"232,5\183,25",-18\12
"Зайцева ул., д.33",261\214,"289,68\280,9",11\31
"Зайцева ул., д.34",119\56,"149,95\69,6",26\24
"Зайцева ул., д.36",264\191,"405,5\293,65",54\54
"Зайцева ул., д.37",275\146,"337,85\209,1",23\43
"Зайцева ул., д.39",241\180,"222,1\181,75",-8\1
"Зины Портновой ул., д.4",30\39,"70,65\87,05",136\123
"Зины Портновой ул., д.6",171\227,"255,35\309",49\36
"Зины Портновой ул., д.8",141\168,"184,3\208,65",31\24
"Зины Портновой ул., д.10",132\110,"209,5\222,9",59\103
"Зины Портновой ул., д.12",72\81,"99,1\144,25",38\78
"Зины Портновой ул., д.14",120\198,"198,85\246,4",66\24
"Зины Портновой ул., д.16",468\235,"671,7\335,45",44\43
"Зины Портновой ул., д.18",145\160,"197,45\207,8",36\30
"Зины Портновой ул., д.20",25\51,"66,25\101,05",165\98
"Зины Портновой ул., д.22",22\31,"44,15\46,9",101\51
"Зины Портновой ул., д.24",59\113,"121,9\176,8",107\56
"Зины Портновой ул., д.26",107\164,"146,9\219,8",37\34
"Зины Портновой ул., д.28",385\205,"421,55\236,6",9\15
