"Автовская ул., д.21","309,05\204,65","249,05\217,65",-19\6
"Автовская ул., д.22","175,46\148,1","210,27\176,1",20\19
"Автовская ул., д.25","221,5\150,3","220,5\161,3",0\7
"Автовская ул., д.26/37","454,25\260,55","469,09\262,55",3\1
"Автовская ул., д.28/30","259,45\177,85","292,45\190,85",13\7
"Автовская ул., д.29","804,35\479,05","752,35\248,05",-6\-48
"Автовская ул., д.30","90,55\69","116,55\80",29\16
"Автовская ул., д.32","79,44\73,5","86,95\72,5",9\-1
"Автовская ул., д.34","134,5\67,85","109,5\67,85",-19\0
"Автовская ул., д.38","51,55\33,7","49,55\33,7",-4\0
"Автовская ул., д.40","179,85\187,6","196,85\176,6",9\-6
"Автовская ул., д.46","135\69,95","100\52,95",-26\-24
"Автовская ул., д.52","173,05\184,4","168,05\160,4",-3\-13
"Балтийская ул., д.2/14","559,13\336,45","457,98\361,45",-18\7
"Балтийская ул., д.12","298,18\256,2","304\232,2",2\-9
"Балтийская ул., д.14",637\321,548\273,-14\-15
"Балтийская ул., д.17","33,57\31,3","36,005\30,3",7\-3
"Балтийская ул., д.17, к.2","411,48\345,95","438,83\339,45",7\-2
"Балтийская ул., д.18","31,35\22,85","56,35\39,85",80\74
"Балтийская ул., д.19а","156,1\0","156,1\0",0\-
"Балтийская ул., д.19б","80,86\0","80,86\0",0\-
"Балтийская ул., д.20","20,36\29,72","24,113\28,591",18\-4
"Балтийская ул., д.21",,411,
"Балтийская ул., д.21, к.2","17,2\8,75","29,2\14,75",70\69
"Балтийская ул., д.22","15,9\23,08","18,802\22,21",18\-4
"Балтийская ул., д.23","43,4\22,2","56,4\28,2",30\27
"Балтийская ул., д.24","94,72\99,35","84,498\88,35",-11\-11
"Балтийская ул., д.25","72,25\0","72,254\0",0\-
"Балтийская ул., д.27","111,98\60,3","111,98\60,3",0\0
"Балтийская ул., д.32а","49,98\38,88","46,504\33,07",-7\-15
"Балтийская ул., д.32д","18,99\14,67","17,672\12,48",-7\-15
"Балтийская ул., д.34","461,07\0","64,325\0",-86\-
"Балтийская ул., д.36/9","204,42\113,05","141,86\76,05",-31\-33
"Балтийская ул., д.38","326,2\347,4","340,2\271,4",4\-22
"Баррикадная ул., д.3","206,35\120,3","127,35\55,3",-38\-54
"Баррикадная ул., д.4","90,52\0","90,52\0",0\-
"Баррикадная ул., д.34","76,35\46,55","100,35\42,55",31\-9
"Белоусова ул., д.3","40,55\28,3","46,55\23,3",15\-18
"Белоусова ул., д.5","38,25\55,2","112,25\101,2",193\83
"Белоусова ул., д.6/42","332,56\1045,85","349,85\444,85",5\-57
"Белоусова ул., д.10","75,39\0","75,39\0",0\-
"Белоусова ул., д.14/41","101,95\53,05","51,95\32,05",-49\-40
"Белоусова ул., д.16","73,99\45,15","75,66\32,15",2\-29
"Белоусова ул., д.18","116,3\62,8","92,3\28,8",-21\-54
"Белоусова ул., д.18, к.1","116,15\116,7","210,15\164,7",81\41
"Белоусова ул., д.20","39,7\40,35","83,7\44,35",111\10
"Белоусова ул., д.22","21,45\11,8","17,45\5,8",-19\-51
"Белоусова ул., д.24/32","5,51\36,65","30,99\15,65",462\-57
"Васи Алексеева ул., д.7","80,41\90,7","92,17\99,7",15\10
"Васи Алексеева ул., д.9","12,28\21,45","9,49\15,45",-23\-28
"Васи Алексеева ул., д.10","752,44\348,4","813,49\382,4",8\10
"Васи Алексеева ул., д.11","128,1\114","162,1\127",27\11
"Васи Алексеева ул., д.17","169,4\136,05","205,1\165,75",21\22
"Васи Алексеева ул., д.20/24","250,82\193,7","265,22\187,7",6\-3
"Васи Алексеева ул., д.21","214,91\205,75","188,66\187,75",-12\-9
"Васи Алексеева ул., д.22","421,1\480,9","463,34\484,9",10\1
"Васи Алексеева ул., д.24","366,55\261,4","344,55\229,4",-6\-12
"Васи Алексеева ул., д.25","205,4\219,75","249,4\231,75",21\5
"Васи Алексеева ул., д.26","378,29\360,95","393,3\327,95",4\-9
"Васи Алексеева ул., д.28","187,8\136,47","187,8\136,47",0\0
"Васи Алексеева ул., д.30","445,22\316,25","438,57\299,25",-1\-5
"Возрождения ул., д.7/25","438,96\284","424,08\277",-3\-2
"Возрождения ул., д.9","172,97\136,7","91,85\75,7",-47\-45
"Возрождения ул., д.15","171,91\147,65","147,16\118,65",-14\-20
"Возрождения ул., д.19/38","572,46\393,3","462,72\311,3",-19\-21
"Возрождения ул., д.23","86,3\46,45","104,3\53,45",21\15
"Возрождения ул., д.25","252,05\210,75","281,05\208,75",12\-1
"Возрождения ул., д.27","249,5\161,6","258,5\161,6",4\0
"Гладкова ул., д.1","21,61\66,85","68,22\66,85",216\0
"Гладкова ул., д.1а","93,3\40,85","84,3\47,85",-10\17
"Гладкова ул., д.7/10","26,33\153,65","5,93\39,65",-77\-74
"Гладкова ул., д.11","24,1\15,8","4,1\15,8",-83\0
"Гладкова ул., д.13","40,55\34,2","14,55\33,2",-64\-3
"Гладкова ул., д.17","200,4\71,15","199,4\72,15",0\1
"Гладкова ул., д.19","91,73\0","91,73\0",0\-
"Гладкова ул., д.21","93,71\0","93,71\0",0\-
"Гладкова ул., д.23","84,4\98,6","238,4\185,6",182\88
"Гладкова ул., д.24/7","121,05\67,15","183,05\99,15",51\48
"Гладкова ул., д.25","400,8\134,15","333,8\536,15",-17\300
"Гладкова ул., д.26","42\28,05","209\129,05",398\360
"Гладкова ул., д.29","64,7\99,45","132,7\148,45",105\49
"Гладкова ул., д.31/7","46,3\27,45","42,3\20,45",-9\-26
"Гладкова ул., д.33","167,05\102,8","39,05\22,8",-77\-78
"Гладкова ул., д.35","55,71\0","55,71\0",0\-
"Гладкова ул., д.39","21,15\34,8","18,15\17,8",-14\-49
"Гладкова ул., д.41","1,15\1,15","1,15\1,15",0\0
"Гладкова ул., д.43","21,55\19,4","51,91\35,4",141\82
"Губина ул., д.1/32","260,94\130,35","173,58\55,35",-33\-58
"Губина ул., д.4","101,88\59,2","62,82\31,2",-38\-47
"Губина ул., д.5","118,86\0","244,86\165",106\-
"Губина ул., д.6","10,8\14,25","7,8\6,25",-28\-56
"Губина ул., д.8","140,75\48","140,75\48",0\0
"Губина ул., д.9, к.1","43,48\32,05","43,48\32,05",0\0
"Губина ул., д.9, к.2","56,65\32,05","56,65\32,05",0\0
"Губина ул., д.12","91,15\54,3","108,15\53,3",19\-2
"Губина ул., д.13, к.1","53,45\32,2","53,45\32,2",0\0
"Губина ул., д.13, к.2","10,65\33,35","10,65\33,35",0\0
"Губина ул., д.14","70,6\60,95","76,6\43,95",8\-28
"Губина ул., д.15","40,25\21,05","40,25\21,05",0\0
"Губина ул., д.18","123,3\78,9","173,3\54,9",41\-30
"Губина ул., д.19/16","63,4\42,4","63,4\42,4",0\0
"Губина ул., д.20","166,7\167,6","166,7\167,6",0\0
"Губина ул., д.21","71,75\42,1","71,75\42,1",0\0
"Губина ул., д.22/21","89,85\49,3","107,85\69,3",20\41
"Губина ул., д.23/19","224,85\64,55","224,85\64,55",0\0
"Двинская ул., д.4","427,3\324,4","510,3\355,4",19\10
"Двинская ул., д.4, к.1","266,6\222,9","285,6\224,9",7\1
"Двинская ул., д.4, к.2","429,35\333,55","438,35\317,55",2\-5
