"АВТОВСКАЯ УЛ., д.21","515\260","408\258","-21\-1"
"АВТОВСКАЯ УЛ., д.22","322\268","308\263","-4\-2"
"АВТОВСКАЯ УЛ., д.25","268\152","255\148","-5\-3"
"АВТОВСКАЯ УЛ., д.26/37","672\321","622\277","-7\-14"
"АВТОВСКАЯ УЛ., д.28/30","367\244","354\223","-4\-9"
"АВТОВСКАЯ УЛ., д.29","935\491","923\468","-1\-5"
"АВТОВСКАЯ УЛ., д.30","143\94","139\84","-3\-11"
"АВТОВСКАЯ УЛ., д.32","140\108","132\100","-6\-7"
"АВТОВСКАЯ УЛ., д.34","108\65","108\61","0\-6"
"АВТОВСКАЯ УЛ., д.38","98\60","99\62","1\3"
"АВТОВСКАЯ УЛ., д.40","311\224","295\189","-5\-16"
"АВТОВСКАЯ УЛ., д.46","76\39","23\5","-70\-87"
"АВТОВСКАЯ УЛ., д.52","200\154","179\123","-11\-20"
"БАЛТИЙСКАЯ УЛ., д.2/14","922\567","997\556","8\-2"
"БАЛТИЙСКАЯ УЛ., д.12","386\249","449\250","16\0"
"БАЛТИЙСКАЯ УЛ., д.14","769\387","750\386","-2\0"
"БАЛТИЙСКАЯ УЛ., д.17","60\48","34\24","-43\-50"
"БАЛТИЙСКАЯ УЛ., д.17, корп.2","376\201","374\207","-1\3"
"БАЛТИЙСКАЯ УЛ., д.18","124\76","90\43","-27\-43"
"БАЛТИЙСКАЯ УЛ., д.19А","24\15","23\13","-4\-13"
"БАЛТИЙСКАЯ УЛ., д.19Б","12\8","12\6","0\-25"
"БАЛТИЙСКАЯ УЛ., д.20","66\68","44\46","-33\-32"
"БАЛТИЙСКАЯ УЛ., д.21","12\5","12\5","0\0"
"БАЛТИЙСКАЯ УЛ., д.21, корп.2","46\24","34\18","-26\-25"
"БАЛТИЙСКАЯ УЛ., д.22","51\52","34\35","-33\-33"
"БАЛТИЙСКАЯ УЛ., д.23","104\29","86\24","-17\-17"
"БАЛТИЙСКАЯ УЛ., д.24","101\97","78\72","-23\-26"
"БАЛТИЙСКАЯ УЛ., д.25","120\61","97\52","-19\-15"
"БАЛТИЙСКАЯ УЛ., д.27","82\52","79\54","-4\4"
"БАЛТИЙСКАЯ УЛ., д.32А","60\37","61\33","2\-11"
"БАЛТИЙСКАЯ УЛ., д.32Д","23\14","23\13","0\-7"
"БАЛТИЙСКАЯ УЛ., д.34","39\0","6\0","-85\-"
"БАЛТИЙСКАЯ УЛ., д.36/9","198\109","144\78","-27\-28"
"БАЛТИЙСКАЯ УЛ., д.38","320\210","553\334","73\59"
"БАРРИКАДНАЯ УЛ., д.3","183\89","166\82","-9\-8"
"БАРРИКАДНАЯ УЛ., д.4","76\38","81\41","7\8"
"БАРРИКАДНАЯ УЛ., д.5","297\250","303\226","2\-10"
"БАРРИКАДНАЯ УЛ., д.34","74\37","68\34","-8\-8"
"БЕЛОУСОВА УЛ., д.3","69\33","61\33","-12\0"
"БЕЛОУСОВА УЛ., д.5","159\99","126\64","-21\-35"
"БЕЛОУСОВА УЛ., д.6/42","317\179","314\163","-1\-9"
"БЕЛОУСОВА УЛ., д.10","258\117","228\146","-12\25"
"БЕЛОУСОВА УЛ., д.14/41","7\4","6\3","-14\-25"
"БЕЛОУСОВА УЛ., д.16","93\56","98\52","5\-7"
"БЕЛОУСОВА УЛ., д.18","103\55","98\50","-5\-9"
"БЕЛОУСОВА УЛ., д.18, корп.1","193\177","179\160","-7\-10"
"БЕЛОУСОВА УЛ., д.20","72\35","64\31","-11\-11"
"БЕЛОУСОВА УЛ., д.22","59\10","0\10","-100\0"
"БЕЛОУСОВА УЛ., д.24/32","51\50","38\30","-25\-40"
"ВАСИ АЛЕКСЕЕВА УЛ., д.7","38\15","23\8","-39\-47"
"ВАСИ АЛЕКСЕЕВА УЛ., д.9","20\10","16\7","-20\-30"
"ВАСИ АЛЕКСЕЕВА УЛ., д.10","317\0","317\0","0\-"
"ВАСИ АЛЕКСЕЕВА УЛ., д.11","248\158","233\141","-6\-11"
"ВАСИ АЛЕКСЕЕВА УЛ., д.16","183\135","164\124","-10\-8"
"ВАСИ АЛЕКСЕЕВА УЛ., д.17","230\144","251\155","9\8"
"ВАСИ АЛЕКСЕЕВА УЛ., д.20/24","209\131","139\90","-33\-31"
"ВАСИ АЛЕКСЕЕВА УЛ., д.21","67\37","59\6","-12\-84"
"ВАСИ АЛЕКСЕЕВА УЛ., д.22","920\668","777\623","-16\-7"
"ВАСИ АЛЕКСЕЕВА УЛ., д.24","266\147","247\121","-7\-18"
"ВАСИ АЛЕКСЕЕВА УЛ., д.25","136\86","119\69","-13\-20"
"ВАСИ АЛЕКСЕЕВА УЛ., д.26","409\321","380\297","-7\-7"
"ВАСИ АЛЕКСЕЕВА УЛ., д.28","265\176","256\164","-3\-7"
"ВАСИ АЛЕКСЕЕВА УЛ., д.30","495\362","475\346","-4\-4"
"ВОЗРОЖДЕНИЯ УЛ., д.7/25","574\340","475\259","-17\-24"
"ВОЗРОЖДЕНИЯ УЛ., д.9","14\8","12\8","-14\0"
"ВОЗРОЖДЕНИЯ УЛ., д.15","117\77","114\65","-3\-16"
"ВОЗРОЖДЕНИЯ УЛ., д.19/38","854\433","809\433","-5\0"
"ВОЗРОЖДЕНИЯ УЛ., д.23","100\46","73\32","-27\-30"
"ВОЗРОЖДЕНИЯ УЛ., д.25","117\55","101\47","-14\-15"
"ВОЗРОЖДЕНИЯ УЛ., д.27","186\108","177\107","-5\-1"
"ГЛАДКОВА УЛ., д.1","43\48","70\50","63\4"
"ГЛАДКОВА УЛ., д.1А","76\40","71\37","-7\-8"
"ГЛАДКОВА УЛ., д.7/10","12\27","14\30","17\11"
"ГЛАДКОВА УЛ., д.11","42\28","42\29","0\4"
"ГЛАДКОВА УЛ., д.13","44\34","43\25","-2\-26"
"ГЛАДКОВА УЛ., д.17","232\88","258\81","11\-8"
"ГЛАДКОВА УЛ., д.19","89\98","80\74","-10\-24"
"ГЛАДКОВА УЛ., д.21","32\17","24\12","-25\-29"
"ГЛАДКОВА УЛ., д.23","202\149","183\114","-9\-23"
"ГЛАДКОВА УЛ., д.24/7","134\78","140\81","4\4"
"ГЛАДКОВА УЛ., д.25","554\305","533\278","-4\-9"
"ГЛАДКОВА УЛ., д.26","155\83","136\68","-12\-18"
"ГЛАДКОВА УЛ., д.29","200\152","258\150","29\-1"
"ГЛАДКОВА УЛ., д.31/7","53\31","44\23","-17\-26"
"ГЛАДКОВА УЛ., д.33","287\145","264\132","-8\-9"
"ГЛАДКОВА УЛ., д.35","60\30","158\79","163\163"
"ГЛАДКОВА УЛ., д.39","41\18","40\19","-2\6"
"ГЛАДКОВА УЛ., д.41","1\0","2\1","100\-"
"ГЛАДКОВА УЛ., д.43","44\34","37\26","-16\-24"
"ГУБИНА УЛ., д.1/32","240\98","229\86","-5\-12"
"ГУБИНА УЛ., д.3","75\37","79\39","5\5"
"ГУБИНА УЛ., д.4","17\6","19\8","12\33"
"ГУБИНА УЛ., д.5","203\151","216\144","6\-5"
"ГУБИНА УЛ., д.6","60\30","40\18","-33\-40"
"ГУБИНА УЛ., д.8","150\53","152\53","1\0"
"ГУБИНА УЛ., д.9, корп.1","79\53","49\34","-38\-36"
"ГУБИНА УЛ., д.9, корп.2","66\65","74\65","12\0"
"ГУБИНА УЛ., д.12","168\86","308\69","83\-20"
"ГУБИНА УЛ., д.13, корп.1","41\0","41\0","0\-"
"ГУБИНА УЛ., д.13, корп.2","53\30","47\24","-11\-20"
"ГУБИНА УЛ., д.14","76\48","84\50","11\4"
"ГУБИНА УЛ., д.15","76\40","62\31","-18\-23"
"ГУБИНА УЛ., д.18","59\30","54\28","-8\-7"
"ГУБИНА УЛ., д.19/16","66\52","79\47","20\-10"
"ГУБИНА УЛ., д.20","159\55","31\50","-81\-9"
"ГУБИНА УЛ., д.21","368\47",",01\34","-100\-28"
"ГУБИНА УЛ., д.22/21","22\13","26\13","18\0"
"ГУБИНА УЛ., д.23/19","189\94","201\91","6\-3"
"ДВИНСКАЯ УЛ., д.4","533\328","596\334","12\2"
"ДВИНСКАЯ УЛ., д.4, корп.1","318\200","310\180","-3\-10"
"ДВИНСКАЯ УЛ., д.4, корп.2","457\293","484\273","6\-7"
"ДВИНСКАЯ УЛ., д.4, корп.3","414\273","424\261","2\-4"
"ДВИНСКАЯ УЛ., д.4, корп.4","263\204","294\193","12\-5"
"ДВИНСКАЯ УЛ., д.8","181\145","192\119","6\-18"
"ДВИНСКАЯ УЛ., д.9","175\90","162\79","-7\-12"
"ДВИНСКАЯ УЛ., д.10","497\313","474\280","-5\-11"
"ДВИНСКАЯ УЛ., д.11","346\246","323\240","-7\-2"
"ДВИНСКАЯ УЛ., д.14","324\210","308\186","-5\-11"
"ДВИНСКАЯ УЛ., д.14, корп.4","1530\541","1467\524","-4\-3"
"ДВИНСКАЯ УЛ., д.16, корп.1","4480\1753","4207\1621","-6\-8"
"ДВИНСКАЯ УЛ., д.16, корп.3","3001\1081","3161\1635","5\51"
"ДВИНСКАЯ УЛ., д.17","595\303","559\279","-6\-8"
"ЗАЙЦЕВА УЛ., д.3","590\917","772\867","31\-5"
"ЗАЙЦЕВА УЛ., д.17/23","1855\965","1839\940","-1\-3"
"ЗАЙЦЕВА УЛ., д.18/16","203\135","191\111","-6\-18"
"ЗАЙЦЕВА УЛ., д.19/18","329\263","310\247","-6\-6"
"ЗАЙЦЕВА УЛ., д.20","584\353","567\321","-3\-9"
"ЗАЙЦЕВА УЛ., д.21","41\20","25\12","-39\-40"
"ЗАЙЦЕВА УЛ., д.22/13","1164\519","1107\457","-5\-12"
"ЗАЙЦЕВА УЛ., д.25","141\94","132\76","-6\-19"
"ЗАЙЦЕВА УЛ., д.26","249\0","249\0","0\-"
"ЗАЙЦЕВА УЛ., д.29","35\27","40\27","14\0"
"ЗАЙЦЕВА УЛ., д.31","294\194","269\176","-9\-9"
"ЗАЙЦЕВА УЛ., д.32","242\158","230\153","-5\-3"
"ЗАЙЦЕВА УЛ., д.33","333\260","311\248","-7\-5"
"ЗАЙЦЕВА УЛ., д.34","178\88","139\66","-22\-25"
"ЗАЙЦЕВА УЛ., д.36","288\117","293\175","2\50"
"ЗАЙЦЕВА УЛ., д.37","277\177","252\143","-9\-19"
"ЗАЙЦЕВА УЛ., д.39","252\175","261\161","4\-8"
"ЗИНЫ ПОРТНОВОЙ УЛ., д.4","172\0","172\0","0\-"
"ЗИНЫ ПОРТНОВОЙ УЛ., д.6","308\289","383\265","24\-8"
"ЗИНЫ ПОРТНОВОЙ УЛ., д.8","343\244","374\247","9\1"
"ЗИНЫ ПОРТНОВОЙ УЛ., д.10","208\143","300\234","44\64"
"ЗИНЫ ПОРТНОВОЙ УЛ., д.12","240\200","315\215","31\8"
"ЗИНЫ ПОРТНОВОЙ УЛ., д.14","303\269","394\267","30\-1"
"ЗИНЫ ПОРТНОВОЙ УЛ., д.16","449\211","474\233","6\10"
"ЗИНЫ ПОРТНОВОЙ УЛ., д.18","296\416","491\256","66\-38"
"ЗИНЫ ПОРТНОВОЙ УЛ., д.20","53\42","95\63","79\50"
"ЗИНЫ ПОРТНОВОЙ УЛ., д.22","79\59","134\78","70\32"
"ЗИНЫ ПОРТНОВОЙ УЛ., д.24","198\157","249\160","26\2"
"ЗИНЫ ПОРТНОВОЙ УЛ., д.26","224\193","340\215","52\11"
"ЗИНЫ ПОРТНОВОЙ УЛ., д.28","323\173","423\223","31\29"
"ЗИНЫ ПОРТНОВОЙ УЛ., д.30","400\300","507\318","27\6"
"ЗОИ КОСМОДЕМЬЯНСКОЙ УЛ., д.3","326\200","324\167","-1\-17"
"ЗОИ КОСМОДЕМЬЯНСКОЙ УЛ., д.5","719\315","901\301","25\-4"
"ЗОИ КОСМОДЕМЬЯНСКОЙ УЛ., д.6, корп.1","488\211","511\221","5\5"
"ЗОИ КОСМОДЕМЬЯНСКОЙ УЛ., д.8/17","58\46","79\55","36\20"
"ЗОИ КОСМОДЕМЬЯНСКОЙ УЛ., д.15","96\54","103\57","7\6"
"ЗОИ КОСМОДЕМЬЯНСКОЙ УЛ., д.16/24","62\41","67\40","8\-2"
"ЗОИ КОСМОДЕМЬЯНСКОЙ УЛ., д.17/26","88\83","112\81","27\-2"
"ЗОИ КОСМОДЕМЬЯНСКОЙ УЛ., д.21","168\65","188\74","12\14"
"ЗОИ КОСМОДЕМЬЯНСКОЙ УЛ., д.23","165\48","134\42","-19\-13"
"ЗОИ КОСМОДЕМЬЯНСКОЙ УЛ., д.25/20","118\74","107\64","-9\-14"
"ЗОИ КОСМОДЕМЬЯНСКОЙ УЛ., д.27","294\174","289\170","-2\-2"
"ЗОИ КОСМОДЕМЬЯНСКОЙ УЛ., д.29","90\66","100\66","11\0"
"ИВАНА ЧЕРНЫХ УЛ., д.1","49\37","43\34","-12\-8"
"ИВАНА ЧЕРНЫХ УЛ., д.3","275\113","266\113","-3\0"
"ИВАНА ЧЕРНЫХ УЛ., д.3, корп.2","190\101","166\85","-13\-16"
"ИВАНА ЧЕРНЫХ УЛ., д.13А","129\76","115\62","-11\-18"
"ИВАНА ЧЕРНЫХ УЛ., д.13Б","314\232","326\231","4\0"
"ИВАНА ЧЕРНЫХ УЛ., д.15А","361\238","332\218","-8\-8"
"ИВАНА ЧЕРНЫХ УЛ., д.15Б","62\50","63\40","2\-20"
"ИВАНА ЧЕРНЫХ УЛ., д.19","289\204","283\196","-2\-4"
"ИВАНА ЧЕРНЫХ УЛ., д.21","193\149","175\116","-9\-22"
"КАНОНЕРСКИЙ ОСТРОВ, д.7","7334\3598","7266\3559","-1\-1"
"КАНОНЕРСКИЙ ОСТРОВ, д.8","4571\2142","3766\941","-18\-56"
"КАНОНЕРСКИЙ ОСТРОВ, д.9","3053\1139","2945\1131","-4\-1"
"КАНОНЕРСКИЙ ОСТРОВ, д.10","3432\1315","3404\1289","-1\-2"
"КАНОНЕРСКИЙ ОСТРОВ, д.11, корп.1",,"1212\488","-\-"
"КАНОНЕРСКИЙ ОСТРОВ, д.12","665\316","575\292","-14\-8"
"КАНОНЕРСКИЙ ОСТРОВ, д.12, корп.2","796\405","806\394","1\-3"
"КАНОНЕРСКИЙ ОСТРОВ, д.13","540\390","543\365","1\-6"
"КАНОНЕРСКИЙ ОСТРОВ, д.14","407\264","576\339","42\28"
"КАНОНЕРСКИЙ ОСТРОВ, д.16","148\59","178\80","20\36"
