"Автовская ул., д.21",,"23,290"
"Автовская ул., д.22",,"76,480"
"Автовская ул., д.25",,"44,240"
"Автовская ул., д.26/37",,"111,920"
"Автовская ул., д.28/30",,"77,690"
"Автовская ул., д.29",,"29,830"
"Автовская ул., д.30",,"29,160"
"Автовская ул., д.32",,"80,460"
"Автовская ул., д.34",,"44,630"
"Автовская ул., д.38",,"29,030"
"Автовская ул., д.40",,"78,040"
"Автовская ул., д.46",,"63,070"
"Автовская ул., д.52",,"46,060"
"Балтийская ул., д.2/14",,"210,140"
"Балтийская ул., д.12",,"66,280"
"Балтийская ул., д.14",,"40,720"
"Балтийская ул., д.17",,"33,110"
"Балтийская ул., д.17, к.2",,"91,490"
"Балтийская ул., д.19а",,"25,960"
"Балтийская ул., д.19б",,"16,240"
"Балтийская ул., д.21",,"9,680"
"Балтийская ул., д.21, к.2",,"10,430"
"Балтийская ул., д.23",,"6,830"
"Балтийская ул., д.25",,"13,900"
"Балтийская ул., д.27",,"10,490"
"Балтийская ул., д.34",,"8,590"
"Балтийская ул., д.36/9",,"87,040"
"Балтийская ул., д.38",,"50,210"
"Баррикадная ул., д.3",,"21,150"
"Баррикадная ул., д.5",,"36,280"
"Баррикадная ул., д.34",,"9,130"
"Баррикадная ул., д.36",,"29,010"
"Белоусова ул., д.3",,"16,560"
"Белоусова ул., д.5",,"15,440"
"Белоусова ул., д.6/42",,"48,540"
"Белоусова ул., д.10",,"14,860"
"Васи Алексеева ул., д.7",,"53,730"
"Васи Алексеева ул., д.9",,"51,610"
"Васи Алексеева ул., д.10",,"76,170"
"Васи Алексеева ул., д.11",,"45,560"
"Васи Алексеева ул., д.16",,"79,930"
"Васи Алексеева ул., д.17",,"63,120"
"Васи Алексеева ул., д.20/24",,"141,160"
"Васи Алексеева ул., д.21",,"87,480"
"Васи Алексеева ул., д.22",,"108,960"
"Васи Алексеева ул., д.24",,"63,840"
"Васи Алексеева ул., д.25",,"47,240"
"Васи Алексеева ул., д.26",,"63,630"
"Васи Алексеева ул., д.28",,"65,070"
"Васи Алексеева ул., д.30",,"108,520"
"Возрождения ул., д.7/25",,"127,440"
"Возрождения ул., д.9",,"49,900"
"Возрождения ул., д.15",,"45,380"
"Возрождения ул., д.19/38",,"125,450"
"Возрождения ул., д.23",,"46,730"
"Возрождения ул., д.25",,"46,540"
"Возрождения ул., д.27",,"46,960"
"Гладкова ул., д.1",,"12,370"
"Гладкова ул., д.1а",,"14,090"
"Гладкова ул., д.7/10",,"23,210"
"Гладкова ул., д.23",,"29,040"
"Гладкова ул., д.24/7",,"13,210"
"Гладкова ул., д.25",,"75,740"
"Гладкова ул., д.26",,"13,980"
"Гладкова ул., д.29",,"28,600"
"Губина ул., д.9, к.1",,"15,030"
"Губина ул., д.9, к.2",,"14,120"
"Губина ул., д.11",,"10,240"
"Губина ул., д.13, к.1",,"14,760"
"Губина ул., д.13, к.2",,"14,190"
"Губина ул., д.19/16",,"12,700"
"Губина ул., д.21",,"9,180"
"Губина ул., д.23/19",,"13,020"
"Двинская ул., д.4",,"78,970"
"Двинская ул., д.4, к.1",,"45,890"
"Двинская ул., д.4, к.2",,"75,600"
"Двинская ул., д.4, к.3",,"63,060"
"Двинская ул., д.4, к.4",,"46,930"
"Двинская ул., д.8",,"62,340"
"Двинская ул., д.9",,"53,310"
"Двинская ул., д.10",,"162,990"
"Двинская ул., д.11",,"85,380"
"Двинская ул., д.14",,"82,320"
"Двинская ул., д.14, к.4",,"228,890"
"Двинская ул., д.15",,"242,480"
"Двинская ул., д.16, к.1",,"338,870"
"Двинская ул., д.16, к.3",,"113,870"
"Двинская ул., д.17",,"37,830"
"Зайцева ул., д.3",,"86,080"
"Зайцева ул., д.17/23",,"115,020"
"Зайцева ул., д.18/16",,"121,710"
"Зайцева ул., д.19/18",,"76,670"
"Зайцева ул., д.20",,"75,490"
"Зайцева ул., д.21",,"29,240"
"Зайцева ул., д.22/13",,"125,780"
"Зайцева ул., д.25",,"55,170"
"Зайцева ул., д.26",,"70,740"
"Зайцева ул., д.29",,"29,340"
"Зайцева ул., д.31",,"78,300"
"Зайцева ул., д.32",,"45,300"
"Зайцева ул., д.33",,"69,260"
"Зайцева ул., д.34",,"43,600"
"Зайцева ул., д.36",,"43,830"
"Зайцева ул., д.37",,"89,580"
"Зайцева ул., д.39",,"64,380"
"Зины Портновой ул., д.4",,"43,280"
"Зины Портновой ул., д.6",,"44,090"
"Зины Портновой ул., д.8",,"44,460"
"Зины Портновой ул., д.10",,"44,260"
"Зины Портновой ул., д.12",,"44,750"
"Зины Портновой ул., д.14",,"44,280"
"Зины Портновой ул., д.16",,"23,350"
"Зины Портновой ул., д.18",,"44,390"
"Зины Портновой ул., д.20",,"44,080"
"Зины Портновой ул., д.22",,"44,750"
"Зины Портновой ул., д.24",,"43,950"
"Зины Портновой ул., д.26",,"44,720"
"Зины Портновой ул., д.28",,"22,650"
"Зины Портновой ул., д.30",,"44,230"
"Зои Космодемьянской ул., д.3",,"78,330"
"Зои Космодемьянской ул., д.5",,"22,860"
"Зои Космодемьянской ул., д.17/26",,"50,460"
"Зои Космодемьянской ул., д.21",,"11,930"
"Зои Космодемьянской ул., д.23",,"11,590"
"Зои Космодемьянской ул., д.25/20",,"19,250"
"Зои Космодемьянской ул., д.27",,"26,530"
"Зои Космодемьянской ул., д.29",,"23,450"
"Ивана Черных ул., д.1",,"44,450"
"Ивана Черных ул., д.3",,"36,480"
"Ивана Черных ул., д.3, к.2",,"26,920"
"Ивана Черных ул., д.13а",,"29,390"
"Ивана Черных ул., д.13б",,"46,720"
"Ивана Черных ул., д.15а",,"46,740"
"Ивана Черных ул., д.15б",,"29,350"
"Ивана Черных ул., д.19",,"46,320"
"Ивана Черных ул., д.21",,"31,880"
"Калинина ул., д.2, к.1",,"10,530"
"Калинина ул., д.2, к.2",,"20,060"
"Калинина ул., д.8, к.1",,"11,880"
"Канонерский о., д.7",,"233,410"
"Канонерский о., д.8",,"255,560"
"Канонерский о., д.9",,"100,390"
"Канонерский о., д.10",,"104,450"
"Канонерский о., д.11, к.1",,"118,880"
"Канонерский о., д.12",,"58,410"
"Канонерский о., д.12, к.2",,"126,150"
"Канонерский о., д.13",,"58,280"
"Канонерский о., д.14",,"58,410"
"Канонерский о., д.16",,"76,280"
"Корнеева ул., д.2",,"48,480"
"Корнеева ул., д.6",,"244,560"
"Косинова ул., д.5",,"19,110"
"Косинова ул., д.6",,"9,970"
"Косинова ул., д.7",,"9,440"
"Косинова ул., д.9/9",,"18,030"
"Косинова ул., д.14, к.1",,"67,410"
"Косинова ул., д.14, к.2",,"73,290"
"Краснопутиловская ул., д.16/13",,"121,990"
"Краснопутиловская ул., д.18",,"88,190"
"Краснопутиловская ул., д.20",,"97,570"
"Краснопутиловская ул., д.26",,"95,210"
"Краснопутиловская ул., д.28/20",,"106,540"
"Ленинский пр., д.110, к.1а",,"72,730"
"Ленинский пр., д.110, к.1б",,"378,330"
"Ленинский пр., д.120, к.2",,"44,990"
"Ленинский пр., д.124",,"213,310"
"Ленинский пр., д.130, к.2",,"34,890"
"Майков пер., д.3",,"10,440"
"Майков пер., д.5а",,"10,300"
"Майков пер., д.7/1",,"13,140"
"Маршала Говорова ул., д.3/7",,"103,240"
"Маршала Говорова ул., д.5/4",,"146,600"
"Маршала Говорова ул., д.6/5",,"87,160"
"Маршала Говорова ул., д.7",,"46,380"
"Маршала Говорова ул., д.11/3",,"126,100"
"Маршала Говорова ул., д.15",,"54,830"
"Маршала Говорова ул., д.16",,"233,730"
"Маршала Говорова ул., д.17",,"48,670"
"Маршала Говорова ул., д.21",,"44,500"
"Маршала Говорова ул., д.22/10",,"120,760"
"Маршала Говорова ул., д.22, к.2",,"63,900"
"Маршала Говорова ул., д.23",,"44,110"
"Маршала Говорова ул., д.24",,"78,220"
"Маршала Говорова ул., д.26, к.2",,"30,140"
"Маршала Жукова пр., д.18а",,"87,510"
"Маршала Жукова пр., д.18б",,"89,130"
"Маршала Жукова пр., д.18в",,"220,070"
"Маршала Жукова пр., д.18г",,"88,300"
"Маршала Жукова пр., д.18д",,"87,530"
"Маршала Жукова пр., д.20",,"118,450"
"Маршала Жукова пр., д.22",,"115,510"
"Маршала Жукова пр., д.26/16а",,"106,900"
"Маршала Жукова пр., д.26/16б",,"71,830"
"Маршала Жукова пр., д.26/16в",,"295,590"
"Маршала Жукова пр., д.28, к.1",,"270,980"
"Маршала Жукова пр., д.30, к.2а",,"84,180"
"Маршала Жукова пр., д.30, к.2б",,"88,510"
"Маршала Жукова пр., д.30, к.2в",,"214,540"
"Маршала Жукова пр., д.30, к.2г",,"90,120"
"Маршала Жукова пр., д.30, к.2д",,"214,710"
"Маршала Жукова пр., д.30, к.2е",,"90,830"
"Маршала Жукова пр., д.30, к.2ж",,"174,970"
"Маршала Жукова пр., д.32, к.1",,"299,960"
"Маршала Жукова пр., д.34, к.1а",,"170,900"
"Маршала Жукова пр., д.34, к.1б",,"72,860"
"Маршала Жукова пр., д.34, к.1в",,"197,020"
"Маршала Жукова пр., д.34, к.1г",,"71,960"
"Маршала Жукова пр., д.34, к.1д",,"132,050"
"Маршала Жукова пр., д.34, к.1е",,"199,320"
"Маршала Казакова ул., д.1, к.2",,"136,790"
"Маршала Казакова ул., д.3, к.1",,"44,010"
"Маршала Казакова ул., д.5, к.1а",,"201,270"
"Маршала Казакова ул., д.5, к.1б",,"136,930"
"Маршала Казакова ул., д.10, к.1а",,"204,440"
"Маршала Казакова ул., д.10, к.1б",,"127,950"
"Маршала Казакова ул., д.10, к.1в",,"87,580"
"Маршала Казакова ул., д.10, к.1д",,"88,360"
"Маршала Казакова ул., д.13",,"125,810"
"Метростроевцев ул., д.2",,"52,300"
"Морской пехоты ул., д.4",,"302,590"
"Морской пехоты ул., д.6, к.1",,"130,520"
"Морской пехоты ул., д.10, к.1",,"333,450"
"Морской пехоты ул., д.14",,"58,240"
"Народного ополчения пр., д.7",,"44,170"
"Новаторов бул., д.1",,"57,650"
"Новаторов бул., д.3",,"40,650"
"Новоовсянниковская ул., д.9",,"14,050"
"Новостроек ул., д.8",,"14,740"
"Новостроек ул., д.12",,"98,240"
"Новостроек ул., д.20",,"78,570"
"Новостроек ул., д.25",,"69,930"
"Новостроек ул., д.27",,"62,350"
"Новостроек ул., д.28",,"76,980"
"Новостроек ул., д.29",,"69,640"
"Новостроек ул., д.31",,"69,600"
"Новостроек ул., д.33",,"63,910"
"Новостроек ул., д.35",,"67,820"
"Оборонная ул., д.3",,"70,210"
"Оборонная ул., д.4",,"82,430"
"Оборонная ул., д.5",,"70,580"
"Оборонная ул., д.6",,"92,240"
"Оборонная ул., д.7/20",,"66,750"
"Оборонная ул., д.14",,"46,950"
"Оборонная ул., д.20/18",,"13,600"
"Оборонная ул., д.27",,"11,200"
"Оборонная ул., д.29",,"11,610"
"Огородный пер., д.4, к.3",,"46,110"
"Огородный пер., д.6, к.1",,"121,150"
"Огородный пер., д.6, к.2",,"91,180"
"Огородный пер., д.11",,"69,600"
"Промышленная ул., д.12",,"10,510"
"Промышленная ул., д.14",,"11,720"
"Промышленная ул., д.16",,"11,440"
"Севастопольская ул., д.6",,"17,350"
"Севастопольская ул., д.34",,"14,380"
"Севастопольская ул., д.45",,"48,020"
"Стачек пр., д.1",,"168,370"
"Стачек пр., д.2/2",,"63,860"
"Стачек пр., д.4/1",,"66,230"
"Стачек пр., д.6",,"28,220"
"Стачек пр., д.8/2",,"17,240"
"Стачек пр., д.8а",,"58,830"
"Стачек пр., д.9",,"82,620"
"Стачек пр., д.10",,"17,530"
"Стачек пр., д.11",,"100,160"
"Стачек пр., д.13",,"95,640"
"Стачек пр., д.15",,"85,540"
"Стачек пр., д.16",,"359,490"
"Стачек пр., д.17",,"134,540"
"Стачек пр., д.19",,"95,770"
"Стачек пр., д.21",,"182,880"
"Стачек пр., д.21, к.2",,"11,080"
"Стачек пр., д.22",,"47,920"
"Стачек пр., д.22а",,"70,000"
"Стачек пр., д.23",,"49,620"
"Стачек пр., д.24",,"41,400"
"Стачек пр., д.27",,"39,830"
"Стачек пр., д.29",,"25,660"
"Стачек пр., д.33/2",,"16,670"
"Стачек пр., д.34, к.1",,"53,710"
"Стачек пр., д.34, к.2",,"45,380"
"Стачек пр., д.35",,"10,610"
"Стачек пр., д.38",,"30,910"
"Стачек пр., д.41",,"130,370"
"Стачек пр., д.42",,"8,400"
"Стачек пр., д.89, к.1",,"73,670"
"Стачек пр., д.95, к.1",,"318,110"
"Стачек пр., д.101, к.1а",,"176,880"
"Стачек пр., д.101, к.1б",,"90,320"
"Стачек пр., д.101, к.1в",,"219,150"
"Стачек пр., д.101, к.1г",,"91,070"
"Стачек пр., д.101, к.1д",,"136,010"
"Стачек пр., д.103, к.1",,"440,980"
"Стачек пр., д.105, к.2а",,"90,830"
"Стачек пр., д.105, к.2б",,"88,810"
"Стачек пр., д.105, к.2в",,"219,690"
"Стачек пр., д.105, к.2г",,"91,180"
"Стачек пр., д.105, к.2д",,"221,390"
"Стачек пр., д.105, к.2е",,"91,660"
"Стачек пр., д.105, к.2ж",,"217,570"
"Стачек пр., д.105, к.2з",,"88,700"
"Стачек пр., д.107, к.1",,"69,040"
"Тракторная ул., д.3",,"22,380"
"Тракторная ул., д.4",,"22,860"
"Тракторная ул., д.4а",,"46,860"
"Тракторная ул., д.5",,"25,790"
"Тракторная ул., д.6",,"17,180"
"Тракторная ул., д.7",,"25,790"
"Тракторная ул., д.8",,"17,010"
"Тракторная ул., д.9",,"41,330"
"Тракторная ул., д.10",,"15,990"
"Тракторная ул., д.12",,"24,050"
"Трамвайный пр., д.5",,"43,240"
"Трамвайный пр., д.7, к.1",,"44,430"
"Трамвайный пр., д.7, к.2",,"23,410"
"Трамвайный пр., д.9, к.1",,"42,910"
"Трамвайный пр., д.9, к.2",,"44,550"
"Трамвайный пр., д.11, к.1",,"57,480"
"Трамвайный пр., д.11, к.2",,"43,560"
"Трамвайный пр., д.11, к.3",,"43,880"
"Трамвайный пр., д.11, к.6",,"34,560"
"Трамвайный пр., д.13, к.1",,"57,820"
"Трамвайный пр., д.13, к.2",,"44,450"
"Трамвайный пр., д.13, к.3",,"44,430"
"Трамвайный пр., д.15, к.1",,"57,680"
"Трамвайный пр., д.15, к.2",,"43,780"
"Трамвайный пр., д.15, к.3",,"43,550"
"Трамвайный пр., д.17",,"44,550"
"Трефолева ул., д.3",,"67,980"
"Трефолева ул., д.5",,"61,520"
"Трефолева ул., д.11",,"60,250"
"Трефолева ул., д.15",,"213,630"
"Трефолева ул., д.16",,"38,400"
"Трефолева ул., д.22/25",,"178,040"
"Трефолева ул., д.26",,"14,080"
"Тургеневский пер., д.3",,"20,370"
"Тургеневский пер., д.5",,"19,240"
"Швецова ул., д.6",,"42,500"
"Швецова ул., д.10",,"100,380"
"Швецова ул., д.11",,"94,450"
"Швецова ул., д.17",,"42,510"
"Швецова ул., д.19",,"99,550"
"Шотландская ул., д.3",,"74,050"
