"Автовская ул., д.21","28,88","28,42",-2
"Автовская ул., д.22","89,26","92,47",4
"Автовская ул., д.25","52,99","53,88",2
"Автовская ул., д.26/37","128,83","103,88",-19
"Автовская ул., д.28/30","89,16","93,15",4
"Автовская ул., д.29","35,66","37,14",4
"Автовская ул., д.30","34,17","34,12",0
"Автовская ул., д.32","97,14","99,49",2
"Автовская ул., д.34","52,49","53,84",3
"Автовская ул., д.38","33,87","35,01",3
"Автовская ул., д.40","88,4","94,31",7
"Автовская ул., д.46","70,27","64,78",-8
"Автовская ул., д.52","50,33","55,14",10
"Балтийская ул., д.2/14","247,04","258,17",5
"Балтийская ул., д.12","68,37","70,52",3
"Балтийская ул., д.14","65,34","56,09",-14
"Балтийская ул., д.17","33,34","34,61",4
"Балтийская ул., д.17, к.2","117,5","125,95",7
"Балтийская ул., д.18","30,75","30,12",-2
"Балтийская ул., д.19","53,37","54,9",3
"Балтийская ул., д.20","18,19","18,01",-1
"Балтийская ул., д.21","23,27","23,13",-1
"Балтийская ул., д.22","13,9","14,95",8
"Балтийская ул., д.23","6,93","7,51",8
"Балтийская ул., д.24","20,85","21,89",5
"Балтийская ул., д.25","15,48","15,31",-1
"Балтийская ул., д.27","11,08","11,54",4
"Балтийская ул., д.34",8,"8,7",9
"Балтийская ул., д.36/9","100,71","102,03",1
"Балтийская ул., д.38","47,08","53,68",14
"Баррикадная ул., д.3","24,76","25,38",3
"Баррикадная ул., д.4","11,27","12,02",7
"Баррикадная ул., д.5","53,87","53,88",0
"Баррикадная ул., д.34","13,52","13,36",-1
"Белоусова ул., д.3","27,36","28,66",5
"Белоусова ул., д.5","23,41","23,83",2
"Белоусова ул., д.6/42","72,27","79,14",10
"Белоусова ул., д.10","18,43","19,48",6
"Белоусова ул., д.14/41","13,29","14,18",7
"Белоусова ул., д.16","12,11","12,84",6
"Белоусова ул., д.18","13,59","14,5",7
"Белоусова ул., д.18, к.1","28,71","29,45",3
"Белоусова ул., д.20","35,97","36,25",1
"Белоусова ул., д.22","36,93","37,31",1
"Белоусова ул., д.24/32","34,61","35,01",1
"Васи Алексеева ул., д.7","71,43","67,06",-6
"Васи Алексеева ул., д.9","63,23","62,31",-1
"Васи Алексеева ул., д.10","96,22","98,69",3
"Васи Алексеева ул., д.11","54,76","54,53",0
"Васи Алексеева ул., д.16","70,29","73,02",4
"Васи Алексеева ул., д.17","73,92","76,71",4
"Васи Алексеева ул., д.20/24","165,21","162,22",-2
"Васи Алексеева ул., д.21","91,17","103,6",14
"Васи Алексеева ул., д.22","149,91","140,35",-6
"Васи Алексеева ул., д.24","73,4","77,45",6
"Васи Алексеева ул., д.25","53,35","55,23",4
"Васи Алексеева ул., д.26","69,67","75,56",8
"Васи Алексеева ул., д.28","58,72","75,75",29
"Васи Алексеева ул., д.30","124,55","134,36",8
"Возрождения ул., д.7/25","164,14","165,9",1
"Возрождения ул., д.9","62,1","62,38",0
"Возрождения ул., д.15","55,66","63,14",13
"Возрождения ул., д.19/38","152,04","152,34",0
"Возрождения ул., д.23","49,18","57,55",17
"Возрождения ул., д.25","50,96","56,34",11
"Возрождения ул., д.27","48,33","37,92",-22
"Гладкова ул., д.1","15,01","9,97",-34
"Гладкова ул., д.1а","15,34","12,51",-18
"Гладкова ул., д.7/10","30,01","22,74",-24
"Гладкова ул., д.11","13,03","11,77",-10
"Гладкова ул., д.13","13,02","11,84",-9
"Гладкова ул., д.17","11,53","12,31",7
"Гладкова ул., д.19","13,54","13,79",2
"Гладкова ул., д.21","12,31","12,27",0
"Гладкова ул., д.23","34,32","34,31",0
"Гладкова ул., д.24/7","15,43","15,3",-1
"Гладкова ул., д.25","93,96","94,43",1
"Гладкова ул., д.26","15,73","16,98",8
"Гладкова ул., д.29","33,47","34,9",4
"Гладкова ул., д.31/7","14,77","15,95",8
"Гладкова ул., д.33","15,14","17,03",12
"Гладкова ул., д.35","15,83","15,93",1
"Гладкова ул., д.39","16,54","17,3",5
"Гладкова ул., д.41","15,01","17,99",20
"Гладкова ул., д.43","28,48","31,78",12
"Губина ул., д.1/32","25,71","27,66",8
"Губина ул., д.3","14,25","15,54",9
"Губина ул., д.4","11,85","12,57",6
"Губина ул., д.5","23,09","24,87",8
"Губина ул., д.6","15,3","16,99",11
"Губина ул., д.8","12,36","14,01",13
"Губина ул., д.9, к.1","22,57","23,02",2
"Губина ул., д.9, к.2","15,78","16,02",2
"Губина ул., д.13, к.1","22,71","23,95",5
"Губина ул., д.13, к.2","15,87","17,14",8
"Губина ул., д.19/16",15,"17,75",18
"Губина ул., д.20","12,74","13,94",9
"Губина ул., д.21","13,45","15,37",14
"Губина ул., д.22/21","13,77","15,12",10
"Губина ул., д.23/19","16,06","17,75",11
"Двинская ул., д.4","88,41","82,23",-7
"Двинская ул., д.4, к.1","47,08","49,03",4
"Двинская ул., д.4, к.2","80,93","72,65",-10
"Двинская ул., д.4, к.3","72,12","69,32",-4
"Двинская ул., д.4, к.4","50,19","48,88",-3
"Двинская ул., д.8","74,23","75,36",2
"Двинская ул., д.9","69,14","51,69",-25
"Двинская ул., д.10","229,11","168,36",-27
"Двинская ул., д.11","112,38","83,98",-25
"Двинская ул., д.14","107,26","99,36",-7
"Двинская ул., д.14, к.4","247,55","215,36",-13
"Двинская ул., д.15","272,1","205,36",-25
"Двинская ул., д.16, к.1","255,05","375,31",47
"Двинская ул., д.16, к.3","130,99","135,23",3
"Двинская ул., д.17","40,91","43,06",5
"Зайцева ул., д.3","124,21","120,89",-3
"Зайцева ул., д.17/23","146,04","143,53",-2
"Зайцева ул., д.18/16","150,98","153,55",2
"Зайцева ул., д.19/18","89,27","93,69",5
"Зайцева ул., д.20","87,74","96,67",10
"Зайцева ул., д.21","33,35","36,05",8
"Зайцева ул., д.22/13","156,05","154,64",-1
"Зайцева ул., д.25","59,31","66,32",12
"Зайцева ул., д.26","97,56","97,09",0
"Зайцева ул., д.29","30,85","29,69",-4
"Зайцева ул., д.31","87,68","89,51",2
"Зайцева ул., д.32","47,07","53,98",15
"Зайцева ул., д.33","86,02","85,88",0
"Зайцева ул., д.34","51,09","51,67",1
"Зайцева ул., д.36","64,27","63,5",-1
"Зайцева ул., д.37","110,07","109,03",-1
"Зайцева ул., д.39","74,12","77,37",4
"Зины Портновой ул., д.4","51,99","52,82",2
"Зины Портновой ул., д.6","52,09","53,86",3
"Зины Портновой ул., д.8","52,84","55,08",4
"Зины Портновой ул., д.10","52,95","55,31",4
"Зины Портновой ул., д.12","51,98","54,44",5
"Зины Портновой ул., д.14","53,03","53,7",1
"Зины Портновой ул., д.16","27,93","29,05",4
"Зины Портновой ул., д.18","52,87","54,21",3
"Зины Портновой ул., д.20","53,01","53,25",0
"Зины Портновой ул., д.22","53,45","53,79",1
"Зины Портновой ул., д.24","52,95","53,58",1
"Зины Портновой ул., д.26","53,06","54,45",3
"Зины Портновой ул., д.28","27,15","27,08",0
"Зины Портновой ул., д.30","52,98","53,89",2
"Зои Космодемьянской ул., д.3","107,42","118,74",11
"Зои Космодемьянской ул., д.5","28,71","30,33",6
"Зои Космодемьянской ул., д.17/26","71,85","71,36",-1
"Зои Космодемьянской ул., д.21","13,88","14,83",7
"Зои Космодемьянской ул., д.27","38,15","34,26",-10
"Зои Космодемьянской ул., д.29","25,28","23,94",-5
"Ивана Черных ул., д.1","58,33","59,63",2
"Ивана Черных ул., д.3, к.2","36,88","36,98",0
"Ивана Черных ул., д.13","86,97","92,03",6
"Ивана Черных ул., д.15","74,91","78,32",5
"Ивана Черных ул., д.19","55,74","56,4",1
"Ивана Черных ул., д.21","42,13","43,23",3
"Калинина ул., д.8, к.1","11,27","11,64",3
"Калинина ул., д.10","40,82","48,2",18
"Канонерский о., д.7","200,59","211,33",5
"Канонерский о., д.8","219,45","229,36",5
"Канонерский о., д.9","87,86","93,65",7
"Канонерский о., д.10","88,75","120,52",36
"Канонерский о., д.11, к.1","103,31","115,32",12
"Канонерский о., д.12, к.2","63,79","138,07",116
"Канонерский о., д.13","46,17","70,68",53
"Канонерский о., д.14","44,64","47,96",7
"Канонерский о., д.15","60,33","68,08",13
"Канонерский о., д.16","74,78","78,69",5
"Канонерский о., д.17","20,76","21,36",3
"Корнеева ул., д.2","70,64","72,98",3
