"АВТОВСКАЯ УЛ., д.21",289,244,-16
"АВТОВСКАЯ УЛ., д.22",597,658,10
"АВТОВСКАЯ УЛ., д.25",684,617,-10
"АВТОВСКАЯ УЛ., д.26/37",1998,1555,-22
"АВТОВСКАЯ УЛ., д.28/30",1095,1198,9
"АВТОВСКАЯ УЛ., д.29",395,363,-8
"АВТОВСКАЯ УЛ., д.30",439,481,10
"АВТОВСКАЯ УЛ., д.32",413,652,58
"АВТОВСКАЯ УЛ., д.34",496,548,10
"АВТОВСКАЯ УЛ., д.38",301,302,0
"АВТОВСКАЯ УЛ., д.40",798,841,5
"АВТОВСКАЯ УЛ., д.46",1231,1211,-2
"АВТОВСКАЯ УЛ., д.52",827,890,8
"БАЛТИЙСКАЯ УЛ., д.2/14",3516,3450,-2
"БАЛТИЙСКАЯ УЛ., д.12",1165,1203,3
"БАЛТИЙСКАЯ УЛ., д.14",1153,1158,0
"БАЛТИЙСКАЯ УЛ., д.17",382,435,14
"БАЛТИЙСКАЯ УЛ., д.17, корп.2",754,500,-34
"БАЛТИЙСКАЯ УЛ., д.18",401,403,0
"БАЛТИЙСКАЯ УЛ., д.19",542,592,9
"БАЛТИЙСКАЯ УЛ., д.20",78,63,-19
"БАЛТИЙСКАЯ УЛ., д.21",431,448,4
"БАЛТИЙСКАЯ УЛ., д.22",156,158,1
"БАЛТИЙСКАЯ УЛ., д.24",149,163,9
"БАЛТИЙСКАЯ УЛ., д.27",138,263,91
"БАЛТИЙСКАЯ УЛ., д.32",172,201,17
"БАЛТИЙСКАЯ УЛ., д.34",267,263,-1
"БАЛТИЙСКАЯ УЛ., д.36/9",1623,1560,-4
"БАЛТИЙСКАЯ УЛ., д.38",723,960,33
"БАРРИКАДНАЯ УЛ., д.3",346,365,5
"БАРРИКАДНАЯ УЛ., д.4",96,80,-17
"БАРРИКАДНАЯ УЛ., д.5",733,534,-27
"БЕЛОУСОВА УЛ., д.3",164,117,-29
"БЕЛОУСОВА УЛ., д.5",151,114,-25
"БЕЛОУСОВА УЛ., д.6/42",643,683,6
"БЕЛОУСОВА УЛ., д.14/41",164,144,-12
"БЕЛОУСОВА УЛ., д.16",68,64,-6
"БЕЛОУСОВА УЛ., д.18",236,202,-14
"БЕЛОУСОВА УЛ., д.18, корп.1",389,400,3
"БЕЛОУСОВА УЛ., д.20",357,288,-19
"ВАСИ АЛЕКСЕЕВА УЛ., д.7",828,898,8
"ВАСИ АЛЕКСЕЕВА УЛ., д.9",603,617,2
"ВАСИ АЛЕКСЕЕВА УЛ., д.10",1027,1134,10
"ВАСИ АЛЕКСЕЕВА УЛ., д.11",951,840,-12
"ВАСИ АЛЕКСЕЕВА УЛ., д.16",912,929,2
"ВАСИ АЛЕКСЕЕВА УЛ., д.17",704,664,-6
"ВАСИ АЛЕКСЕЕВА УЛ., д.20/24",2337,2100,-10
