"АВТОВСКАЯ УЛ., д.21","217,835","211,71",-3
"АВТОВСКАЯ УЛ., д.25","352,805","357,65",1
"АВТОВСКАЯ УЛ., д.28/30","541,084","567,79",5
"АВТОВСКАЯ УЛ., д.29","257,312","270,64",5
"АВТОВСКАЯ УЛ., д.30","143,166","158,37",11
"АВТОВСКАЯ УЛ., д.32","375,95","395,21",5
"АВТОВСКАЯ УЛ., д.34","308,376","336,6",9
"АВТОВСКАЯ УЛ., д.38","172,032","179,33",4
"АВТОВСКАЯ УЛ., д.40","415,314","441,55",6
"БАЛТИЙСКАЯ УЛ., д.17, корп.2","465,622","468,38",1
"БАЛТИЙСКАЯ УЛ., д.19А","162,394","149,6",-8
"БАЛТИЙСКАЯ УЛ., д.19Б","96,427","96,03",0
"БАЛТИЙСКАЯ УЛ., д.21","37,424","39,41",5
"БАЛТИЙСКАЯ УЛ., д.21, корп.2","70,679","73,87",5
"БАЛТИЙСКАЯ УЛ., д.23","31,997","32,49",2
"БАЛТИЙСКАЯ УЛ., д.25","98,444","131,81",34
"БАЛТИЙСКАЯ УЛ., д.27","68,32","47,36",-31
"БАЛТИЙСКАЯ УЛ., д.34","59,794","63,87",7
"БАРРИКАДНАЯ УЛ., д.5","393,481","390,09",-1
"БЕЛОУСОВА УЛ., д.3","135,729","146,23",8
"БЕЛОУСОВА УЛ., д.5","99,981","108,48",9
"БЕЛОУСОВА УЛ., д.10","72,715","76,7",5
"ВАСИ АЛЕКСЕЕВА УЛ., д.16","520,53","533,73",3
"ВАСИ АЛЕКСЕЕВА УЛ., д.17","362,184","387,06",7
"ВАСИ АЛЕКСЕЕВА УЛ., д.21","440,923","462,16",5
"ВАСИ АЛЕКСЕЕВА УЛ., д.25","267,212","273,39",2
"ГЛАДКОВА УЛ., д.1","75,015","82,96",11
"ГЛАДКОВА УЛ., д.1А","109,27","106,27",-3
"ГЛАДКОВА УЛ., д.24/7","57,639","64,44",12
"ГЛАДКОВА УЛ., д.26","105,325","106,33",1
"ГУБИНА УЛ., д.9, корп.1","97,18","95,76",-1
"ГУБИНА УЛ., д.9, корп.2","70,41","81,85",16
"ГУБИНА УЛ., д.13, корп.1","64,038","64,08",0
"ГУБИНА УЛ., д.13, корп.2","102,867","92,47",-10
"ГУБИНА УЛ., д.19/16","135,856","126,29",-7
"ГУБИНА УЛ., д.21","86,016","87,02",1
"ГУБИНА УЛ., д.23/19","84,388","88,39",5
"ДВИНСКАЯ УЛ., д.14, корп.4","1316,388","1355,4",3
"ДВИНСКАЯ УЛ., д.16, корп.1","1872,05","1918,25",2
"ДВИНСКАЯ УЛ., д.16, корп.3","1672,99","1670,49",0
"ЗАЙЦЕВА УЛ., д.3","652,476","588,57",-10
"ЗАЙЦЕВА УЛ., д.19/18","503,69","509,25",1
"ЗАЙЦЕВА УЛ., д.21","175,068","169,86",-3
"ЗАЙЦЕВА УЛ., д.25","321,704","321,09",0
"ЗАЙЦЕВА УЛ., д.29","188,195","200,78",7
"ЗАЙЦЕВА УЛ., д.31","487,47","512,16",5
"ЗИНЫ ПОРТНОВОЙ УЛ., д.4","406,362","394,4",-3
"ЗИНЫ ПОРТНОВОЙ УЛ., д.6","296,458","307,4",4
"ЗИНЫ ПОРТНОВОЙ УЛ., д.8","405,545","383,49",-5
"ЗИНЫ ПОРТНОВОЙ УЛ., д.10","360,403","429,5",19
"ЗИНЫ ПОРТНОВОЙ УЛ., д.12","283,977","301,43",6
"ЗИНЫ ПОРТНОВОЙ УЛ., д.14","333,409","319,26",-4
"ЗИНЫ ПОРТНОВОЙ УЛ., д.16","182,805","192,19",5
"ЗИНЫ ПОРТНОВОЙ УЛ., д.18","318,054","331,48",4
