"АВТОВСКАЯ УЛ., д.21",,"23,290"
"АВТОВСКАЯ УЛ., д.22",,"76,480"
"АВТОВСКАЯ УЛ., д.25",,"44,240"
"АВТОВСКАЯ УЛ., д.26/37",,"111,920"
"АВТОВСКАЯ УЛ., д.28/30",,"77,690"
"АВТОВСКАЯ УЛ., д.29",,"29,830"
"АВТОВСКАЯ УЛ., д.30",,"29,160"
"АВТОВСКАЯ УЛ., д.32",,"80,460"
"АВТОВСКАЯ УЛ., д.34",,"44,630"
"АВТОВСКАЯ УЛ., д.38",,"29,030"
"АВТОВСКАЯ УЛ., д.40",,"78,040"
"АВТОВСКАЯ УЛ., д.46",,"63,070"
"АВТОВСКАЯ УЛ., д.52",,"46,060"
"БАЛТИЙСКАЯ УЛ., д.2/14",,"210,140"
"БАЛТИЙСКАЯ УЛ., д.12",,"66,280"
"БАЛТИЙСКАЯ УЛ., д.14",,"40,720"
"БАЛТИЙСКАЯ УЛ., д.17",,"33,110"
"БАЛТИЙСКАЯ УЛ., д.17, корп.2",,"91,490"
"БАЛТИЙСКАЯ УЛ., д.19А",,"25,960"
"БАЛТИЙСКАЯ УЛ., д.19Б",,"16,240"
"БАЛТИЙСКАЯ УЛ., д.21",,"9,680"
"БАЛТИЙСКАЯ УЛ., д.21, корп.2",,"10,430"
"БАЛТИЙСКАЯ УЛ., д.23",,"6,830"
"БАЛТИЙСКАЯ УЛ., д.25",,"13,900"
"БАЛТИЙСКАЯ УЛ., д.27",,"10,490"
"БАЛТИЙСКАЯ УЛ., д.34",,"8,590"
"БАЛТИЙСКАЯ УЛ., д.36/9",,"87,040"
"БАЛТИЙСКАЯ УЛ., д.38",,"50,210"
"БАРРИКАДНАЯ УЛ., д.3",,"21,150"
"БАРРИКАДНАЯ УЛ., д.5",,"36,280"
"БАРРИКАДНАЯ УЛ., д.34",,"9,130"
"БАРРИКАДНАЯ УЛ., д.36",,"29,010"
"БЕЛОУСОВА УЛ., д.3",,"16,560"
"БЕЛОУСОВА УЛ., д.5",,"15,440"
"БЕЛОУСОВА УЛ., д.6/42",,"48,540"
"БЕЛОУСОВА УЛ., д.10",,"14,860"
"ВАСИ АЛЕКСЕЕВА УЛ., д.7",,"53,730"
"ВАСИ АЛЕКСЕЕВА УЛ., д.9",,"51,610"
"ВАСИ АЛЕКСЕЕВА УЛ., д.10",,"76,170"
"ВАСИ АЛЕКСЕЕВА УЛ., д.11",,"45,560"
"ВАСИ АЛЕКСЕЕВА УЛ., д.16",,"79,930"
"ВАСИ АЛЕКСЕЕВА УЛ., д.17",,"63,120"
"ВАСИ АЛЕКСЕЕВА УЛ., д.20/24",,"141,160"
"ВАСИ АЛЕКСЕЕВА УЛ., д.21",,"87,480"
"ВАСИ АЛЕКСЕЕВА УЛ., д.22",,"108,960"
"ВАСИ АЛЕКСЕЕВА УЛ., д.24",,"63,840"
"ВАСИ АЛЕКСЕЕВА УЛ., д.25",,"47,240"
"ВАСИ АЛЕКСЕЕВА УЛ., д.26",,"63,630"
"ВАСИ АЛЕКСЕЕВА УЛ., д.28",,"65,070"
"ВАСИ АЛЕКСЕЕВА УЛ., д.30",,"108,520"
"ВОЗРОЖДЕНИЯ УЛ., д.7/25",,"127,440"
"ВОЗРОЖДЕНИЯ УЛ., д.9",,"49,900"
"ВОЗРОЖДЕНИЯ УЛ., д.15",,"45,380"
"ВОЗРОЖДЕНИЯ УЛ., д.19/38",,"125,450"
"ВОЗРОЖДЕНИЯ УЛ., д.23",,"46,730"
"ВОЗРОЖДЕНИЯ УЛ., д.25",,"46,540"
"ВОЗРОЖДЕНИЯ УЛ., д.27",,"46,960"
"ГЛАДКОВА УЛ., д.1",,"12,370"
"ГЛАДКОВА УЛ., д.1А",,"14,090"
"ГЛАДКОВА УЛ., д.7/10",,"23,210"
"ГЛАДКОВА УЛ., д.23",,"29,040"
"ГЛАДКОВА УЛ., д.24/7",,"13,210"
"ГЛАДКОВА УЛ., д.25",,"75,740"
"ГЛАДКОВА УЛ., д.26",,"13,980"
"ГЛАДКОВА УЛ., д.29",,"28,600"
"ГУБИНА УЛ., д.9, корп.1",,"15,030"
"ГУБИНА УЛ., д.9, корп.2",,"14,120"
"ГУБИНА УЛ., д.11",,"10,240"
"ГУБИНА УЛ., д.13, корп.1",,"14,760"
"ГУБИНА УЛ., д.13, корп.2",,"14,190"
"ГУБИНА УЛ., д.19/16",,"12,700"
"ГУБИНА УЛ., д.21",,"9,180"
"ГУБИНА УЛ., д.23/19",,"13,020"
"ДВИНСКАЯ УЛ., д.4",,"78,970"
"ДВИНСКАЯ УЛ., д.4, корп.1",,"45,890"
"ДВИНСКАЯ УЛ., д.4, корп.2",,"75,600"
"ДВИНСКАЯ УЛ., д.4, корп.3",,"63,060"
"ДВИНСКАЯ УЛ., д.4, корп.4",,"46,930"
"ДВИНСКАЯ УЛ., д.8",,"62,340"
"ДВИНСКАЯ УЛ., д.9",,"53,310"
"ДВИНСКАЯ УЛ., д.10",,"162,990"
"ДВИНСКАЯ УЛ., д.11",,"85,380"
"ДВИНСКАЯ УЛ., д.14",,"82,320"
"ДВИНСКАЯ УЛ., д.14, корп.4",,"228,890"
"ДВИНСКАЯ УЛ., д.15",,"242,480"
"ДВИНСКАЯ УЛ., д.16, корп.1",,"338,870"
"ДВИНСКАЯ УЛ., д.16, корп.3",,"113,870"
"ДВИНСКАЯ УЛ., д.17",,"37,830"
"ЗАЙЦЕВА УЛ., д.3",,"86,080"
"ЗАЙЦЕВА УЛ., д.17/23",,"115,020"
"ЗАЙЦЕВА УЛ., д.18/16",,"121,710"
"ЗАЙЦЕВА УЛ., д.19/18",,"76,670"
"ЗАЙЦЕВА УЛ., д.20",,"75,490"
"ЗАЙЦЕВА УЛ., д.21",,"29,240"
"ЗАЙЦЕВА УЛ., д.22/13",,"125,780"
"ЗАЙЦЕВА УЛ., д.25",,"55,170"
"ЗАЙЦЕВА УЛ., д.26",,"70,740"
"ЗАЙЦЕВА УЛ., д.29",,"29,340"
"ЗАЙЦЕВА УЛ., д.31",,"78,300"
"ЗАЙЦЕВА УЛ., д.32",,"45,300"
"ЗАЙЦЕВА УЛ., д.33",,"69,260"
"ЗАЙЦЕВА УЛ., д.34",,"43,600"
"ЗАЙЦЕВА УЛ., д.36",,"43,830"
"ЗАЙЦЕВА УЛ., д.37",,"89,580"
"ЗАЙЦЕВА УЛ., д.39",,"64,380"
"ЗИНЫ ПОРТНОВОЙ УЛ., д.4",,"43,280"
"ЗИНЫ ПОРТНОВОЙ УЛ., д.6",,"44,090"
"ЗИНЫ ПОРТНОВОЙ УЛ., д.8",,"44,460"
"ЗИНЫ ПОРТНОВОЙ УЛ., д.10",,"44,260"
"ЗИНЫ ПОРТНОВОЙ УЛ., д.12",,"44,750"
"ЗИНЫ ПОРТНОВОЙ УЛ., д.14",,"44,280"
"ЗИНЫ ПОРТНОВОЙ УЛ., д.16",,"23,350"
"ЗИНЫ ПОРТНОВОЙ УЛ., д.18",,"44,390"
"ЗИНЫ ПОРТНОВОЙ УЛ., д.20",,"44,080"
"ЗИНЫ ПОРТНОВОЙ УЛ., д.22",,"44,750"
"ЗИНЫ ПОРТНОВОЙ УЛ., д.24",,"43,950"
"ЗИНЫ ПОРТНОВОЙ УЛ., д.26",,"44,720"
"ЗИНЫ ПОРТНОВОЙ УЛ., д.28",,"22,650"
"ЗИНЫ ПОРТНОВОЙ УЛ., д.30",,"44,230"
"ЗОИ КОСМОДЕМЬЯНСКОЙ УЛ., д.3",,"78,330"
"ЗОИ КОСМОДЕМЬЯНСКОЙ УЛ., д.5",,"22,860"
"ЗОИ КОСМОДЕМЬЯНСКОЙ УЛ., д.17/26",,"50,460"
"ЗОИ КОСМОДЕМЬЯНСКОЙ УЛ., д.21",,"11,930"
"ЗОИ КОСМОДЕМЬЯНСКОЙ УЛ., д.23",,"11,590"
"ЗОИ КОСМОДЕМЬЯНСКОЙ УЛ., д.25/20",,"19,250"
"ЗОИ КОСМОДЕМЬЯНСКОЙ УЛ., д.27",,"26,530"
"ЗОИ КОСМОДЕМЬЯНСКОЙ УЛ., д.29",,"23,450"
"ИВАНА ЧЕРНЫХ УЛ., д.1",,"44,450"
"ИВАНА ЧЕРНЫХ УЛ., д.3",,"36,480"
"ИВАНА ЧЕРНЫХ УЛ., д.3, корп.2",,"26,920"
"ИВАНА ЧЕРНЫХ УЛ., д.13А",,"29,390"
"ИВАНА ЧЕРНЫХ УЛ., д.13Б",,"46,720"
"ИВАНА ЧЕРНЫХ УЛ., д.15А",,"46,740"
"ИВАНА ЧЕРНЫХ УЛ., д.15Б",,"29,350"
"ИВАНА ЧЕРНЫХ УЛ., д.19",,"46,320"
"ИВАНА ЧЕРНЫХ УЛ., д.21",,"31,880"
"КАЛИНИНА УЛ., д.2, корп.1",,"10,530"
"КАЛИНИНА УЛ., д.2, корп.2",,"20,060"
"КАЛИНИНА УЛ., д.8, корп.1",,"11,880"
"КАНОНЕРСКИЙ ОСТРОВ, д.7",,"233,410"
"КАНОНЕРСКИЙ ОСТРОВ, д.8",,"255,560"
"КАНОНЕРСКИЙ ОСТРОВ, д.9",,"100,390"
"КАНОНЕРСКИЙ ОСТРОВ, д.10",,"104,450"
"КАНОНЕРСКИЙ ОСТРОВ, д.11, корп.1",,"118,880"
"КАНОНЕРСКИЙ ОСТРОВ, д.12",,"58,410"
"КАНОНЕРСКИЙ ОСТРОВ, д.12, корп.2",,"126,150"
"КАНОНЕРСКИЙ ОСТРОВ, д.13",,"58,280"
"КАНОНЕРСКИЙ ОСТРОВ, д.14",,"58,410"
"КАНОНЕРСКИЙ ОСТРОВ, д.16",,"76,280"
"КОРНЕЕВА УЛ., д.2",,"48,480"
"КОРНЕЕВА УЛ., д.6",,"244,560"
"КОСИНОВА УЛ., д.5",,"19,110"
"КОСИНОВА УЛ., д.6",,"9,970"
"КОСИНОВА УЛ., д.7",,"9,440"
"КОСИНОВА УЛ., д.9/9",,"18,030"
"КОСИНОВА УЛ., д.14, корп.1",,"67,410"
"КОСИНОВА УЛ., д.14, корп.2",,"73,290"
"КРАСНОПУТИЛОВСКАЯ УЛ., д.16/13",,"121,990"
"КРАСНОПУТИЛОВСКАЯ УЛ., д.18",,"88,190"
"КРАСНОПУТИЛОВСКАЯ УЛ., д.20",,"97,570"
"КРАСНОПУТИЛОВСКАЯ УЛ., д.26",,"95,210"
"КРАСНОПУТИЛОВСКАЯ УЛ., д.28/20",,"106,540"
"ЛЕНИНСКИЙ ПР., д.110, корп.1А",,"72,730"
"ЛЕНИНСКИЙ ПР., д.110, корп.1Б",,"378,330"
"ЛЕНИНСКИЙ ПР., д.120, корп.2",,"44,990"
"ЛЕНИНСКИЙ ПР., д.124",,"213,310"
"ЛЕНИНСКИЙ ПР., д.130, корп.2",,"34,890"
"МАЙКОВ ПЕР., д.3",,"10,440"
"МАЙКОВ ПЕР., д.5А",,"10,300"
"МАЙКОВ ПЕР., д.7/1",,"13,140"
"МАРШАЛА ГОВОРОВА УЛ., д.3/7",,"103,240"
"МАРШАЛА ГОВОРОВА УЛ., д.5/4",,"146,600"
"МАРШАЛА ГОВОРОВА УЛ., д.6/5",,"87,160"
"МАРШАЛА ГОВОРОВА УЛ., д.7",,"46,380"
"МАРШАЛА ГОВОРОВА УЛ., д.11/3",,"126,100"
"МАРШАЛА ГОВОРОВА УЛ., д.15",,"54,830"
"МАРШАЛА ГОВОРОВА УЛ., д.16",,"233,730"
"МАРШАЛА ГОВОРОВА УЛ., д.17",,"48,670"
"МАРШАЛА ГОВОРОВА УЛ., д.21",,"44,500"
"МАРШАЛА ГОВОРОВА УЛ., д.22/10",,"120,760"
"МАРШАЛА ГОВОРОВА УЛ., д.22, корп.2",,"63,900"
"МАРШАЛА ГОВОРОВА УЛ., д.23",,"44,110"
"МАРШАЛА ГОВОРОВА УЛ., д.24",,"78,220"
"МАРШАЛА ГОВОРОВА УЛ., д.26, корп.2",,"30,140"
"МАРШАЛА ЖУКОВА ПР., д.18А",,"87,510"
"МАРШАЛА ЖУКОВА ПР., д.18Б",,"89,130"
"МАРШАЛА ЖУКОВА ПР., д.18В",,"220,070"
"МАРШАЛА ЖУКОВА ПР., д.18Г",,"88,300"
"МАРШАЛА ЖУКОВА ПР., д.18Д",,"87,530"
"МАРШАЛА ЖУКОВА ПР., д.20",,"118,450"
"МАРШАЛА ЖУКОВА ПР., д.22",,"115,510"
"МАРШАЛА ЖУКОВА ПР., д.26/16А",,"106,900"
"МАРШАЛА ЖУКОВА ПР., д.26/16Б",,"71,830"
"МАРШАЛА ЖУКОВА ПР., д.26/16В",,"295,590"
"МАРШАЛА ЖУКОВА ПР., д.28, корп.1",,"270,980"
"МАРШАЛА ЖУКОВА ПР., д.30, корп.2А",,"84,180"
"МАРШАЛА ЖУКОВА ПР., д.30, корп.2Б",,"88,510"
"МАРШАЛА ЖУКОВА ПР., д.30, корп.2В",,"214,540"
"МАРШАЛА ЖУКОВА ПР., д.30, корп.2Г",,"90,120"
"МАРШАЛА ЖУКОВА ПР., д.30, корп.2Д",,"214,710"
"МАРШАЛА ЖУКОВА ПР., д.30, корп.2Е",,"90,830"
"МАРШАЛА ЖУКОВА ПР., д.30, корп.2Ж",,"174,970"
"МАРШАЛА ЖУКОВА ПР., д.32, корп.1",,"299,960"
"МАРШАЛА ЖУКОВА ПР., д.34, корп.1А",,"170,900"
"МАРШАЛА ЖУКОВА ПР., д.34, корп.1Б",,"72,860"
"МАРШАЛА ЖУКОВА ПР., д.34, корп.1В",,"197,020"
"МАРШАЛА ЖУКОВА ПР., д.34, корп.1Г",,"71,960"
"МАРШАЛА ЖУКОВА ПР., д.34, корп.1Д",,"132,050"
"МАРШАЛА ЖУКОВА ПР., д.34, корп.1Е",,"199,320"
"МАРШАЛА КАЗАКОВА УЛ., д.1, корп.2",,"136,790"
"МАРШАЛА КАЗАКОВА УЛ., д.3, корп.1",,"44,010"
"МАРШАЛА КАЗАКОВА УЛ., д.5, корп.1А",,"201,270"
"МАРШАЛА КАЗАКОВА УЛ., д.5, корп.1Б",,"136,930"
"МАРШАЛА КАЗАКОВА УЛ., д.10, корп.1А",,"204,440"
"МАРШАЛА КАЗАКОВА УЛ., д.10, корп.1Б",,"127,950"
"МАРШАЛА КАЗАКОВА УЛ., д.10, корп.1В",,"87,580"
"МАРШАЛА КАЗАКОВА УЛ., д.10, корп.1Д",,"88,360"
"МАРШАЛА КАЗАКОВА УЛ., д.13",,"125,810"
"МЕТРОСТРОЕВЦЕВ УЛ., д.2",,"52,300"
"МОРСКОЙ ПЕХОТЫ УЛ., д.4",,"302,590"
"МОРСКОЙ ПЕХОТЫ УЛ., д.6, корп.1",,"130,520"
"МОРСКОЙ ПЕХОТЫ УЛ., д.10, корп.1",,"333,450"
"МОРСКОЙ ПЕХОТЫ УЛ., д.14",,"58,240"
"НАРОДНОГО ОПОЛЧЕНИЯ ПР., д.7",,"44,170"
"НОВАТОРОВ БУЛЬВАР, д.1",,"57,650"
"НОВАТОРОВ БУЛЬВАР, д.3",,"40,650"
"НОВООВСЯННИКОВСКАЯ УЛ., д.9",,"14,050"
"НОВОСТРОЕК УЛ., д.8",,"14,740"
"НОВОСТРОЕК УЛ., д.12",,"98,240"
"НОВОСТРОЕК УЛ., д.20",,"78,570"
