"АВТОВСКАЯ УЛ., д.21","23,290","29,830",28
"АВТОВСКАЯ УЛ., д.22","76,480","98,280",29
"АВТОВСКАЯ УЛ., д.25","44,240","57,110",29
"АВТОВСКАЯ УЛ., д.26/37","111,920","144,490",29
"АВТОВСКАЯ УЛ., д.28/30","77,690","99,600",28
"АВТОВСКАЯ УЛ., д.29","29,830","38,330",28
"АВТОВСКАЯ УЛ., д.30","29,160","37,530",29
"АВТОВСКАЯ УЛ., д.32","80,460","103,230",28
"АВТОВСКАЯ УЛ., д.34","44,630","57,350",29
"АВТОВСКАЯ УЛ., д.38","29,030","37,270",28
"АВТОВСКАЯ УЛ., д.40","78,040","100,830",29
"АВТОВСКАЯ УЛ., д.46","63,070","81,420",29
"АВТОВСКАЯ УЛ., д.52","46,060","59,420",29
"БАЛТИЙСКАЯ УЛ., д.2/14","210,140","270,870",29
"БАЛТИЙСКАЯ УЛ., д.12","66,280","85,170",29
"БАЛТИЙСКАЯ УЛ., д.14","40,720","52,203",28
"БАЛТИЙСКАЯ УЛ., д.17","33,110","42,679",29
"БАЛТИЙСКАЯ УЛ., д.17, корп.2","91,490","118,114",29
"БАЛТИЙСКАЯ УЛ., д.19А","25,960","33,592",29
"БАЛТИЙСКАЯ УЛ., д.19Б","16,240","20,868",29
"БАЛТИЙСКАЯ УЛ., д.21","9,680","12,516",29
"БАЛТИЙСКАЯ УЛ., д.21, корп.2","10,430","13,465",29
"БАЛТИЙСКАЯ УЛ., д.23","6,830","8,790",29
"БАЛТИЙСКАЯ УЛ., д.25","13,900","17,875",29
"БАЛТИЙСКАЯ УЛ., д.27","10,490","13,553",29
"БАЛТИЙСКАЯ УЛ., д.34","8,590","11,047",29
"БАЛТИЙСКАЯ УЛ., д.36/9","87,040","112,195",29
"БАЛТИЙСКАЯ УЛ., д.38","50,210","64,871",29
"БАРРИКАДНАЯ УЛ., д.3","21,150","27,093",28
"БАРРИКАДНАЯ УЛ., д.5","36,280","46,729",29
"БАРРИКАДНАЯ УЛ., д.34","9,130","11,787",29
"БАРРИКАДНАЯ УЛ., д.36","29,010","37,539",29
"БЕЛОУСОВА УЛ., д.3","16,560","21,246",28
"БЕЛОУСОВА УЛ., д.5","15,440","19,887",29
"БЕЛОУСОВА УЛ., д.6/42","48,540","62,422",29
"БЕЛОУСОВА УЛ., д.10","14,860","19,080",28
"ВАСИ АЛЕКСЕЕВА УЛ., д.7","53,730","69,150",29
"ВАСИ АЛЕКСЕЕВА УЛ., д.9","51,610","66,530",29
"ВАСИ АЛЕКСЕЕВА УЛ., д.10","76,170","98,410",29
"ВАСИ АЛЕКСЕЕВА УЛ., д.11","45,560","58,820",29
"ВАСИ АЛЕКСЕЕВА УЛ., д.16","79,930","102,390",28
"ВАСИ АЛЕКСЕЕВА УЛ., д.17","63,120","81,300",29
"ВАСИ АЛЕКСЕЕВА УЛ., д.20/24","141,160","182,240",29
"ВАСИ АЛЕКСЕЕВА УЛ., д.21","87,480","112,590",29
"ВАСИ АЛЕКСЕЕВА УЛ., д.22","108,960","140,780",29
"ВАСИ АЛЕКСЕЕВА УЛ., д.24","63,840","82,100",29
"ВАСИ АЛЕКСЕЕВА УЛ., д.25","47,240","61,080",29
"ВАСИ АЛЕКСЕЕВА УЛ., д.26","63,630","82,150",29
"ВАСИ АЛЕКСЕЕВА УЛ., д.28","65,070","83,680",29
"ВАСИ АЛЕКСЕЕВА УЛ., д.30","108,520","139,010",28
"ВОЗРОЖДЕНИЯ УЛ., д.7/25","127,440","164,530",29
"ВОЗРОЖДЕНИЯ УЛ., д.9","49,900","64,570",29
"ВОЗРОЖДЕНИЯ УЛ., д.15","45,380","58,540",29
"ВОЗРОЖДЕНИЯ УЛ., д.19/38","125,450","161,960",29
"ВОЗРОЖДЕНИЯ УЛ., д.23","46,730","60,140",29
"ВОЗРОЖДЕНИЯ УЛ., д.25","46,540","59,990",29
"ВОЗРОЖДЕНИЯ УЛ., д.27","46,960","60,340",28
"ГЛАДКОВА УЛ., д.1","12,370","15,871",28
"ГЛАДКОВА УЛ., д.1А","14,090","18,049",28
"ГЛАДКОВА УЛ., д.7/10","23,210","29,964",29
"ГЛАДКОВА УЛ., д.23","29,040","37,433",29
"ГЛАДКОВА УЛ., д.24/7","13,210","16,988",29
"ГЛАДКОВА УЛ., д.25","75,740","97,477",29
"ГЛАДКОВА УЛ., д.26","13,980","18,062",29
"ГЛАДКОВА УЛ., д.29","28,600","37,008",29
"ГУБИНА УЛ., д.9, корп.1","15,030","19,329",29
"ГУБИНА УЛ., д.9, корп.2","14,120","18,201",29
"ГУБИНА УЛ., д.11","10,240","13,138",28
