"АВТОВСКАЯ УЛ., д.21",248,"267,74",8
"АВТОВСКАЯ УЛ., д.22",670,726,8
"АВТОВСКАЯ УЛ., д.25","602,17","528,1",-12
"АВТОВСКАЯ УЛ., д.26/37","1524,57",1392,-9
"АВТОВСКАЯ УЛ., д.28/30","699,11","765,1",9
"АВТОВСКАЯ УЛ., д.29","347,83","327,9",-6
"АВТОВСКАЯ УЛ., д.30","282,89","258,9",-8
"АВТОВСКАЯ УЛ., д.32",568,625,10
"АВТОВСКАЯ УЛ., д.34",454,455,0
"АВТОВСКАЯ УЛ., д.38",269,283,5
"АВТОВСКАЯ УЛ., д.40",662,701,6
"АВТОВСКАЯ УЛ., д.46",1034,1095,6
"АВТОВСКАЯ УЛ., д.52",657,688,5
"БАЛТИЙСКАЯ УЛ., д.2/14",3210,3195,0
"БАЛТИЙСКАЯ УЛ., д.12",1027,"829,26",-19
"БАЛТИЙСКАЯ УЛ., д.14",973,907,-7
"БАЛТИЙСКАЯ УЛ., д.17",568,"590,2",4
"БАЛТИЙСКАЯ УЛ., д.17, корп.2","512,41",590,15
"БАЛТИЙСКАЯ УЛ., д.18",234,269,15
"БАЛТИЙСКАЯ УЛ., д.19А","617,9","301,2",-51
"БАЛТИЙСКАЯ УЛ., д.19Б","350,15","170,7",-51
"БАЛТИЙСКАЯ УЛ., д.20",97,89,-8
"БАЛТИЙСКАЯ УЛ., д.21","308,95","150,5",-51
"БАЛТИЙСКАЯ УЛ., д.21, корп.2","110,33","161,4",46
"БАЛТИЙСКАЯ УЛ., д.22",132,106,-20
"БАЛТИЙСКАЯ УЛ., д.24","160,99","201,5",25
"БАЛТИЙСКАЯ УЛ., д.27",96,127,32
"БАЛТИЙСКАЯ УЛ., д.32А","164,77","183,4",11
"БАЛТИЙСКАЯ УЛ., д.32Д","90,23","100,4",11
"БАЛТИЙСКАЯ УЛ., д.34",191,155,-19
"БАЛТИЙСКАЯ УЛ., д.36/9",1288,1449,13
"БАЛТИЙСКАЯ УЛ., д.38",704,"767,8",9
"БАРРИКАДНАЯ УЛ., д.3",418,478,14
"БАРРИКАДНАЯ УЛ., д.4","92,79","98,2",6
"БАРРИКАДНАЯ УЛ., д.5",565,695,23
"БЕЛОУСОВА УЛ., д.3",158,200,27
"БЕЛОУСОВА УЛ., д.5",106,"108,5",2
"БЕЛОУСОВА УЛ., д.6/42",913,1012,11
"БЕЛОУСОВА УЛ., д.14/41","129,38","133,6",3
"БЕЛОУСОВА УЛ., д.16","70,24","72,5",3
"БЕЛОУСОВА УЛ., д.18","209,63","208,7",0
"БЕЛОУСОВА УЛ., д.18, корп.1","353,37","351,7",0
"БЕЛОУСОВА УЛ., д.20","318,02","325,3",2
"ВАСИ АЛЕКСЕЕВА УЛ., д.7",707,783,11
"ВАСИ АЛЕКСЕЕВА УЛ., д.9",556,"601,91",8
"ВАСИ АЛЕКСЕЕВА УЛ., д.10","1022,47","1080,2",6
"ВАСИ АЛЕКСЕЕВА УЛ., д.11",746,833,12
"ВАСИ АЛЕКСЕЕВА УЛ., д.16",1081,1084,0
"ВАСИ АЛЕКСЕЕВА УЛ., д.17",638,637,0
"ВАСИ АЛЕКСЕЕВА УЛ., д.20/24",1818,1924,6
"ВАСИ АЛЕКСЕЕВА УЛ., д.21",587,977,66
"ВАСИ АЛЕКСЕЕВА УЛ., д.22",1234,1316,7
"ВАСИ АЛЕКСЕЕВА УЛ., д.24",877,916,4
"ВАСИ АЛЕКСЕЕВА УЛ., д.25",449,453,1
"ВАСИ АЛЕКСЕЕВА УЛ., д.26",852,922,8
"ВАСИ АЛЕКСЕЕВА УЛ., д.28",1048,971,-7
"ВАСИ АЛЕКСЕЕВА УЛ., д.30",1379,1464,6
"ВОЗРОЖДЕНИЯ УЛ., д.7/25","2094,64",1920,-8
"ВОЗРОЖДЕНИЯ УЛ., д.9","638,36",607,-5
"ВОЗРОЖДЕНИЯ УЛ., д.15",765,822,7
"ВОЗРОЖДЕНИЯ УЛ., д.19/38","1825,91",1797,-2
"ВОЗРОЖДЕНИЯ УЛ., д.23","594,1","634,9",7
"ВОЗРОЖДЕНИЯ УЛ., д.25","718,9","768,4",7
"ВОЗРОЖДЕНИЯ УЛ., д.27",878,950,8
"ГЛАДКОВА УЛ., д.1","118,88","118,1",-1
"ГЛАДКОВА УЛ., д.1А","138,7","137,8",-1
"ГЛАДКОВА УЛ., д.7/10",490,"513,8",5
"ГЛАДКОВА УЛ., д.11","142,75","147,8",4
"ГЛАДКОВА УЛ., д.13","153,32","158,8",4
"ГЛАДКОВА УЛ., д.17","78,11","80,1",3
"ГЛАДКОВА УЛ., д.19","146,03","149,7",3
"ГЛАДКОВА УЛ., д.21","118,86","121,9",3
"ГЛАДКОВА УЛ., д.23","563,76","635,2",13
"ГЛАДКОВА УЛ., д.24/7","146,13","134,7",-8
"ГЛАДКОВА УЛ., д.25",1057,"1070,92",1
"ГЛАДКОВА УЛ., д.26","131,87","125,28",-5
"ГЛАДКОВА УЛ., д.29","605,07","515,3",-15
"ГЛАДКОВА УЛ., д.31/7","212,52","205,8",-3
"ГЛАДКОВА УЛ., д.33","256,48","248,5",-3
"ГЛАДКОВА УЛ., д.35","101,5","94,7",-7
"ГЛАДКОВА УЛ., д.39","156,73","124,1",-21
"ГЛАДКОВА УЛ., д.41","86,16","91,2",6
"ГЛАДКОВА УЛ., д.43","92,79","98,2",6
"ГУБИНА УЛ., д.1/32","175,57",164,-7
"ГУБИНА УЛ., д.3","98,51",78,-21
"ГУБИНА УЛ., д.4","100,76","85,6",-15
"ГУБИНА УЛ., д.5","250,76","198,5",-21
"ГУБИНА УЛ., д.6","201,52","171,2",-15
"ГУБИНА УЛ., д.8","73,5","68,6",-7
"ГУБИНА УЛ., д.9, корп.1","231,05","102,7",-56
"ГУБИНА УЛ., д.9, корп.2","194,95","82,4",-58
"ГУБИНА УЛ., д.12","111,24","99,6",-10
"ГУБИНА УЛ., д.13, корп.1","140,21","149,6",7
"ГУБИНА УЛ., д.13, корп.2","160,83","171,6",7
"ГУБИНА УЛ., д.14","125,76","112,6",-10
"ГУБИНА УЛ., д.15",71,74,4
"ГУБИНА УЛ., д.18","95,17","109,67",15
"ГУБИНА УЛ., д.19/16","121,3","118,74",-2
"ГУБИНА УЛ., д.20","111,83","129,54",16
"ГУБИНА УЛ., д.22/21",125,"107,3",-14
"ДВИНСКАЯ УЛ., д.4",1413,"1360,4",-4
"ДВИНСКАЯ УЛ., д.4, корп.1",832,"878,7",6
"ДВИНСКАЯ УЛ., д.4, корп.2",1365,"1287,7",-6
"ДВИНСКАЯ УЛ., д.4, корп.3",817,874,7
"ДВИНСКАЯ УЛ., д.4, корп.4",770,852,11
"ДВИНСКАЯ УЛ., д.8",807,890,10
"ДВИНСКАЯ УЛ., д.9",997,949,-5
"ДВИНСКАЯ УЛ., д.10",2154,2265,5
"ДВИНСКАЯ УЛ., д.11",970,"1057,6",9
"ДВИНСКАЯ УЛ., д.14",1106,"1194,7",8
"ДВИНСКАЯ УЛ., д.14, корп.4",2064,"1856,4",-10
"ДВИНСКАЯ УЛ., д.15","3760,21","3585,4",-5
"ДВИНСКАЯ УЛ., д.16, корп.1","2117,75","2382,2",12
"ДВИНСКАЯ УЛ., д.16, корп.3",1540,"1708,6",11
"ДВИНСКАЯ УЛ., д.17","691,79","700,52",1
"ЗАЙЦЕВА УЛ., д.3",845,911,8
"ЗАЙЦЕВА УЛ., д.17/23",1570,1558,-1
"ЗАЙЦЕВА УЛ., д.18/16",1657,1715,4
"ЗАЙЦЕВА УЛ., д.19/18","758,99","685,88",-10
"ЗАЙЦЕВА УЛ., д.20",1243,1328,7
"ЗАЙЦЕВА УЛ., д.21","288,01",233,-19
"ЗАЙЦЕВА УЛ., д.22/13",1769,1837,4
"ЗАЙЦЕВА УЛ., д.25",600,638,6
"ЗАЙЦЕВА УЛ., д.26",963,1024,6
"ЗАЙЦЕВА УЛ., д.29",310,318,3
"ЗАЙЦЕВА УЛ., д.31",787,752,-4
"ЗАЙЦЕВА УЛ., д.32","734,76","785,7",7
"ЗАЙЦЕВА УЛ., д.33",1192,1285,8
"ЗАЙЦЕВА УЛ., д.34","642,24","686,8",7
"ЗАЙЦЕВА УЛ., д.36",545,609,12
"ЗАЙЦЕВА УЛ., д.37",1061,1186,12
"ЗАЙЦЕВА УЛ., д.39",746,824,10
"ЗИНЫ ПОРТНОВОЙ УЛ., д.4","394,19","437,8",11
"ЗИНЫ ПОРТНОВОЙ УЛ., д.6","436,81",485,11
"ЗИНЫ ПОРТНОВОЙ УЛ., д.8","547,58","547,2",0
"ЗИНЫ ПОРТНОВОЙ УЛ., д.10","516,78","516,4",0
"ЗИНЫ ПОРТНОВОЙ УЛ., д.12",521,"530,6",2
"ЗИНЫ ПОРТНОВОЙ УЛ., д.14","451,76","451,5",0
"ЗИНЫ ПОРТНОВОЙ УЛ., д.16","225,88","225,7",0
"ЗИНЫ ПОРТНОВОЙ УЛ., д.18","484,08","495,9",2
"ЗИНЫ ПОРТНОВОЙ УЛ., д.20","447,55","572,9",28
"ЗИНЫ ПОРТНОВОЙ УЛ., д.22",436,"454,3",4
"ЗИНЫ ПОРТНОВОЙ УЛ., д.24",489,"468,6",-4
"ЗИНЫ ПОРТНОВОЙ УЛ., д.26","426,24","436,7",2
"ЗИНЫ ПОРТНОВОЙ УЛ., д.28","228,34","233,9",2
"ЗИНЫ ПОРТНОВОЙ УЛ., д.30","395,79","291,1",-26
"ЗОИ КОСМОДЕМЬЯНСКОЙ УЛ., д.3",1984,"521,55",-74
"ЗОИ КОСМОДЕМЬЯНСКОЙ УЛ., д.5",376,"510,3",36
"ЗОИ КОСМОДЕМЬЯНСКОЙ УЛ., д.6, корп.1",295,"270,6",-8
"ЗОИ КОСМОДЕМЬЯНСКОЙ УЛ., д.8/17",99,"84,18",-15
"ЗОИ КОСМОДЕМЬЯНСКОЙ УЛ., д.15",658,"606,9",-8
"ЗОИ КОСМОДЕМЬЯНСКОЙ УЛ., д.16/24","116,79","112,1",-4
"ЗОИ КОСМОДЕМЬЯНСКОЙ УЛ., д.17/26",888,"654,6",-26
"ЗОИ КОСМОДЕМЬЯНСКОЙ УЛ., д.21","145,94","145,94",0
"ЗОИ КОСМОДЕМЬЯНСКОЙ УЛ., д.23","238,14","227,5",-4
"ЗОИ КОСМОДЕМЬЯНСКОЙ УЛ., д.25/20","199,86","223,22",12
"ЗОИ КОСМОДЕМЬЯНСКОЙ УЛ., д.27","447,73","409,6",-9
"ЗОИ КОСМОДЕМЬЯНСКОЙ УЛ., д.29","493,27","451,2",-9
"ИВАНА ЧЕРНЫХ УЛ., д.1","615,55","700,3",14
"ИВАНА ЧЕРНЫХ УЛ., д.13А","477,15","565,3",18
"ИВАНА ЧЕРНЫХ УЛ., д.13Б","771,85","914,4",18
"ИВАНА ЧЕРНЫХ УЛ., д.15А","746,1","795,9",7
"ИВАНА ЧЕРНЫХ УЛ., д.15Б","583,9","622,9",7
"ИВАНА ЧЕРНЫХ УЛ., д.19",719,"747,6",4
"ИВАНА ЧЕРНЫХ УЛ., д.21",289,304,5
"КАЛИНИНА УЛ., д.2, корп.1",,"232,5",
"КАЛИНИНА УЛ., д.2, корп.2",,"139,5",
"КАЛИНИНА УЛ., д.8, корп.1","37,506",49,31
"КАЛИНИНА УЛ., д.18А",120,"35,55",-70
"КАЛИНИНА УЛ., д.18З",40,77,93
"КАНОНЕРСКИЙ ОСТРОВ, д.7",1883,1784,-5
"КАНОНЕРСКИЙ ОСТРОВ, д.8",1913,2040,7
"КАНОНЕРСКИЙ ОСТРОВ, д.9",687,"766,7",12
"КАНОНЕРСКИЙ ОСТРОВ, д.10",1061,812,-23
"КАНОНЕРСКИЙ ОСТРОВ, д.11, корп.1",1950,"1300,35",-33
"КАНОНЕРСКИЙ ОСТРОВ, д.12",589,"672,5",14
"КАНОНЕРСКИЙ ОСТРОВ, д.12, корп.2",847,"895,4",6
"КАНОНЕРСКИЙ ОСТРОВ, д.13",521,564,8
"КАНОНЕРСКИЙ ОСТРОВ, д.14",577,"646,2",12
"КАНОНЕРСКИЙ ОСТРОВ, д.15",461,"333,8",-28
"КАНОНЕРСКИЙ ОСТРОВ, д.16",1453,1606,11
"КАНОНЕРСКИЙ ОСТРОВ, д.17","160,42","160,42",0
"КОРНЕЕВА УЛ., д.2",680,"702,3",3
"КОРНЕЕВА УЛ., д.6",1914,"1992,3",4
"КОСИНОВА УЛ., д.5","577,11","541,2",-6
"КОСИНОВА УЛ., д.7","153,89","144,4",-6
"КОСИНОВА УЛ., д.9/9","311,93","337,59",8
"КОСИНОВА УЛ., д.14, корп.1","714,36","698,1",-2
"КОСИНОВА УЛ., д.14, корп.2","871,64","851,9",-2
"КРАСНОПУТИЛОВСКАЯ УЛ., д.16/13",1707,1823,7
"КРАСНОПУТИЛОВСКАЯ УЛ., д.18",980,1015,4
"КРАСНОПУТИЛОВСКАЯ УЛ., д.20",1241,1353,9
"КРАСНОПУТИЛОВСКАЯ УЛ., д.26",1186,1273,7
"КРАСНОПУТИЛОВСКАЯ УЛ., д.28/20",1741,1690,-3
"ЛЕНИНСКИЙ ПР., д.110, корп.1А",573,"584,2",2
"ЛЕНИНСКИЙ ПР., д.110, корп.1Б",4087,3944,-3
"ЛЕНИНСКИЙ ПР., д.120, корп.2",420,"441,2",5
"ЛЕНИНСКИЙ ПР., д.124",1620,1699,5
"МАЙКОВ ПЕР., д.3",96,"65,87",-31
"МАЙКОВ ПЕР., д.5","11,32","16,6",47
"МАЙКОВ ПЕР., д.5А","82,04","95,51",16
"МАЙКОВ ПЕР., д.7/1","82,04",120,46
"МАРШАЛА ГОВОРОВА УЛ., д.3/7",1002,1002,0
"МАРШАЛА ГОВОРОВА УЛ., д.5/4",1748,1783,2
"МАРШАЛА ГОВОРОВА УЛ., д.6/5",1311,1518,16
"МАРШАЛА ГОВОРОВА УЛ., д.7",643,682,6
"МАРШАЛА ГОВОРОВА УЛ., д.11/3",1560,1605,3
"МАРШАЛА ГОВОРОВА УЛ., д.15","724,53","765,5",6
"МАРШАЛА ГОВОРОВА УЛ., д.16",3079,"3332,5",8
"МАРШАЛА ГОВОРОВА УЛ., д.17",579,"659,63",14
"МАРШАЛА ГОВОРОВА УЛ., д.22/10","1181,9","1848,1",56
"МАРШАЛА ГОВОРОВА УЛ., д.22, корп.2","639,1","952,7",49
"МАРШАЛА ГОВОРОВА УЛ., д.24",2238,"1495,1",-33
"МАРШАЛА ГОВОРОВА УЛ., д.26, корп.2",524,"585,4",12
"МАРШАЛА ЖУКОВА ПР., д.18А",984,"1056,2",7
"МАРШАЛА ЖУКОВА ПР., д.18Б","564,31","550,52",-2
"МАРШАЛА ЖУКОВА ПР., д.18В",1739,1942,12
"МАРШАЛА ЖУКОВА ПР., д.18Г",815,"948,8",16
"МАРШАЛА ЖУКОВА ПР., д.18Д","514,05","533,54",4
"МАРШАЛА ЖУКОВА ПР., д.20","1582,8","1585,13",0
"МАРШАЛА ЖУКОВА ПР., д.22",1574,"1803,9",15
"МАРШАЛА ЖУКОВА ПР., д.26/16А",911,"918,1",1
"МАРШАЛА ЖУКОВА ПР., д.26/16Б",529,"2589,7",390
"МАРШАЛА ЖУКОВА ПР., д.26/16В",2487,"2374,24",-5
"МАРШАЛА ЖУКОВА ПР., д.28, корп.1",2301,"2315,5",1
"МАРШАЛА ЖУКОВА ПР., д.30, корп.2А",596,"664,3",11
"МАРШАЛА ЖУКОВА ПР., д.30, корп.2Б","514,6","543,01",6
"МАРШАЛА ЖУКОВА ПР., д.30, корп.2В",1716,"1803,9",5
"МАРШАЛА ЖУКОВА ПР., д.30, корп.2Г",1122,"1217,9",9
"МАРШАЛА ЖУКОВА ПР., д.30, корп.2Д","1416,31","1501,89",6
"МАРШАЛА ЖУКОВА ПР., д.30, корп.2Е",709,"834,8",18
"МАРШАЛА ЖУКОВА ПР., д.30, корп.2Ж","1163,74","1163,12",0
"МАРШАЛА ЖУКОВА ПР., д.32, корп.1",2705,"2663,7",-2
"МАРШАЛА ЖУКОВА ПР., д.34, корп.1А",1409,"1505,9",7
"МАРШАЛА ЖУКОВА ПР., д.34, корп.1Б",617,589,-5
"МАРШАЛА ЖУКОВА ПР., д.34, корп.1В",1921,"2022,8",5
"МАРШАЛА ЖУКОВА ПР., д.34, корп.1Г","449,79","485,62",8
"МАРШАЛА ЖУКОВА ПР., д.34, корп.1Д",1155,"1181,6",2
"МАРШАЛА ЖУКОВА ПР., д.34, корп.1Е",1620,"1685,9",4
"МАРШАЛА КАЗАКОВА УЛ., д.1, корп.2",1114,1147,3
"МАРШАЛА КАЗАКОВА УЛ., д.3, корп.1",1222,1339,10
"МАРШАЛА КАЗАКОВА УЛ., д.5, корп.1А",1934,"2035,3",5
"МАРШАЛА КАЗАКОВА УЛ., д.5, корп.1Б",983,"1124,4",14
"МАРШАЛА КАЗАКОВА УЛ., д.10, корп.1А",1763,2114,20
"МАРШАЛА КАЗАКОВА УЛ., д.10, корп.1Б","956,5","864,7",-10
"МАРШАЛА КАЗАКОВА УЛ., д.10, корп.1В",745,"822,6",10
"МАРШАЛА КАЗАКОВА УЛ., д.13",1852,1916,3
