"АВТОВСКАЯ УЛ., д.21","243,05\223,65","271,05\233,65","12\4"
"АВТОВСКАЯ УЛ., д.22","167,232\141,1","222,934\182,1","33\29"
"АВТОВСКАЯ УЛ., д.25","246,5\147,3","232,5\145,3","-6\-1"
"АВТОВСКАЯ УЛ., д.26/37","518,245\275,55","530,303\279,55","2\1"
"АВТОВСКАЯ УЛ., д.28/30","351,45\198,85","352,45\200,85","0\1"
"АВТОВСКАЯ УЛ., д.29","848,35\402,05","853,35\403,05","1\0"
"АВТОВСКАЯ УЛ., д.30","147,55\86","148,55\88","1\2"
"АВТОВСКАЯ УЛ., д.32","125,354\119,5","116,17\79,5","-7\-33"
"АВТОВСКАЯ УЛ., д.34","100,5\54,85","123,5\69,85","23\27"
"АВТОВСКАЯ УЛ., д.38","105,55\59,7","118,55\67,7","12\13"
"АВТОВСКАЯ УЛ., д.40","259,85\173,6","299,85\194,6","15\12"
"АВТОВСКАЯ УЛ., д.46","127\66,95","146\74,95","15\12"
"АВТОВСКАЯ УЛ., д.52","247,05\174,4","254,05\177,4","3\2"
"БАЛТИЙСКАЯ УЛ., д.2/14","825,18\471,45","965,43\522,45","17\11"
"БАЛТИЙСКАЯ УЛ., д.12","452,408\269,2","403,908\238,2","-11\-12"
"БАЛТИЙСКАЯ УЛ., д.14","535\274","661\333","24\22"
"БАЛТИЙСКАЯ УЛ., д.17","38,434\26,3","36,814\24,3","-4\-8"
"БАЛТИЙСКАЯ УЛ., д.17, корп.2","511,93\372,95","475,98\377,95","-7\1"
"БАЛТИЙСКАЯ УЛ., д.18","34,35\34,85","104,35\57,85","204\66"
"БАЛТИЙСКАЯ УЛ., д.19А","156,104\0","24,6\18,45","-84\-"
"БАЛТИЙСКАЯ УЛ., д.19Б","80,86\0","12,78\9,55","-84\-"
"БАЛТИЙСКАЯ УЛ., д.20","24,113\25,77","25,253\27,46","5\7"
"БАЛТИЙСКАЯ УЛ., д.21",2,4,100
"БАЛТИЙСКАЯ УЛ., д.21, корп.2","54,2\29,75","70,2\38,75","30\30"
"БАЛТИЙСКАЯ УЛ., д.22","18,802\20,029","19,632\21,339","4\7"
"БАЛТИЙСКАЯ УЛ., д.23","50,4\26,2","60,4\29,2","20\11"
"БАЛТИЙСКАЯ УЛ., д.24","72,817\72,35","108,588\105,35","49\46"
"БАЛТИЙСКАЯ УЛ., д.25","73\39","103\51","41\31"
"БАЛТИЙСКАЯ УЛ., д.27","98,122\50,3","94,272\49,3","-4\-2"
"БАЛТИЙСКАЯ УЛ., д.32А","52,064\32,36","72,944\46,12","40\43"
"БАЛТИЙСКАЯ УЛ., д.32Д","19,792\12,19","27,712\17,43","40\43"
"БАЛТИЙСКАЯ УЛ., д.34","62,665\0","80,925\0","29\-"
"БАЛТИЙСКАЯ УЛ., д.36/9","117,024\64,05","147,384\83,05","26\30"
"БАЛТИЙСКАЯ УЛ., д.38","289,2\181,4","320,2\196,4","11\8"
"БАРРИКАДНАЯ УЛ., д.3","179,35\93,3","183,35\91,3","2\-2"
"БАРРИКАДНАЯ УЛ., д.4","90,516\0","90,516\0","0\-"
"БАРРИКАДНАЯ УЛ., д.34","83,35\42,55","72,35\26,55","-13\-38"
"БЕЛОУСОВА УЛ., д.3","45,55\23,3","43,55\22,3","-4\-4"
"БЕЛОУСОВА УЛ., д.5","133,25\86,2","130,25\77,2","-2\-10"
"БЕЛОУСОВА УЛ., д.6/42","394,44\199,85","363,5\203,85","-8\2"
"БЕЛОУСОВА УЛ., д.10","75,392\0","98,25\67","30\-"
"БЕЛОУСОВА УЛ., д.14/41","67,95\39,05","15,95\8,05","-77\-79"
"БЕЛОУСОВА УЛ., д.16","105,535\63,15","100,555\58,15","-5\-8"
"БЕЛОУСОВА УЛ., д.18","137,3\72,8","129,3\66,8","-6\-8"
"БЕЛОУСОВА УЛ., д.18, корп.1","228,15\171,7","187,15\141,7","-18\-17"
"БЕЛОУСОВА УЛ., д.20","86,7\46,35","184,7\95,35","113\106"
"БЕЛОУСОВА УЛ., д.22","21,45\4,8","20,45\8,8","-5\83"
"БЕЛОУСОВА УЛ., д.24/32","60,105\42,65","44,635\31,65","-26\-26"
"ВАСИ АЛЕКСЕЕВА УЛ., д.7","142,149\91,7","146,069\90,7","3\-1"
"ВАСИ АЛЕКСЕЕВА УЛ., д.9","4,836\12,45","6,696\17,45","38\40"
"ВАСИ АЛЕКСЕЕВА УЛ., д.10","591,455\233,4","730,685\311,4","24\33"
"ВАСИ АЛЕКСЕЕВА УЛ., д.11","126,1\140","334,1\140","165\0"
"ВАСИ АЛЕКСЕЕВА УЛ., д.17","240,095\154,745","293,095\189,745","22\23"
"ВАСИ АЛЕКСЕЕВА УЛ., д.20/24","328,965\198,7","341,765\222,7","4\12"
"ВАСИ АЛЕКСЕЕВА УЛ., д.21","82,913\67,75","88,913\69,75","7\3"
"ВАСИ АЛЕКСЕЕВА УЛ., д.22","622,704\441,9","677,424\473,9","9\7"
"ВАСИ АЛЕКСЕЕВА УЛ., д.24","341,55\194,4","367,55\210,4","8\8"
"ВАСИ АЛЕКСЕЕВА УЛ., д.25","157,4\108,75","172,4\114,75","10\6"
"ВАСИ АЛЕКСЕЕВА УЛ., д.26","382,242\278,95","460,452\341,95","20\23"
"ВАСИ АЛЕКСЕЕВА УЛ., д.28","262,495\154,801","270,495\160,801","3\4"
"ВАСИ АЛЕКСЕЕВА УЛ., д.30","525,968\313,25","506,968\293,25","-4\-6"
"ВОЗРОЖДЕНИЯ УЛ., д.7/25","388,74\220","425,94\247","10\12"
"ВОЗРОЖДЕНИЯ УЛ., д.9","37,245\24,7","41,145\26,7","10\8"
"ВОЗРОЖДЕНИЯ УЛ., д.15","197,654\126,65","180\112","-9\-12"
"ВОЗРОЖДЕНИЯ УЛ., д.19/38","640,352\396,3","751,022\471,3","17\19"
"ВОЗРОЖДЕНИЯ УЛ., д.23","103,3\48,45","107,3\50,45","4\4"
"ВОЗРОЖДЕНИЯ УЛ., д.25","327,05\204,75","350,05\220,75","7\8"
"ВОЗРОЖДЕНИЯ УЛ., д.27","314,5\184,6","348,5\204,6","11\11"
"ГЛАДКОВА УЛ., д.1","53,996\35,85","33,456\34,85","-38\-3"
"ГЛАДКОВА УЛ., д.1А","58,3\29,85","76,3\35,85","31\20"
"ГЛАДКОВА УЛ., д.7/10","17,928\78,65","16,728\46,65","-7\-41"
"ГЛАДКОВА УЛ., д.11","16,16\16,33","56,1\29,8","247\82"
"ГЛАДКОВА УЛ., д.13","37,55\24,2","43,55\26,2","16\8"
"ГЛАДКОВА УЛ., д.17","213,4\93,15","352,4\150,15","65\61"
"ГЛАДКОВА УЛ., д.19","53\34","71\45","34\32"
"ГЛАДКОВА УЛ., д.21","9\5","20\10","122\100"
"ГЛАДКОВА УЛ., д.23","178,4\111,6","220,4\139,6","24\25"
"ГЛАДКОВА УЛ., д.24/7","145,05\77,15","120,05\64,15","-17\-17"
"ГЛАДКОВА УЛ., д.25","450,8\233,15","579,8\297,15","29\27"
"ГЛАДКОВА УЛ., д.26","111\55,05","118\59,05","6\7"
"ГЛАДКОВА УЛ., д.29","120,7\88,45","204,7\136,45","70\54"
"ГЛАДКОВА УЛ., д.31/7","71,3\44,45","66,3\34,45","-7\-22"
"ГЛАДКОВА УЛ., д.33","244,05\85,8","134,05\71,8","-45\-16"
"ГЛАДКОВА УЛ., д.35","55,708\0","55,708\0","0\-"
"ГЛАДКОВА УЛ., д.39","15,15\11,8","26,85\11,5","77\-3"
"ГЛАДКОВА УЛ., д.41","1,15\4,15","2,15\,15","87\-96"
"ГЛАДКОВА УЛ., д.43","29,469\21,4","45,309\34,4","54\61"
"ГУБИНА УЛ., д.1/32","246,383\104,35","272,773\122,35","11\17"
"ГУБИНА УЛ., д.3","60\32","51\26","-15\-19"
"ГУБИНА УЛ., д.4","70,261\39,2","85,141\47,2","21\20"
"ГУБИНА УЛ., д.5","109\73","176\118","61\62"
