"АВТОВСКАЯ УЛ., д.21","311\170","402\210","29\24"
"АВТОВСКАЯ УЛ., д.22","262\137","282\145","8\6"
"АВТОВСКАЯ УЛ., д.25","161\127","148\146","-8\15"
"АВТОВСКАЯ УЛ., д.26/37","347,39\239","326,39\219","-6\-8"
"АВТОВСКАЯ УЛ., д.28/30","184\137","132\118","-28\-14"
"АВТОВСКАЯ УЛ., д.29","655\154","658\161","0\5"
"АВТОВСКАЯ УЛ., д.30","93\76","118\100","27\32"
"АВТОВСКАЯ УЛ., д.32","108\84","107\89","-1\6"
"АВТОВСКАЯ УЛ., д.34","99\72","88\69","-11\-4"
"АВТОВСКАЯ УЛ., д.38","55\41","48\33","-13\-20"
"АВТОВСКАЯ УЛ., д.40","239\202","184\186","-23\-8"
"АВТОВСКАЯ УЛ., д.46","124\65","138\71","11\9"
"АВТОВСКАЯ УЛ., д.52","131\125","162\189","24\51"
"БАЛТИЙСКАЯ УЛ., д.2/14","369,68\414","396\199","7\-52"
"БАЛТИЙСКАЯ УЛ., д.12","212,34\145","65,34\71","-69\-51"
"БАЛТИЙСКАЯ УЛ., д.14","815\1","815\0","0\-100"
"БАЛТИЙСКАЯ УЛ., д.17","1486,95\1549,95","1486,95\1549,95","0\0"
"БАЛТИЙСКАЯ УЛ., д.17, корп.2","159,81\70","429\177","168\153"
"БАЛТИЙСКАЯ УЛ., д.18","76\70","26\34","-66\-51"
"БАЛТИЙСКАЯ УЛ., д.19","77\57","34\30","-56\-47"
"БАЛТИЙСКАЯ УЛ., д.20","52,99\53,46","24,29\37,7","-54\-29"
"БАЛТИЙСКАЯ УЛ., д.21","392\12","385\7","-2\-42"
"БАЛТИЙСКАЯ УЛ., д.22","41,18\41,54","18,88\29,3","-54\-29"
"БАЛТИЙСКАЯ УЛ., д.23","20\10","10\5","-50\-50"
"БАЛТИЙСКАЯ УЛ., д.24","87,22\110","16\15","-82\-86"
"БАЛТИЙСКАЯ УЛ., д.25","102\51","102\51","0\0"
"БАЛТИЙСКАЯ УЛ., д.27","33\16","33\16","0\0"
"БАЛТИЙСКАЯ УЛ., д.32","96,07\75","45,07\45","-53\-40"
"БАЛТИЙСКАЯ УЛ., д.34","71,01\0","13,01\0","-82\-"
"БАЛТИЙСКАЯ УЛ., д.36/9","113,5\127","115\58","1\-54"
"БАЛТИЙСКАЯ УЛ., д.38","313\233","179\157","-43\-33"
"БАРРИКАДНАЯ УЛ., д.3","300\10","300\20","0\100"
"БАРРИКАДНАЯ УЛ., д.4","196\1","197\96","1\9500"
"БАРРИКАДНАЯ УЛ., д.34","85\36","77\44","-9\22"
"БЕЛОУСОВА УЛ., д.3","10\53","22\96","120\81"
"БЕЛОУСОВА УЛ., д.5","98\74","77\83","-21\12"
"БЕЛОУСОВА УЛ., д.6/42","303,6\211","359,6\243","18\15"
"БЕЛОУСОВА УЛ., д.10","210,17\1","55\185","-74\18400"
"БЕЛОУСОВА УЛ., д.14/41","215\1","185\95","-14\9400"
"БЕЛОУСОВА УЛ., д.16","163,78\47","133,78\70","-18\49"
"БЕЛОУСОВА УЛ., д.18","77\41","110\56","43\37"
"БЕЛОУСОВА УЛ., д.18, корп.1","143\130","144\145","1\12"
"БЕЛОУСОВА УЛ., д.20","72\50","76\63","6\26"
"БЕЛОУСОВА УЛ., д.22","1450\689","1667\851","15\24"
"БЕЛОУСОВА УЛ., д.24/32","33\33","25\37","-24\12"
"ВАСИ АЛЕКСЕЕВА УЛ., д.7","141,99\12","69,99\15","-51\25"
"ВАСИ АЛЕКСЕЕВА УЛ., д.9","53\47","47\52","-11\11"
"ВАСИ АЛЕКСЕЕВА УЛ., д.10","61,1\108","156,1\161","155\49"
"ВАСИ АЛЕКСЕЕВА УЛ., д.11","175\137","187\183","7\34"
"ВАСИ АЛЕКСЕЕВА УЛ., д.17","229\196","208\222","-9\13"
"ВАСИ АЛЕКСЕЕВА УЛ., д.20/24","239\236","143\140","-40\-41"
"ВАСИ АЛЕКСЕЕВА УЛ., д.21","291\176","283\183","-3\4"
"ВАСИ АЛЕКСЕЕВА УЛ., д.22","446,65\383","433,65\411","-3\7"
"ВАСИ АЛЕКСЕЕВА УЛ., д.24","295\190","410\296","39\56"
"ВАСИ АЛЕКСЕЕВА УЛ., д.25","282\244","262\284","-7\16"
"ВАСИ АЛЕКСЕЕВА УЛ., д.26","325,48\342","398,48\416","22\22"
"ВАСИ АЛЕКСЕЕВА УЛ., д.28","140\94","188\137","34\46"
"ВАСИ АЛЕКСЕЕВА УЛ., д.30","408,89\323","404,89\389","-1\20"
"ВОЗРОЖДЕНИЯ УЛ., д.7/25","391\453,69","405\408,69","4\-10"
"ВОЗРОЖДЕНИЯ УЛ., д.9","58\37","48\40","-17\8"
"ВОЗРОЖДЕНИЯ УЛ., д.15","152,48\116","142,48\150","-7\29"
"ВОЗРОЖДЕНИЯ УЛ., д.19/38","366,39\372","455,39\476","24\28"
"ВОЗРОЖДЕНИЯ УЛ., д.23","245\169","226\183","-8\8"
"ВОЗРОЖДЕНИЯ УЛ., д.25","197\143","264\230","34\61"
"ВОЗРОЖДЕНИЯ УЛ., д.27","146\90","220\143","51\59"
"ГЛАДКОВА УЛ., д.1","18,49\67","3,49\98","-81\46"
"ГЛАДКОВА УЛ., д.1А","118\1","88\99","-25\9800"
"ГЛАДКОВА УЛ., д.7/10","21,32\49","38,32\58","80\18"
"ГЛАДКОВА УЛ., д.11","48\7","44\28","-8\300"
"ГЛАДКОВА УЛ., д.13","35\27","48\45","37\67"
"ГЛАДКОВА УЛ., д.17","200\100","180\117","-10\17"
"ГЛАДКОВА УЛ., д.19","63\56","27\23","-57\-59"
"ГЛАДКОВА УЛ., д.21","212\1","212\0","0\-100"
"ГЛАДКОВА УЛ., д.23","253\184","267\248","6\35"
"ГЛАДКОВА УЛ., д.24/7","87\46","79\45","-9\-2"
"ГЛАДКОВА УЛ., д.25","437\311","486\366","11\18"
"ГЛАДКОВА УЛ., д.26","134\70","127\65","-5\-7"
"ГЛАДКОВА УЛ., д.29","102\98","87\118","-15\20"
"ГЛАДКОВА УЛ., д.31/7","63\32","49\25","-22\-22"
"ГЛАДКОВА УЛ., д.33","234\129","201\115","-14\-11"
"ГЛАДКОВА УЛ., д.35","192\1","76\39","-60\3800"
"ГЛАДКОВА УЛ., д.39","64\46","43\33","-33\-28"
"ГЛАДКОВА УЛ., д.41","19\19","59\43","211\126"
"ГЛАДКОВА УЛ., д.43","51\27","62\30","22\11"
"ГУБИНА УЛ., д.1/32","197,71\93","185,71\86","-6\-8"
"ГУБИНА УЛ., д.4","108,83\69","84,83\62","-22\-10"
"ГУБИНА УЛ., д.5","120\57","488\0","307\-100"
"ГУБИНА УЛ., д.6","234\124","333\176","42\42"
"ГУБИНА УЛ., д.8","195\89","151\57","-23\-36"
"ГУБИНА УЛ., д.9, корп.1","30\16","25\13","-17\-19"
"ГУБИНА УЛ., д.9, корп.2","60\32","67\37","12\16"
"ГУБИНА УЛ., д.12","101\52","86\44","-15\-15"
"ГУБИНА УЛ., д.13, корп.1","160,91\200","60,91\300","-62\50"
"ГУБИНА УЛ., д.13, корп.2","29\19","11\10","-62\-47"
"ГУБИНА УЛ., д.14","46\30","25\15","-46\-50"
"ГУБИНА УЛ., д.15","50,95\45","28,95\35","-43\-22"
"ГУБИНА УЛ., д.18","12\6","28\15","133\150"
"ГУБИНА УЛ., д.19/16","85\64","117\84","38\31"
"ГУБИНА УЛ., д.20","134\56","129\60","-4\7"
"ГУБИНА УЛ., д.21","62\40","70\61","13\53"
"ГУБИНА УЛ., д.22/21","62\35","83\40","34\14"
"ГУБИНА УЛ., д.23/19","109\53","116\58","6\9"
"ДВИНСКАЯ УЛ., д.4","446\305","414\326","-7\7"
"ДВИНСКАЯ УЛ., д.4, корп.1","314\208","253\218","-19\5"
"ДВИНСКАЯ УЛ., д.4, корп.2","461\314","367\326","-20\4"
"ДВИНСКАЯ УЛ., д.4, корп.3","375\279","300\270","-20\-3"
"ДВИНСКАЯ УЛ., д.4, корп.4","245\188","186\184","-24\-2"
"ДВИНСКАЯ УЛ., д.8","186\131","145\118","-22\-10"
"ДВИНСКАЯ УЛ., д.9","199,1\133","209,1\142","5\7"
"ДВИНСКАЯ УЛ., д.10","169\157","169\157","0\0"
"ДВИНСКАЯ УЛ., д.14","232,14\147","231\152","0\3"
"ДВИНСКАЯ УЛ., д.14, корп.4","1384\478","125\120","-91\-75"
"ДВИНСКАЯ УЛ., д.16, корп.1","1640\4181,62","4970,62\1881","203\-55"
"ДВИНСКАЯ УЛ., д.17","598\298","659\329","10\10"
"ЗАЙЦЕВА УЛ., д.3","244,89\0","319,89\0","31\-"
"ЗАЙЦЕВА УЛ., д.17/23","545,75\338","533,75\326","-2\-4"
"ЗАЙЦЕВА УЛ., д.18/16","174\107","200\9,06","15\-92"
"ЗАЙЦЕВА УЛ., д.19/18","279\201","205\179","-27\-11"
"ЗАЙЦЕВА УЛ., д.20","428\244","417\269","-3\10"
"ЗАЙЦЕВА УЛ., д.21","46\24","32\16","-30\-33"
"ЗАЙЦЕВА УЛ., д.22/13","850,74\553","868,74\541","2\-2"
"ЗАЙЦЕВА УЛ., д.25","290\194","287\188","-1\-3"
"ЗАЙЦЕВА УЛ., д.26","341,14\311","341,14\311","0\0"
"ЗАЙЦЕВА УЛ., д.29","48\37","28\36","-42\-3"
"ЗАЙЦЕВА УЛ., д.31","339\241","292\265","-14\10"
"ЗАЙЦЕВА УЛ., д.32","259\174","237\204","-8\17"
"ЗАЙЦЕВА УЛ., д.33","139,57\222","140,57\267","1\20"
"ЗАЙЦЕВА УЛ., д.34","126\63","139\68","10\8"
"ЗАЙЦЕВА УЛ., д.36","455\285","436\280","-4\-2"
"ЗАЙЦЕВА УЛ., д.37","639\344","664\363","4\6"
"ЗАЙЦЕВА УЛ., д.39","331\204","312\215","-6\5"
"ЗИНЫ ПОРТНОВОЙ УЛ., д.4","47\47","116\93","147\98"
"ЗИНЫ ПОРТНОВОЙ УЛ., д.6","277\268","209\262","-25\-2"
"ЗИНЫ ПОРТНОВОЙ УЛ., д.8","244\222","191\227","-22\2"
"ЗИНЫ ПОРТНОВОЙ УЛ., д.10","282\216","197\176","-30\-19"
"ЗИНЫ ПОРТНОВОЙ УЛ., д.12","197\214","154\235","-22\10"
"ЗИНЫ ПОРТНОВОЙ УЛ., д.14","385\318","332\345","-14\8"
"ЗИНЫ ПОРТНОВОЙ УЛ., д.16","445\221","493\245","11\11"
"ЗИНЫ ПОРТНОВОЙ УЛ., д.18","307\261","283\296","-8\13"
"ЗИНЫ ПОРТНОВОЙ УЛ., д.20","75\76","59\97","-21\28"
"ЗИНЫ ПОРТНОВОЙ УЛ., д.22","89\90","94\105","6\17"
"ЗИНЫ ПОРТНОВОЙ УЛ., д.24","194\179","119\150","-39\-16"
"ЗИНЫ ПОРТНОВОЙ УЛ., д.26","242\249","198\288","-18\16"
"ЗИНЫ ПОРТНОВОЙ УЛ., д.28","554\266","650\299","17\12"
"ЗИНЫ ПОРТНОВОЙ УЛ., д.30","321\254","303\264","-6\4"
"ЗОИ КОСМОДЕМЬЯНСКОЙ УЛ., д.3","451\252","232\328","-49\30"
"ЗОИ КОСМОДЕМЬЯНСКОЙ УЛ., д.5","902,51\401","847,51\329","-6\-18"
"ЗОИ КОСМОДЕМЬЯНСКОЙ УЛ., д.6, корп.1","388,69\169","448,69\190","15\12"
"ЗОИ КОСМОДЕМЬЯНСКОЙ УЛ., д.6, корп.2","135\150","135\150","0\0"
"ЗОИ КОСМОДЕМЬЯНСКОЙ УЛ., д.8/17","73\23","10\19","-86\-17"
"ЗОИ КОСМОДЕМЬЯНСКОЙ УЛ., д.16/24","165,29\0","59,29\56","-64\-"
"ЗОИ КОСМОДЕМЬЯНСКОЙ УЛ., д.17/26","161,74\154","392,74\282","143\83"
"ЗОИ КОСМОДЕМЬЯНСКОЙ УЛ., д.21",,"204\85","-\-"
"ЗОИ КОСМОДЕМЬЯНСКОЙ УЛ., д.23","251\50","208\64","-17\28"
"ЗОИ КОСМОДЕМЬЯНСКОЙ УЛ., д.25/20","96\63","89\75","-7\19"
"ЗОИ КОСМОДЕМЬЯНСКОЙ УЛ., д.29","84\77","75\70","-11\-9"
