"АВТОВСКАЯ УЛ., д.21","293\150","253\132","-14\-12"
"АВТОВСКАЯ УЛ., д.22","233\168","193\130","-17\-23"
"АВТОВСКАЯ УЛ., д.25","87\88","74\85","-15\-3"
"АВТОВСКАЯ УЛ., д.26/37","429\287","256,33\212","-40\-26"
"АВТОВСКАЯ УЛ., д.28/30","181\124","276\128","52\3"
"АВТОВСКАЯ УЛ., д.29","759\161","631\130","-17\-19"
"АВТОВСКАЯ УЛ., д.30","53\66","46\64","-13\-3"
"АВТОВСКАЯ УЛ., д.32","92\100","70\75","-24\-25"
"АВТОВСКАЯ УЛ., д.34","230\119","383\213","67\79"
"АВТОВСКАЯ УЛ., д.38","41\26","34\21","-17\-19"
"АВТОВСКАЯ УЛ., д.40","193\167","121\153","-37\-8"
"АВТОВСКАЯ УЛ., д.46","94\49","66\36","-30\-27"
"АВТОВСКАЯ УЛ., д.52","99\104","84\131","-15\26"
"БАЛТИЙСКАЯ УЛ., д.2/14","121\383","38\303","-69\-21"
"БАЛТИЙСКАЯ УЛ., д.12","431\235,34","235\76,34","-45\-68"
"БАЛТИЙСКАЯ УЛ., д.14","265\178","428\225","62\26"
"БАЛТИЙСКАЯ УЛ., д.17","143\108","141,55\95","-1\-12"
"БАЛТИЙСКАЯ УЛ., д.17, корп.2","5145,8\0","3341,4\1804,4","-35\-"
"БАЛТИЙСКАЯ УЛ., д.18","42\47","33\35","-21\-26"
"БАЛТИЙСКАЯ УЛ., д.19","62\72","54\67","-13\-7"
"БАЛТИЙСКАЯ УЛ., д.20","54\41","61,9\61,9","15\51"
"БАЛТИЙСКАЯ УЛ., д.21","34\15","7\11","-79\-27"
"БАЛТИЙСКАЯ УЛ., д.22","42\31","48,1\48,1","15\55"
"БАЛТИЙСКАЯ УЛ., д.23","19\10","19\10","0\0"
"БАЛТИЙСКАЯ УЛ., д.24","11\64","63\65","473\2"
"БАЛТИЙСКАЯ УЛ., д.25","106\6","11\64","-90\967"
"БАЛТИЙСКАЯ УЛ., д.27","44\26","38\21","-14\-19"
"БАЛТИЙСКАЯ УЛ., д.32","85\75","31\39","-64\-48"
"БАЛТИЙСКАЯ УЛ., д.34","3\0","32\0","967\-"
"БАЛТИЙСКАЯ УЛ., д.36/9","118\137","140\73","19\-47"
