"АВТОВСКАЯ УЛ., д.21","332\165","263\133","-21\-19"
"АВТОВСКАЯ УЛ., д.22","227\119","216\113","-5\-5"
"АВТОВСКАЯ УЛ., д.25","110\97","137\118","25\22"
"АВТОВСКАЯ УЛ., д.26/37","396\196","324,44\241","-18\23"
"АВТОВСКАЯ УЛ., д.28/30","129\95","147\112","14\18"
"АВТОВСКАЯ УЛ., д.29","548\249","569\267","4\7"
"АВТОВСКАЯ УЛ., д.30","103\72","73\62","-29\-14"
"АВТОВСКАЯ УЛ., д.32","73\61","83\75","14\23"
"АВТОВСКАЯ УЛ., д.34","59\43","59\47","0\9"
"АВТОВСКАЯ УЛ., д.38","38\21","35\24","-8\14"
"АВТОВСКАЯ УЛ., д.40","131\141","115\140","-12\-1"
"АВТОВСКАЯ УЛ., д.46","55\29","76\39","38\34"
"АВТОВСКАЯ УЛ., д.52","69\135","111\163","61\21"
"БАЛТИЙСКАЯ УЛ., д.2/14","452\316","448\312","-1\-1"
"БАЛТИЙСКАЯ УЛ., д.12","112,34\109","108,14\103","-4\-6"
"БАЛТИЙСКАЯ УЛ., д.14","979\0","979\0","0\-"
"БАЛТИЙСКАЯ УЛ., д.17","268,69\0","269,57\0","0\-"
"БАЛТИЙСКАЯ УЛ., д.17, корп.2","5341,9\0","5190,13\0","-3\-"
"БАЛТИЙСКАЯ УЛ., д.18","90\56","85\52","-6\-7"
"БАЛТИЙСКАЯ УЛ., д.19","61\50","57\42","-7\-16"
"БАЛТИЙСКАЯ УЛ., д.20","91,17\61,34","87,8\56,84","-4\-7"
"БАЛТИЙСКАЯ УЛ., д.21","304\40","53\35","-83\-13"
"БАЛТИЙСКАЯ УЛ., д.22","70,83\47,66","68,2\44,16","-4\-7"
"БАЛТИЙСКАЯ УЛ., д.23","26\13","22\9","-15\-31"
"БАЛТИЙСКАЯ УЛ., д.24","4,22\52","2,66\48","-37\-8"
"БАЛТИЙСКАЯ УЛ., д.25","269\0","269\0","0\-"
"БАЛТИЙСКАЯ УЛ., д.27","376,82\0","376,83\0","0\-"
"БАЛТИЙСКАЯ УЛ., д.32","17,07\32","12,07\28","-29\-13"
"БАЛТИЙСКАЯ УЛ., д.34","23\0","19\0","-17\-"
"БАЛТИЙСКАЯ УЛ., д.36/9","23,5\83","160\78","581\-6"
