"АВТОВСКАЯ УЛ., д.21","421\229","419\211","0\-8"
"АВТОВСКАЯ УЛ., д.22","217\200","218\176","0\-12"
"АВТОВСКАЯ УЛ., д.25","151\127","218\127","44\0"
"АВТОВСКАЯ УЛ., д.26/37","638\370","584\278","-8\-25"
"АВТОВСКАЯ УЛ., д.28/30","198\161","314\235","59\46"
"АВТОВСКАЯ УЛ., д.29","840\452","768\456","-9\1"
"АВТОВСКАЯ УЛ., д.30","107\76","94\64","-12\-16"
"АВТОВСКАЯ УЛ., д.32","85\72","123\99","45\38"
"АВТОВСКАЯ УЛ., д.34","107\64","92\54","-14\-16"
"АВТОВСКАЯ УЛ., д.38","65\48","76\52","17\8"
"АВТОВСКАЯ УЛ., д.40","173\169","215\169","24\0"
"АВТОВСКАЯ УЛ., д.46","102\66","52\44","-49\-33"
"АВТОВСКАЯ УЛ., д.52","128\143","146\139","14\-3"
"БАЛТИЙСКАЯ УЛ., д.2/14","516\292","473\365","-8\25"
"БАЛТИЙСКАЯ УЛ., д.12","310\245","303\222","-2\-9"
"БАЛТИЙСКАЯ УЛ., д.14","671\337","704\359","5\7"
"БАЛТИЙСКАЯ УЛ., д.17","45\46","31\26","-31\-43"
"БАЛТИЙСКАЯ УЛ., д.17, корп.2","378\212","329\169","-13\-20"
"БАЛТИЙСКАЯ УЛ., д.18","37\32","53\36","43\13"
"БАЛТИЙСКАЯ УЛ., д.19А","24\18","18\12","-25\-33"
"БАЛТИЙСКАЯ УЛ., д.19Б","13\10","9\6","-31\-40"
"БАЛТИЙСКАЯ УЛ., д.20","16\19","58\61","263\221"
"БАЛТИЙСКАЯ УЛ., д.21","1\0","1\0","0\-"
"БАЛТИЙСКАЯ УЛ., д.21, корп.2","22\11","6\3","-73\-73"
"БАЛТИЙСКАЯ УЛ., д.22","12\16","45\46","275\188"
"БАЛТИЙСКАЯ УЛ., д.23","148\23","105\24","-29\4"
"БАЛТИЙСКАЯ УЛ., д.24","39\41","61\63","56\54"
"БАЛТИЙСКАЯ УЛ., д.25","122\62","102\53","-16\-15"
"БАЛТИЙСКАЯ УЛ., д.27","99\65","74\48","-25\-26"
"БАЛТИЙСКАЯ УЛ., д.32А","64\51","55\40","-14\-22"
"БАЛТИЙСКАЯ УЛ., д.32Д","24\16","21\14","-13\-13"
"БАЛТИЙСКАЯ УЛ., д.34","57\0","34\0","-40\-"
"БАЛТИЙСКАЯ УЛ., д.36/9","139\77","168\95","21\23"
"БАЛТИЙСКАЯ УЛ., д.38","167\131","254\177","52\35"
"БАРРИКАДНАЯ УЛ., д.3","163\94","136\67","-17\-29"
"БАРРИКАДНАЯ УЛ., д.4","119\58","55\28","-54\-52"
"БАРРИКАДНАЯ УЛ., д.5","221\255","203\224","-8\-12"
"БАРРИКАДНАЯ УЛ., д.34","105\59","67\33","-36\-44"
"БЕЛОУСОВА УЛ., д.3","76\49","65\34","-14\-31"
"БЕЛОУСОВА УЛ., д.5","74\70","92\73","24\4"
"БЕЛОУСОВА УЛ., д.6/42","367\211","313\192","-15\-9"
"БЕЛОУСОВА УЛ., д.10","311\210","243\152","-22\-28"
"БЕЛОУСОВА УЛ., д.14/41","3\1","2\0","-33\-100"
"БЕЛОУСОВА УЛ., д.16","86\48","78\43","-9\-10"
"БЕЛОУСОВА УЛ., д.18","98\52","64\35","-35\-33"
"БЕЛОУСОВА УЛ., д.18, корп.1","190\174","177\170","-7\-2"
"БЕЛОУСОВА УЛ., д.20","83\41","61\30","-27\-27"
"БЕЛОУСОВА УЛ., д.22","27\12","20\9","-26\-25"
"БЕЛОУСОВА УЛ., д.24/32","69\48","37\47","-46\-2"
"ВАСИ АЛЕКСЕЕВА УЛ., д.7","31\26","18\7","-42\-73"
"ВАСИ АЛЕКСЕЕВА УЛ., д.9","15\9","19\10","27\11"
"ВАСИ АЛЕКСЕЕВА УЛ., д.10","317\0","317\0","0\-"
"ВАСИ АЛЕКСЕЕВА УЛ., д.11","160\114","220\144","38\26"
"ВАСИ АЛЕКСЕЕВА УЛ., д.16","249\0","249\0","0\-"
"ВАСИ АЛЕКСЕЕВА УЛ., д.17","198\141","178\130","-10\-8"
"ВАСИ АЛЕКСЕЕВА УЛ., д.20/24","169\121","151\98","-11\-19"
"ВАСИ АЛЕКСЕЕВА УЛ., д.21","35\25","49\229","40\816"
"ВАСИ АЛЕКСЕЕВА УЛ., д.22","612\413","661\493","8\19"
"ВАСИ АЛЕКСЕЕВА УЛ., д.24","224\127","198\112","-12\-12"
"ВАСИ АЛЕКСЕЕВА УЛ., д.25","91\61","108\76","19\25"
"ВАСИ АЛЕКСЕЕВА УЛ., д.26","277\237","295\238","6\0"
"ВАСИ АЛЕКСЕЕВА УЛ., д.28","194\133","193\134","-1\1"
"ВАСИ АЛЕКСЕЕВА УЛ., д.30","437\358","417\329","-5\-8"
"ВОЗРОЖДЕНИЯ УЛ., д.7/25","296\172","442\278","49\62"
"ВОЗРОЖДЕНИЯ УЛ., д.9","13\8","12\7","-8\-13"
"ВОЗРОЖДЕНИЯ УЛ., д.15","99\107","94\43","-5\-60"
"ВОЗРОЖДЕНИЯ УЛ., д.19/38","512\370","879\397","72\7"
"ВОЗРОЖДЕНИЯ УЛ., д.23","95\47","97\48","2\2"
"ВОЗРОЖДЕНИЯ УЛ., д.25","119\56","81\40","-32\-29"
"ВОЗРОЖДЕНИЯ УЛ., д.27","176\111","146\89","-17\-20"
"ГЛАДКОВА УЛ., д.1","33\53","38\45","15\-15"
"ГЛАДКОВА УЛ., д.1А","78\36","63\36","-19\0"
"ГЛАДКОВА УЛ., д.7/10","13\28","9\18","-31\-36"
"ГЛАДКОВА УЛ., д.11","28\20","34\18","21\-10"
"ГЛАДКОВА УЛ., д.13","31\26","34\29","10\12"
"ГЛАДКОВА УЛ., д.17","195\84","174\59","-11\-30"
"ГЛАДКОВА УЛ., д.19","63\78","50\72","-21\-8"
"ГЛАДКОВА УЛ., д.21","22\11","23\12","5\9"
"ГЛАДКОВА УЛ., д.23","117\133","112\116","-4\-13"
"ГЛАДКОВА УЛ., д.24/7","123\65","87\47","-29\-28"
"ГЛАДКОВА УЛ., д.25","396\242","398\222","1\-8"
"ГЛАДКОВА УЛ., д.26","130\83","127\72","-2\-13"
"ГЛАДКОВА УЛ., д.29","118\126","139\124","18\-2"
"ГЛАДКОВА УЛ., д.31/7","41\31","34\18","-17\-42"
"ГЛАДКОВА УЛ., д.33","285\119","255\100","-11\-16"
"ГЛАДКОВА УЛ., д.35","51\27","14\8","-73\-70"
"ГЛАДКОВА УЛ., д.39","38\23","35\19","-8\-17"
"ГЛАДКОВА УЛ., д.41","1\1","1\0","0\-100"
"ГЛАДКОВА УЛ., д.43","53\39","26\20","-51\-49"
"ГУБИНА УЛ., д.1/32","231\102","205\84","-11\-18"
"ГУБИНА УЛ., д.3","64\29","56\30","-13\3"
"ГУБИНА УЛ., д.4","18\2","18\6","0\200"
"ГУБИНА УЛ., д.5","145\305","133\116","-8\-62"
"ГУБИНА УЛ., д.6","155\84","111\50","-28\-40"
"ГУБИНА УЛ., д.8","232\64","152\46","-34\-28"
"ГУБИНА УЛ., д.9, корп.1","86\53","66\44","-23\-17"
"ГУБИНА УЛ., д.9, корп.2","35\21","36\62","3\195"
"ГУБИНА УЛ., д.12","148\76","122\60","-18\-21"
"ГУБИНА УЛ., д.13, корп.1","41\0","41\0","0\-"
"ГУБИНА УЛ., д.13, корп.2","90\40","35\24","-61\-40"
"ГУБИНА УЛ., д.14","90\47","61\40","-32\-15"
"ГУБИНА УЛ., д.15","70\32","53\26","-24\-19"
"ГУБИНА УЛ., д.18","61\20","43\23","-30\15"
"ГУБИНА УЛ., д.19/16","45\26","62\57","38\119"
"ГУБИНА УЛ., д.20","141\76","154\17","9\-78"
"ГУБИНА УЛ., д.21","71\44","66\31","-7\-30"
"ГУБИНА УЛ., д.22/21","45\20","17\12","-62\-40"
"ГУБИНА УЛ., д.23/19","139\69","167\81","20\17"
"ДВИНСКАЯ УЛ., д.4","438\308","500\312","14\1"
"ДВИНСКАЯ УЛ., д.4, корп.1","230\169","260\186","13\10"
"ДВИНСКАЯ УЛ., д.4, корп.2","369\262","395\283","7\8"
"ДВИНСКАЯ УЛ., д.4, корп.3","255\250","340\250","33\0"
"ДВИНСКАЯ УЛ., д.4, корп.4","160\201","219\200","37\0"
"ДВИНСКАЯ УЛ., д.8","133\131","156\122","17\-7"
"ДВИНСКАЯ УЛ., д.9","189\104","167\88","-12\-15"
"ДВИНСКАЯ УЛ., д.10","349\259","391\273","12\5"
"ДВИНСКАЯ УЛ., д.11","251\195","317\218","26\12"
"ДВИНСКАЯ УЛ., д.14","259\187","291\199","12\6"
"ДВИНСКАЯ УЛ., д.14, корп.4","1231\701","1252\423","2\-40"
"ДВИНСКАЯ УЛ., д.16, корп.1","3781\1503","4132\1604","9\7"
"ДВИНСКАЯ УЛ., д.16, корп.3","2251\1009","2298\942","2\-7"
"ДВИНСКАЯ УЛ., д.17","515\268","537\275","4\3"
"ЗАЙЦЕВА УЛ., д.3","753\610","488\1077","-35\77"
"ЗАЙЦЕВА УЛ., д.17/23","1566\754","1606\810","3\7"
"ЗАЙЦЕВА УЛ., д.18/16","191\112","199\116","4\4"
"ЗАЙЦЕВА УЛ., д.19/18","272\258","323\250","19\-3"
"ЗАЙЦЕВА УЛ., д.20","391\235","493\316","26\34"
"ЗАЙЦЕВА УЛ., д.21","57\20","33\15","-42\-25"
"ЗАЙЦЕВА УЛ., д.22/13","978\454","1055\457","8\1"
"ЗАЙЦЕВА УЛ., д.25","118\76","123\79","4\4"
"ЗАЙЦЕВА УЛ., д.26","249\0","249\0","0\-"
"ЗАЙЦЕВА УЛ., д.29","56\53","42\45","-25\-15"
"ЗАЙЦЕВА УЛ., д.31","201\163","221\158","10\-3"
"ЗАЙЦЕВА УЛ., д.32","168\126","172\130","2\3"
"ЗАЙЦЕВА УЛ., д.33","310\299","312\277","1\-7"
"ЗАЙЦЕВА УЛ., д.34","192\82","191\87","-1\6"
"ЗАЙЦЕВА УЛ., д.36","285\193","342\330","20\71"
"ЗАЙЦЕВА УЛ., д.37","241\138","266\176","10\28"
"ЗАЙЦЕВА УЛ., д.39","215\168","184\136","-14\-19"
"ЗИНЫ ПОРТНОВОЙ УЛ., д.4","172\0","172\0","0\-"
"ЗИНЫ ПОРТНОВОЙ УЛ., д.6","195\227","264\267","35\18"
"ЗИНЫ ПОРТНОВОЙ УЛ., д.8","246\212","287\227","17\7"
"ЗИНЫ ПОРТНОВОЙ УЛ., д.10","103\125","180\134","75\7"
"ЗИНЫ ПОРТНОВОЙ УЛ., д.12","126\149","190\186","51\25"
"ЗИНЫ ПОРТНОВОЙ УЛ., д.14","241\234","301\245","25\5"
"ЗИНЫ ПОРТНОВОЙ УЛ., д.16","535\268","525\226","-2\-16"
"ЗИНЫ ПОРТНОВОЙ УЛ., д.18","239\237","278\249","16\5"
"ЗИНЫ ПОРТНОВОЙ УЛ., д.20","24\30","37\35","54\17"
"ЗИНЫ ПОРТНОВОЙ УЛ., д.22","68\74","83\66","22\-11"
"ЗИНЫ ПОРТНОВОЙ УЛ., д.24","118\154","164\157","39\2"
"ЗИНЫ ПОРТНОВОЙ УЛ., д.26","136\201","177\193","30\-4"
"ЗИНЫ ПОРТНОВОЙ УЛ., д.28","304\180","311\167","2\-7"
"ЗИНЫ ПОРТНОВОЙ УЛ., д.30","260\266","363\294","40\11"
"ЗОИ КОСМОДЕМЬЯНСКОЙ УЛ., д.3","264\201","219\145","-17\-28"
"ЗОИ КОСМОДЕМЬЯНСКОЙ УЛ., д.5","623\271","741\232","19\-14"
"ЗОИ КОСМОДЕМЬЯНСКОЙ УЛ., д.6, корп.1","441\185","413\176","-6\-5"
"ЗОИ КОСМОДЕМЬЯНСКОЙ УЛ., д.8/17","37\33","43\39","16\18"
"ЗОИ КОСМОДЕМЬЯНСКОЙ УЛ., д.15","124\83","101\56","-19\-33"
"ЗОИ КОСМОДЕМЬЯНСКОЙ УЛ., д.16/24","81\37","62\43","-23\16"
"ЗОИ КОСМОДЕМЬЯНСКОЙ УЛ., д.17/26","73\53","77\89","5\68"
"ЗОИ КОСМОДЕМЬЯНСКОЙ УЛ., д.21","118\47","187\74","58\57"
"ЗОИ КОСМОДЕМЬЯНСКОЙ УЛ., д.23","149\32","134\45","-10\41"
"ЗОИ КОСМОДЕМЬЯНСКОЙ УЛ., д.25/20","108\64","101\74","-6\16"
"ЗОИ КОСМОДЕМЬЯНСКОЙ УЛ., д.27","312\201","243\161","-22\-20"
"ЗОИ КОСМОДЕМЬЯНСКОЙ УЛ., д.29","27\38","59\59","119\55"
"ИВАНА ЧЕРНЫХ УЛ., д.1","100\58","59\36","-41\-38"
"ИВАНА ЧЕРНЫХ УЛ., д.3","221\110","249\116","13\5"
"ИВАНА ЧЕРНЫХ УЛ., д.3, корп.2","161\118","156\84","-3\-29"
"ИВАНА ЧЕРНЫХ УЛ., д.13А","115\70","101\62","-12\-11"
"ИВАНА ЧЕРНЫХ УЛ., д.13Б","150\128","187\162","25\27"
"ИВАНА ЧЕРНЫХ УЛ., д.15А","142\97","188\144","32\48"
"ИВАНА ЧЕРНЫХ УЛ., д.15Б","54\45","36\34","-33\-24"
"ИВАНА ЧЕРНЫХ УЛ., д.19","124\125","155\124","25\-1"
"ИВАНА ЧЕРНЫХ УЛ., д.21","82\57","118\87","44\53"
"КАНОНЕРСКИЙ ОСТРОВ, д.7","6125\2809","6752\3227","10\15"
"КАНОНЕРСКИЙ ОСТРОВ, д.8","3903\2324","4374\2015","12\-13"
"КАНОНЕРСКИЙ ОСТРОВ, д.9","2721\912","2674\974","-2\7"
"КАНОНЕРСКИЙ ОСТРОВ, д.10","3425\1478","3204\1200","-6\-19"
"КАНОНЕРСКИЙ ОСТРОВ, д.12","984\293","670\298","-32\2"
"КАНОНЕРСКИЙ ОСТРОВ, д.12, корп.2","590\297","774\392","31\32"
"КАНОНЕРСКИЙ ОСТРОВ, д.13","456\363","260\389","-43\7"
"КАНОНЕРСКИЙ ОСТРОВ, д.14","354\239","222\141","-37\-41"
"КАНОНЕРСКИЙ ОСТРОВ, д.16","158\60","109\69","-31\15"
"КАНОНЕРСКИЙ ОСТРОВ, д.25","284\68","198\63","-30\-7"
"КОРНЕЕВА УЛ., д.2","610\365","579\312","-5\-15"
"КОРНЕЕВА УЛ., д.6","1159\298","1471\373","27\25"
"КОСИНОВА УЛ., д.5","15\8","26\14","73\75"
"КОСИНОВА УЛ., д.7","45\52","39\46","-13\-12"
"КОСИНОВА УЛ., д.9/9","23\34","29\42","26\24"
"КОСИНОВА УЛ., д.14, корп.1","574\492","681\520","19\6"
"КОСИНОВА УЛ., д.14, корп.2","147\100","151\98","3\-2"
"КРАСНОПУТИЛОВСКАЯ УЛ., д.16/13","885\402","853\470","-4\17"
"КРАСНОПУТИЛОВСКАЯ УЛ., д.18","103\51","107\77","4\51"
"КРАСНОПУТИЛОВСКАЯ УЛ., д.20","360\222","352\219","-2\-1"
"КРАСНОПУТИЛОВСКАЯ УЛ., д.26","593\311","516\312","-13\0"
"КРАСНОПУТИЛОВСКАЯ УЛ., д.28/20","350\193","373\199","7\3"
"ЛЕНИНСКИЙ ПР., д.110, корп.1А","365\367","485\458","33\25"
"ЛЕНИНСКИЙ ПР., д.110, корп.1Б","1721\1463","1694\1381","-2\-6"
"ЛЕНИНСКИЙ ПР., д.120, корп.2","197\129","252\158","28\22"
"ЛЕНИНСКИЙ ПР., д.124","1826\701","1999\672","9\-4"
"ЛЕНИНСКИЙ ПР., д.130, корп.2","883\397","988\464","12\17"
"МАЙКОВ ПЕР., д.3","65\55","81\59","25\7"
"МАЙКОВ ПЕР., д.5А","95\51","77\25","-19\-51"
"МАЙКОВ ПЕР., д.7/1","172\74","150\75","-13\1"
"МАРШАЛА ГОВОРОВА УЛ., д.3/7","395\0","403\0","2\-"
"МАРШАЛА ГОВОРОВА УЛ., д.5/4","454\329","423\317","-7\-4"
"МАРШАЛА ГОВОРОВА УЛ., д.6/5","167\98","132\83","-21\-15"
"МАРШАЛА ГОВОРОВА УЛ., д.7","110\65","130\70","18\8"
"МАРШАЛА ГОВОРОВА УЛ., д.11/3","486\0","486\0","0\-"
"МАРШАЛА ГОВОРОВА УЛ., д.15","52\81","75\99","44\22"
"МАРШАЛА ГОВОРОВА УЛ., д.16","3297\1325","3551\1488","8\12"
"МАРШАЛА ГОВОРОВА УЛ., д.17","54\46","92\90","70\96"
"МАРШАЛА ГОВОРОВА УЛ., д.21","311\174","362\200","16\15"
"МАРШАЛА ГОВОРОВА УЛ., д.22/10","466\358","528\378","13\6"
"МАРШАЛА ГОВОРОВА УЛ., д.22, корп.2","115\89","133\109","16\22"
"МАРШАЛА ГОВОРОВА УЛ., д.23","108\84","119\23","10\-73"
"МАРШАЛА ГОВОРОВА УЛ., д.24","484\335","523\336","8\0"
"МАРШАЛА ГОВОРОВА УЛ., д.26, корп.2","256\133","249\127","-3\-5"
"МАРШАЛА ЖУКОВА ПР., д.18А","1003\639","1043\554","4\-13"
"МАРШАЛА ЖУКОВА ПР., д.18Б","1953\836","1882\715","-4\-14"
"МАРШАЛА ЖУКОВА ПР., д.18В","2530\1486","2819\1568","11\6"
"МАРШАЛА ЖУКОВА ПР., д.18Г","1267\805","1566\847","24\5"
"МАРШАЛА ЖУКОВА ПР., д.18Д","1025\498","1101\556","7\12"
"МАРШАЛА ЖУКОВА ПР., д.20","4635\1098","3154\1063","-32\-3"
"МАРШАЛА ЖУКОВА ПР., д.26/16А","884\677","862\623","-2\-8"
"МАРШАЛА ЖУКОВА ПР., д.26/16Б","1586\978","1628\974","3\0"
"МАРШАЛА ЖУКОВА ПР., д.26/16В","1743\1259","1844\1264","6\0"
"МАРШАЛА ЖУКОВА ПР., д.28, корп.1","2085\1521","2082\1437","0\-6"
"МАРШАЛА ЖУКОВА ПР., д.30, корп.2А","1440\900","1419\891","-1\-1"
"МАРШАЛА ЖУКОВА ПР., д.30, корп.2Б","660\179","598\162","-9\-9"
"МАРШАЛА ЖУКОВА ПР., д.30, корп.2В","3610\2314","3268\1861","-9\-20"
"МАРШАЛА ЖУКОВА ПР., д.30, корп.2Г","1336\878","1632\1077","22\23"
"МАРШАЛА ЖУКОВА ПР., д.30, корп.2Д","2238\1855","2210\1525","-1\-18"
"МАРШАЛА ЖУКОВА ПР., д.30, корп.2Е","1053\1022","1102\891","5\-13"
"МАРШАЛА ЖУКОВА ПР., д.30, корп.2Ж","2090\1229","1975\1173","-6\-5"
"МАРШАЛА ЖУКОВА ПР., д.32, корп.1","3233\2008","3420\2002","6\0"
"МАРШАЛА ЖУКОВА ПР., д.34, корп.1А","1617\1275","1703\1216","5\-5"
"МАРШАЛА ЖУКОВА ПР., д.34, корп.1Б","345\72","390\76","13\6"
"МАРШАЛА ЖУКОВА ПР., д.34, корп.1В","1482\993","2239\2328","51\134"
"МАРШАЛА ЖУКОВА ПР., д.34, корп.1Г","954\743","1076\836","13\13"
"МАРШАЛА ЖУКОВА ПР., д.34, корп.1Д","670\138","754\147","13\7"
"МАРШАЛА ЖУКОВА ПР., д.34, корп.1Е","1009\213","1144\223","13\5"
"МАРШАЛА КАЗАКОВА УЛ., д.1, корп.2","1310\955","1333\936","2\-2"
"МАРШАЛА КАЗАКОВА УЛ., д.3, корп.1","1384\628","1268\481","-8\-23"
"МАРШАЛА КАЗАКОВА УЛ., д.5, корп.1А","664\540","724\421","9\-22"
"МАРШАЛА КАЗАКОВА УЛ., д.5, корп.1Б","999\869","1159\840","16\-3"
"МАРШАЛА КАЗАКОВА УЛ., д.10, корп.1А","1032\988","1295\785","25\-21"
"МАРШАЛА КАЗАКОВА УЛ., д.10, корп.1Б","841\625","984\749","17\20"
"МАРШАЛА КАЗАКОВА УЛ., д.10, корп.1В","1231\670","1563\888","27\33"
"МАРШАЛА КАЗАКОВА УЛ., д.10, корп.1Д","800\901","1140\997","43\11"
"МАРШАЛА КАЗАКОВА УЛ., д.13","2371\812","2491\804","5\-1"
"МЕТРОСТРОЕВЦЕВ УЛ., д.2","176\174","230\196","31\13"
"МЕТРОСТРОЕВЦЕВ УЛ., д.3","46\0","46\0","0\-"
"МОРСКОЙ ПЕХОТЫ УЛ., д.4","1779\1154","2558\1410","44\22"
